; Candidate 2942
; ADRP+ADD at VM 0xfffffff0086f7780 (fileoff 0x16f3780): page=0x1fea3a000 add_imm=0xd90

0xfffffff0086f7700: 29818a1a  csel	w9, w9, w10, hi
0xfffffff0086f7704: 69be34b9  str	w9, [x19, #0x34bc]
0xfffffff0086f7708: 004d40fd  ldr	d0, [x8, #0x98]
0xfffffff0086f770c: 010140fd  ldr	d1, [x8]
0xfffffff0086f7710: 0064a12e  umax	v0.2s, v0.2s, v1.2s
0xfffffff0086f7714: 004d00fd  str	d0, [x8, #0x98]
0xfffffff0086f7718: 77010034  cbz	w23, #0xfffffff0086f7744
0xfffffff0086f771c: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff0086f7720: 100040f9  ldr	x16, [x0]
0xfffffff0086f7724: f10300aa  mov	x17, x0
0xfffffff0086f7728: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff0086f772c: 301ac1da  autda	x16, x17
0xfffffff0086f7730: 088e48f8  ldr	x8, [x16, #0x88]!
0xfffffff0086f7734: e90310aa  mov	x9, x16
0xfffffff0086f7738: f10309aa  mov	x17, x9
0xfffffff0086f773c: 91a4f1f2  movk	x17, #0x8d24, lsl #48
0xfffffff0086f7740: 11093fd7  blraa	x8, x17
0xfffffff0086f7744: 601a45f9  ldr	x0, [x19, #0xa30]
0xfffffff0086f7748: 100040f9  ldr	x16, [x0]
0xfffffff0086f774c: f10300aa  mov	x17, x0
0xfffffff0086f7750: f136f8f2  movk	x17, #0xc1b7, lsl #48
0xfffffff0086f7754: 301ac1da  autda	x16, x17
0xfffffff0086f7758: 080e48f8  ldr	x8, [x16, #0x80]!
0xfffffff0086f775c: e90310aa  mov	x9, x16
0xfffffff0086f7760: e10316aa  mov	x1, x22
0xfffffff0086f7764: f10309aa  mov	x17, x9
0xfffffff0086f7768: d113e8f2  movk	x17, #0x409e, lsl #48
0xfffffff0086f776c: 11093fd7  blraa	x8, x17
0xfffffff0086f7770: a0010034  cbz	w0, #0xfffffff0086f77a4
0xfffffff0086f7774: c852fff0  adrp	x8, #0xfffffff007152000
0xfffffff0086f7778: 08c90f91  add	x8, x8, #0x3f2
0xfffffff0086f777c: e80300f9  str	x8, [sp]
0xfffffff0086f7780: c051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f7784: 00403691  add	x0, x0, #0xd90
0xfffffff0086f7788: 2198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f778c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f7790: e351ffd0  adrp	x3, #0xfffffff007135000
0xfffffff0086f7794: 63942291  add	x3, x3, #0x8a5
0xfffffff0086f7798: 02008052  mov	w2, #0
0xfffffff0086f779c: 65eef097  bl	#0xfffffff008333130
0xfffffff0086f77a0: 24ffff17  b	#0xfffffff0086f7430
0xfffffff0086f77a4: 28008052  mov	w8, #1
0xfffffff0086f77a8: 684a35b9  str	w8, [x19, #0x3548]
0xfffffff0086f77ac: 68e259f9  ldr	x8, [x19, #0x33c0]
0xfffffff0086f77b0: e80600b4  cbz	x8, #0xfffffff0086f788c
0xfffffff0086f77b4: e8dc8092  mov	x8, #-0x6e8
0xfffffff0086f77b8: 09358052  mov	w9, #0x1a8
0xfffffff0086f77bc: 0a578652  mov	w10, #0x32b8
0xfffffff0086f77c0: 0b008012  mov	w11, #-1
0xfffffff0086f77c4: 6c02088b  add	x12, x19, x8
0xfffffff0086f77c8: 8d2951f9  ldr	x13, [x12, #0x2250]
0xfffffff0086f77cc: cd0200b4  cbz	x13, #0xfffffff0086f7824
0xfffffff0086f77d0: 6ee259f9  ldr	x14, [x19, #0x33c0]
0xfffffff0086f77d4: ce01098b  add	x14, x14, x9
0xfffffff0086f77d8: cfa104d1  sub	x15, x14, #0x128
0xfffffff0086f77dc: ed0100f9  str	x13, [x15]
0xfffffff0086f77e0: cd8104d1  sub	x13, x14, #0x120
0xfffffff0086f77e4: 8099c83d  ldr	q0, [x12, #0x2260]
0xfffffff0086f77e8: 819dc83d  ldr	q1, [x12, #0x2270]
0xfffffff0086f77ec: 82a1c83d  ldr	q2, [x12, #0x2280]
0xfffffff0086f77f0: 8395c83d  ldr	q3, [x12, #0x2250]
0xfffffff0086f77f4: a305803d  str	q3, [x13, #0x10]
0xfffffff0086f77f8: c18938ad  stp	q1, q2, [x14, #-0xf0]
0xfffffff0086f77fc: c001903c  stur	q0, [x14, #-0x100]
