; Candidate 15898
; ADRP+ADD at VM 0xfffffff009dc5cd0 (fileoff 0x2dc1cd0): page=0x1fdf62000 add_imm=0xe38

0xfffffff009dc5c50: 10422f91  add	x16, x16, #0xbd0
0xfffffff009dc5c54: 10420091  add	x16, x16, #0x10
0xfffffff009dc5c58: f10300aa  mov	x17, x0
0xfffffff009dc5c5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dc5c60: 300ac1da  pacda	x16, x17
0xfffffff009dc5c64: 100000f9  str	x16, [x0]
0xfffffff009dc5c68: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009dc5c6c: ff0f5fd6  retab	
0xfffffff009dc5c70: 5f2403d5  bti	c
0xfffffff009dc5c74: 1da60014  b	#0xfffffff009def4e8
0xfffffff009dc5c78: 5f2403d5  bti	c
0xfffffff009dc5c7c: 1ba60014  b	#0xfffffff009def4e8
0xfffffff009dc5c80: 7f2303d5  pacibsp	
0xfffffff009dc5c84: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009dc5c88: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009dc5c8c: fd430091  add	x29, sp, #0x10
0xfffffff009dc5c90: f30300aa  mov	x19, x0
0xfffffff009dc5c94: 15a60094  bl	#0xfffffff009def4e8
0xfffffff009dc5c98: 00fbfed0  adrp	x0, #0xfffffff007d27000
0xfffffff009dc5c9c: 00e03891  add	x0, x0, #0xe38
0xfffffff009dc5ca0: e10313aa  mov	x1, x19
0xfffffff009dc5ca4: 02068052  mov	w2, #0x30
0xfffffff009dc5ca8: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009dc5cac: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009dc5cb0: ff2303d5  autibsp	
0xfffffff009dc5cb4: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009dc5cb8: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009dc5cc0
0xfffffff009dc5cbc: 208e38d4  brk	#0xc471
0xfffffff009dc5cc0: 77869417  b	#0xfffffff0082e769c
0xfffffff009dc5cc4: 5f2403d5  bti	c
0xfffffff009dc5cc8: e20301aa  mov	x2, x1
0xfffffff009dc5ccc: e10300aa  mov	x1, x0
0xfffffff009dc5cd0: 00fbfed0  adrp	x0, #0xfffffff007d27000
0xfffffff009dc5cd4: 00e03891  add	x0, x0, #0xe38
0xfffffff009dc5cd8: 71869417  b	#0xfffffff0082e769c
0xfffffff009dc5cdc: 5f2403d5  bti	c
0xfffffff009dc5ce0: c02f00b0  adrp	x0, #0xfffffff00a3be000
0xfffffff009dc5ce4: 00e01791  add	x0, x0, #0x5f8
0xfffffff009dc5ce8: c0035fd6  ret	
0xfffffff009dc5cec: 7f2303d5  pacibsp	
0xfffffff009dc5cf0: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009dc5cf4: fd030091  mov	x29, sp
0xfffffff009dc5cf8: a1c6fed0  adrp	x1, #0xfffffff00769b000
0xfffffff009dc5cfc: 21800f91  add	x1, x1, #0x3e0
0xfffffff009dc5d00: c22f00b0  adrp	x2, #0xfffffff00a3be000
0xfffffff009dc5d04: 42403791  add	x2, x2, #0xdd0
0xfffffff009dc5d08: 03068052  mov	w3, #0x30
0xfffffff009dc5d0c: 8b779497  bl	#0xfffffff0082e3b38
0xfffffff009dc5d10: d0fafe90  adrp	x16, #0xfffffff007d1d000
0xfffffff009dc5d14: 10c23191  add	x16, x16, #0xc70
0xfffffff009dc5d18: 10420091  add	x16, x16, #0x10
0xfffffff009dc5d1c: f10300aa  mov	x17, x0
0xfffffff009dc5d20: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009dc5d24: 300ac1da  pacda	x16, x17
0xfffffff009dc5d28: 100000f9  str	x16, [x0]
0xfffffff009dc5d2c: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009dc5d30: ff0f5fd6  retab	
0xfffffff009dc5d34: 7f2303d5  pacibsp	
0xfffffff009dc5d38: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009dc5d3c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009dc5d40: fd430091  add	x29, sp, #0x10
0xfffffff009dc5d44: 00fbfed0  adrp	x0, #0xfffffff007d27000
0xfffffff009dc5d48: 00e03891  add	x0, x0, #0xe38
0xfffffff009dc5d4c: 01068052  mov	w1, #0x30
