; Candidate 8595
; ADRP+ADD at VM 0xfffffff0088b3f50 (fileoff 0x18aff50): page=0x1fe936000 add_imm=0xe80

0xfffffff0088b3ed0: 00400991  add	x0, x0, #0x250
0xfffffff0088b3ed4: 630dd497  bl	#0xfffffff007db7460
0xfffffff0088b3ed8: 00008052  mov	w0, #0
0xfffffff0088b3edc: e7ffff17  b	#0xfffffff0088b3e78
0xfffffff0088b3ee0: b3000094  bl	#0xfffffff0088b41ac
0xfffffff0088b3ee4: f60300aa  mov	x22, x0
0xfffffff0088b3ee8: e00315aa  mov	x0, x21
0xfffffff0088b3eec: 591eff97  bl	#0xfffffff00887b850
0xfffffff0088b3ef0: 682640a9  ldp	x8, x9, [x19]
0xfffffff0088b3ef4: 6a2e4229  ldp	w10, w11, [x19, #0x10]
0xfffffff0088b3ef8: eaaf03a9  stp	x10, x11, [sp, #0x38]
0xfffffff0088b3efc: e8a702a9  stp	x8, x9, [sp, #0x28]
0xfffffff0088b3f00: e8430191  add	x8, sp, #0x50
0xfffffff0088b3f04: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0088b3f08: f48300a9  stp	x20, x0, [sp, #8]
0xfffffff0088b3f0c: f60300f9  str	x22, [sp]
0xfffffff0088b3f10: a049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b3f14: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b3f18: a18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b3f1c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b3f20: 834dffd0  adrp	x3, #0xfffffff007265000
0xfffffff0088b3f24: 63c80091  add	x3, x3, #0x32
0xfffffff0088b3f28: 02008052  mov	w2, #0
0xfffffff0088b3f2c: 81fce997  bl	#0xfffffff008333130
0xfffffff0088b3f30: 00008052  mov	w0, #0
0xfffffff0088b3f34: d1ffff17  b	#0xfffffff0088b3e78
0xfffffff0088b3f38: 682640a9  ldp	x8, x9, [x19]
0xfffffff0088b3f3c: 6a2e4229  ldp	w10, w11, [x19, #0x10]
0xfffffff0088b3f40: ea2f02a9  stp	x10, x11, [sp, #0x20]
0xfffffff0088b3f44: e82701a9  stp	x8, x9, [sp, #0x10]
0xfffffff0088b3f48: e8430191  add	x8, sp, #0x50
0xfffffff0088b3f4c: e84f00a9  stp	x8, x19, [sp]
0xfffffff0088b3f50: a049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b3f54: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b3f58: a18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b3f5c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b3f60: 834dffb0  adrp	x3, #0xfffffff007264000
0xfffffff0088b3f64: 63bc3f91  add	x3, x3, #0xfef
0xfffffff0088b3f68: 02008052  mov	w2, #0
0xfffffff0088b3f6c: 71fce997  bl	#0xfffffff008333130
0xfffffff0088b3f70: 00008052  mov	w0, #0
0xfffffff0088b3f74: c1ffff17  b	#0xfffffff0088b3e78
0xfffffff0088b3f78: b5a7d297  bl	#0xfffffff007d5de4c
0xfffffff0088b3f7c: 7f2303d5  pacibsp	
0xfffffff0088b3f80: ffc301d1  sub	sp, sp, #0x70
0xfffffff0088b3f84: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0088b3f88: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0088b3f8c: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0088b3f90: fd830191  add	x29, sp, #0x60
0xfffffff0088b3f94: f30300aa  mov	x19, x0
0xfffffff0088b3f98: a88affb0  adrp	x8, #0xfffffff007a08000
0xfffffff0088b3f9c: 082942f9  ldr	x8, [x8, #0x450]
0xfffffff0088b3fa0: 080140f9  ldr	x8, [x8]
0xfffffff0088b3fa4: a8831df8  stur	x8, [x29, #-0x28]
0xfffffff0088b3fa8: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0088b3fac: e08300ad  stp	q0, q0, [sp, #0x10]
0xfffffff0088b3fb0: 154cffd0  adrp	x21, #0xfffffff007235000
0xfffffff0088b3fb4: b5fa0b91  add	x21, x21, #0x2fe
0xfffffff0088b3fb8: 744bfff0  adrp	x20, #0xfffffff007222000
0xfffffff0088b3fbc: 944e0d91  add	x20, x20, #0x353
0xfffffff0088b3fc0: b68affb0  adrp	x22, #0xfffffff007a08000
0xfffffff0088b3fc4: d63642f9  ldr	x22, [x22, #0x468]
0xfffffff0088b3fc8: 73060071  subs	w19, w19, #1
0xfffffff0088b3fcc: cb010054  b.lt	#0xfffffff0088b4004
