; Candidate 1259
; ADRP+ADD at VM 0xfffffff00830abbc (fileoff 0x1306bbc): page=0x1ff673000 add_imm=0xdf0

0xfffffff00830ab3c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff00830ab40: ff0f5fd6  retab	
0xfffffff00830ab44: 5f2403d5  bti	c
0xfffffff00830ab48: 60f800d0  adrp	x0, #0xfffffff00a218000
0xfffffff00830ab4c: 00a00091  add	x0, x0, #0x28
0xfffffff00830ab50: c0035fd6  ret	
0xfffffff00830ab54: 7f2303d5  pacibsp	
0xfffffff00830ab58: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00830ab5c: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00830ab60: fd430091  add	x29, sp, #0x10
0xfffffff00830ab64: f30300aa  mov	x19, x0
0xfffffff00830ab68: 10b1ffb0  adrp	x16, #0xfffffff00792b000
0xfffffff00830ab6c: 10a21f91  add	x16, x16, #0x7e8
0xfffffff00830ab70: 10420091  add	x16, x16, #0x10
0xfffffff00830ab74: f10300aa  mov	x17, x0
0xfffffff00830ab78: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00830ab7c: 300ac1da  pacda	x16, x17
0xfffffff00830ab80: 100000f9  str	x16, [x0]
0xfffffff00830ab84: 000840f9  ldr	x0, [x0, #0x10]
0xfffffff00830ab88: 400100b4  cbz	x0, #0xfffffff00830abb0
0xfffffff00830ab8c: 100040f9  ldr	x16, [x0]
0xfffffff00830ab90: f10300aa  mov	x17, x0
0xfffffff00830ab94: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00830ab98: 301ac1da  autda	x16, x17
0xfffffff00830ab9c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00830aba0: e90310aa  mov	x9, x16
0xfffffff00830aba4: f10309aa  mov	x17, x9
0xfffffff00830aba8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff00830abac: 11093fd7  blraa	x8, x17
0xfffffff00830abb0: 7f0a00f9  str	xzr, [x19, #0x10]
0xfffffff00830abb4: 08008092  mov	x8, #-1
0xfffffff00830abb8: 680200f9  str	x8, [x19]
0xfffffff00830abbc: 80b3fff0  adrp	x0, #0xfffffff00797d000
0xfffffff00830abc0: 00c03791  add	x0, x0, #0xdf0
0xfffffff00830abc4: e10313aa  mov	x1, x19
0xfffffff00830abc8: 02048052  mov	w2, #0x20
0xfffffff00830abcc: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00830abd0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00830abd4: ff2303d5  autibsp	
0xfffffff00830abd8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff00830abdc: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00830abe4
0xfffffff00830abe0: 208e38d4  brk	#0xc471
0xfffffff00830abe4: ae72ff17  b	#0xfffffff0082e769c
0xfffffff00830abe8: 7f2303d5  pacibsp	
0xfffffff00830abec: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00830abf0: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00830abf4: fd430091  add	x29, sp, #0x10
0xfffffff00830abf8: f30300aa  mov	x19, x0
0xfffffff00830abfc: 10b1ffb0  adrp	x16, #0xfffffff00792b000
0xfffffff00830ac00: 10a21f91  add	x16, x16, #0x7e8
0xfffffff00830ac04: 10420091  add	x16, x16, #0x10
0xfffffff00830ac08: f10300aa  mov	x17, x0
0xfffffff00830ac0c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00830ac10: 300ac1da  pacda	x16, x17
0xfffffff00830ac14: 100000f9  str	x16, [x0]
0xfffffff00830ac18: 000840f9  ldr	x0, [x0, #0x10]
0xfffffff00830ac1c: 400100b4  cbz	x0, #0xfffffff00830ac44
0xfffffff00830ac20: 100040f9  ldr	x16, [x0]
0xfffffff00830ac24: f10300aa  mov	x17, x0
0xfffffff00830ac28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00830ac2c: 301ac1da  autda	x16, x17
0xfffffff00830ac30: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff00830ac34: e90310aa  mov	x9, x16
0xfffffff00830ac38: f10309aa  mov	x17, x9
