; Candidate 9653
; ADRP+ADD at VM 0xfffffff008a9bd5c (fileoff 0x1a97d5c): page=0x1fe81b000 add_imm=0xd52

0xfffffff008a9bcdc: eb0309aa  mov	x11, x9
0xfffffff008a9bce0: aa835ef8  ldur	x10, [x29, #-0x18]
0xfffffff008a9bce4: 091942b9  ldr	w9, [x8, #0x218]
0xfffffff008a9bce8: e80309aa  mov	x8, x9
0xfffffff008a9bcec: e9030091  mov	x9, sp
0xfffffff008a9bcf0: 2b0100f9  str	x11, [x9]
0xfffffff008a9bcf4: 2a0500f9  str	x10, [x9, #8]
0xfffffff008a9bcf8: 280900f9  str	x8, [x9, #0x10]
0xfffffff008a9bcfc: c040fff0  adrp	x0, #0xfffffff0072b6000
0xfffffff008a9bd00: 00a43491  add	x0, x0, #0xd29
0xfffffff008a9bd04: 134ee797  bl	#0xfffffff00846f550
0xfffffff008a9bd08: 01000014  b	#0xfffffff008a9bd0c
0xfffffff008a9bd0c: a8335e38  ldurb	w8, [x29, #-0x1d]
0xfffffff008a9bd10: 28030036  tbz	w8, #0, #0xfffffff008a9bd74
0xfffffff008a9bd14: 01000014  b	#0xfffffff008a9bd18
0xfffffff008a9bd18: 01000014  b	#0xfffffff008a9bd1c
0xfffffff008a9bd1c: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff008a9bd20: 086149b9  ldr	w8, [x8, #0x960]
0xfffffff008a9bd24: 08011b72  ands	w8, w8, #0x20
0xfffffff008a9bd28: e8179f1a  cset	w8, eq
0xfffffff008a9bd2c: 08020037  tbnz	w8, #0, #0xfffffff008a9bd6c
0xfffffff008a9bd30: 01000014  b	#0xfffffff008a9bd34
0xfffffff008a9bd34: a8835df8  ldur	x8, [x29, #-0x28]
0xfffffff008a9bd38: 09b140b9  ldr	w9, [x8, #0xb0]
0xfffffff008a9bd3c: ea0309aa  mov	x10, x9
0xfffffff008a9bd40: 086540f9  ldr	x8, [x8, #0xc8]
0xfffffff008a9bd44: e9030091  mov	x9, sp
0xfffffff008a9bd48: 2a0100f9  str	x10, [x9]
0xfffffff008a9bd4c: 280500f9  str	x8, [x9, #8]
0xfffffff008a9bd50: c840fff0  adrp	x8, #0xfffffff0072b6000
0xfffffff008a9bd54: 08213691  add	x8, x8, #0xd88
0xfffffff008a9bd58: 280900f9  str	x8, [x9, #0x10]
0xfffffff008a9bd5c: c040fff0  adrp	x0, #0xfffffff0072b6000
0xfffffff008a9bd60: 00483591  add	x0, x0, #0xd52
0xfffffff008a9bd64: fb4de797  bl	#0xfffffff00846f550
0xfffffff008a9bd68: 01000014  b	#0xfffffff008a9bd6c
0xfffffff008a9bd6c: 01000014  b	#0xfffffff008a9bd70
0xfffffff008a9bd70: 01000014  b	#0xfffffff008a9bd74
0xfffffff008a9bd74: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff008a9bd78: ffc30191  add	sp, sp, #0x70
0xfffffff008a9bd7c: ff0f5fd6  retab	
0xfffffff008a9bd80: 7f2303d5  pacibsp	
0xfffffff008a9bd84: ff4301d1  sub	sp, sp, #0x50
0xfffffff008a9bd88: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008a9bd8c: fd030191  add	x29, sp, #0x40
0xfffffff008a9bd90: a0831ff8  stur	x0, [x29, #-8]
0xfffffff008a9bd94: a8835ff8  ldur	x8, [x29, #-8]
0xfffffff008a9bd98: a8031ff8  stur	x8, [x29, #-0x10]
0xfffffff008a9bd9c: 000541f9  ldr	x0, [x8, #0x208]
0xfffffff008a9bda0: f11f0094  bl	#0xfffffff008aa3d64
0xfffffff008a9bda4: a8035ff8  ldur	x8, [x29, #-0x10]
0xfffffff008a9bda8: 001102b9  str	w0, [x8, #0x210]
0xfffffff008a9bdac: 01000014  b	#0xfffffff008a9bdb0
0xfffffff008a9bdb0: a8035ff8  ldur	x8, [x29, #-0x10]
0xfffffff008a9bdb4: 08514839  ldrb	w8, [x8, #0x214]
0xfffffff008a9bdb8: 48020036  tbz	w8, #0, #0xfffffff008a9be00
0xfffffff008a9bdbc: 01000014  b	#0xfffffff008a9bdc0
0xfffffff008a9bdc0: e9030091  mov	x9, sp
0xfffffff008a9bdc4: e840ffb0  adrp	x8, #0xfffffff0072b8000
0xfffffff008a9bdc8: 08b12291  add	x8, x8, #0x8ac
0xfffffff008a9bdcc: 280100f9  str	x8, [x9]
0xfffffff008a9bdd0: 286981d2  mov	x8, #0xb49
0xfffffff008a9bdd4: 280500f9  str	x8, [x9, #8]
0xfffffff008a9bdd8: ea40ffb0  adrp	x10, #0xfffffff0072b8000
