; Candidate 8593
; ADRP+ADD at VM 0xfffffff0088b3d60 (fileoff 0x18afd60): page=0x1fe936000 add_imm=0xe80

0xfffffff0088b3ce0: 01018052  mov	w1, #8
0xfffffff0088b3ce4: bb1eff97  bl	#0xfffffff00887b7d0
0xfffffff0088b3ce8: c0040034  cbz	w0, #0xfffffff0088b3d80
0xfffffff0088b3cec: 800d8052  mov	w0, #0x6c
0xfffffff0088b3cf0: ca1eff97  bl	#0xfffffff00887b818
0xfffffff0088b3cf4: f60300aa  mov	x22, x0
0xfffffff0088b3cf8: 2d010094  bl	#0xfffffff0088b41ac
0xfffffff0088b3cfc: f50300aa  mov	x21, x0
0xfffffff0088b3d00: 00018052  mov	w0, #8
0xfffffff0088b3d04: d31eff97  bl	#0xfffffff00887b850
0xfffffff0088b3d08: 76010034  cbz	w22, #0xfffffff0088b3d34
0xfffffff0088b3d0c: f35302a9  stp	x19, x20, [sp, #0x20]
0xfffffff0088b3d10: 084cffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b3d14: 08050991  add	x8, x8, #0x241
0xfffffff0088b3d18: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b3d1c: 880d8052  mov	w8, #0x6c
0xfffffff0088b3d20: f52300a9  stp	x21, x8, [sp]
0xfffffff0088b3d24: 004bffd0  adrp	x0, #0xfffffff007215000
0xfffffff0088b3d28: 00a81591  add	x0, x0, #0x56a
0xfffffff0088b3d2c: cd0dd497  bl	#0xfffffff007db7460
0xfffffff0088b3d30: 14000014  b	#0xfffffff0088b3d80
0xfffffff0088b3d34: 1e010094  bl	#0xfffffff0088b41ac
0xfffffff0088b3d38: f50300aa  mov	x21, x0
0xfffffff0088b3d3c: 00018052  mov	w0, #8
0xfffffff0088b3d40: c41eff97  bl	#0xfffffff00887b850
0xfffffff0088b3d44: e80314aa  mov	x8, x20
0xfffffff0088b3d48: f32302a9  stp	x19, x8, [sp, #0x20]
0xfffffff0088b3d4c: 084cffd0  adrp	x8, #0xfffffff007235000
0xfffffff0088b3d50: 08050991  add	x8, x8, #0x241
0xfffffff0088b3d54: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088b3d58: 880d8052  mov	w8, #0x6c
0xfffffff0088b3d5c: f52300a9  stp	x21, x8, [sp]
0xfffffff0088b3d60: a049ffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088b3d64: 00003a91  add	x0, x0, #0xe80
0xfffffff0088b3d68: a18affb0  adrp	x1, #0xfffffff007a08000
0xfffffff0088b3d6c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088b3d70: 834dffb0  adrp	x3, #0xfffffff007264000
0xfffffff0088b3d74: 63443f91  add	x3, x3, #0xfd1
0xfffffff0088b3d78: 02008052  mov	w2, #0
0xfffffff0088b3d7c: edfce997  bl	#0xfffffff008333130
0xfffffff0088b3d80: e00314aa  mov	x0, x20
0xfffffff0088b3d84: fd7b45a9  ldp	x29, x30, [sp, #0x50]
0xfffffff0088b3d88: f44f44a9  ldp	x20, x19, [sp, #0x40]
0xfffffff0088b3d8c: f65743a9  ldp	x22, x21, [sp, #0x30]
0xfffffff0088b3d90: ff830191  add	sp, sp, #0x60
0xfffffff0088b3d94: ff0f5fd6  retab	
0xfffffff0088b3d98: 7f2303d5  pacibsp	
0xfffffff0088b3d9c: ff0303d1  sub	sp, sp, #0xc0
0xfffffff0088b3da0: f85f08a9  stp	x24, x23, [sp, #0x80]
0xfffffff0088b3da4: f65709a9  stp	x22, x21, [sp, #0x90]
0xfffffff0088b3da8: f44f0aa9  stp	x20, x19, [sp, #0xa0]
0xfffffff0088b3dac: fd7b0ba9  stp	x29, x30, [sp, #0xb0]
0xfffffff0088b3db0: fdc30291  add	x29, sp, #0xb0
0xfffffff0088b3db4: a88affb0  adrp	x8, #0xfffffff007a08000
0xfffffff0088b3db8: 082942f9  ldr	x8, [x8, #0x450]
0xfffffff0088b3dbc: 080140f9  ldr	x8, [x8]
0xfffffff0088b3dc0: a8831cf8  stur	x8, [x29, #-0x38]
0xfffffff0088b3dc4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0088b3dc8: e08302ad  stp	q0, q0, [sp, #0x50]
0xfffffff0088b3dcc: 400500b4  cbz	x0, #0xfffffff0088b3e74
0xfffffff0088b3dd0: f70304aa  mov	x23, x4
0xfffffff0088b3dd4: f80303aa  mov	x24, x3
0xfffffff0088b3dd8: f60302aa  mov	x22, x2
0xfffffff0088b3ddc: f40301aa  mov	x20, x1
