; Candidate 9244
; ADRP+ADD at VM 0xfffffff008a13d8c (fileoff 0x1a0fd8c): page=0x1fe886000 add_imm=0xe40

0xfffffff008a13d0c: 9f0e0071  cmp	w20, #3
0xfffffff008a13d10: 812d0054  b.ne	#0xfffffff008a142c0
0xfffffff008a13d14: 685640f9  ldr	x8, [x19, #0xa8]
0xfffffff008a13d18: 081a00b4  cbz	x8, #0xfffffff008a14058
0xfffffff008a13d1c: f81700f9  str	x24, [sp, #0x28]
0xfffffff008a13d20: 700240f9  ldr	x16, [x19]
0xfffffff008a13d24: f10313aa  mov	x17, x19
0xfffffff008a13d28: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a13d2c: 301ac1da  autda	x16, x17
0xfffffff008a13d30: 113d80d2  mov	x17, #0x1e8
0xfffffff008a13d34: 1002118b  add	x16, x16, x17
0xfffffff008a13d38: 080240f9  ldr	x8, [x16]
0xfffffff008a13d3c: e90310aa  mov	x9, x16
0xfffffff008a13d40: e00313aa  mov	x0, x19
0xfffffff008a13d44: 010080d2  mov	x1, #0
0xfffffff008a13d48: f10309aa  mov	x17, x9
0xfffffff008a13d4c: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a13d50: 11093fd7  blraa	x8, x17
0xfffffff008a13d54: 700240f9  ldr	x16, [x19]
0xfffffff008a13d58: f10313aa  mov	x17, x19
0xfffffff008a13d5c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a13d60: 301ac1da  autda	x16, x17
0xfffffff008a13d64: 113d80d2  mov	x17, #0x1e8
0xfffffff008a13d68: 1002118b  add	x16, x16, x17
0xfffffff008a13d6c: 080240f9  ldr	x8, [x16]
0xfffffff008a13d70: e90310aa  mov	x9, x16
0xfffffff008a13d74: e00313aa  mov	x0, x19
0xfffffff008a13d78: 010080d2  mov	x1, #0
0xfffffff008a13d7c: f10309aa  mov	x17, x9
0xfffffff008a13d80: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff008a13d84: 11093fd7  blraa	x8, x17
0xfffffff008a13d88: e06f00a9  stp	x0, x27, [sp]
0xfffffff008a13d8c: 2044ffd0  adrp	x0, #0xfffffff007299000
0xfffffff008a13d90: 00003991  add	x0, x0, #0xe40
0xfffffff008a13d94: c181ff90  adrp	x1, #0xfffffff007a4b000
0xfffffff008a13d98: 215046f9  ldr	x1, [x1, #0xca0]
0xfffffff008a13d9c: 6344ff90  adrp	x3, #0xfffffff00729f000
0xfffffff008a13da0: 63dc1b91  add	x3, x3, #0x6f7
0xfffffff008a13da4: 02008052  mov	w2, #0
0xfffffff008a13da8: e27ce497  bl	#0xfffffff008333130
0xfffffff008a13dac: 605640f9  ldr	x0, [x19, #0xa8]
0xfffffff008a13db0: 5ff30094  bl	#0xfffffff008a50b2c
0xfffffff008a13db4: 20100034  cbz	w0, #0xfffffff008a13fb8
0xfffffff008a13db8: 3544ffd0  adrp	x21, #0xfffffff007299000
0xfffffff008a13dbc: b5023991  add	x21, x21, #0xe40
0xfffffff008a13dc0: d781ff90  adrp	x23, #0xfffffff007a4b000
0xfffffff008a13dc4: f75246f9  ldr	x23, [x23, #0xca0]
0xfffffff008a13dc8: 7844ff90  adrp	x24, #0xfffffff00729f000
0xfffffff008a13dcc: 18af1c91  add	x24, x24, #0x72b
0xfffffff008a13dd0: 545c8052  mov	w20, #0x2e2
0xfffffff008a13dd4: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff008a13dd8: 7944ff90  adrp	x25, #0xfffffff00729f000
0xfffffff008a13ddc: 390b1e91  add	x25, x25, #0x782
0xfffffff008a13de0: 880340b9  ldr	w8, [x28]
0xfffffff008a13de4: 1f791c72  tst	w8, #0xfffffff7
0xfffffff008a13de8: 20010054  b.eq	#0xfffffff008a13e0c
0xfffffff008a13dec: 625640f9  ldr	x2, [x19, #0xa8]
0xfffffff008a13df0: 808f9552  mov	w0, #0xac7c
0xfffffff008a13df4: 80a4a072  movk	w0, #0x524, lsl #16
0xfffffff008a13df8: e10313aa  mov	x1, x19
0xfffffff008a13dfc: 030080d2  mov	x3, #0
0xfffffff008a13e00: 040080d2  mov	x4, #0
0xfffffff008a13e04: 050080d2  mov	x5, #0
0xfffffff008a13e08: 3fa8dd97  bl	#0xfffffff00817df04
