; Candidate 7049
; ADRP+ADD at VM 0xfffffff008853acc (fileoff 0x184facc): page=0x1fe996000 add_imm=0xe80

0xfffffff008853a4c: 18020034  cbz	w24, #0xfffffff008853a8c
0xfffffff008853a50: 684240b9  ldr	w8, [x19, #0x40]
0xfffffff008853a54: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff008853a58: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff008853a5c: 884eff90  adrp	x8, #0xfffffff007223000
0xfffffff008853a60: 08b91291  add	x8, x8, #0x4ae
0xfffffff008853a64: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008853a68: a84eff90  adrp	x8, #0xfffffff007227000
0xfffffff008853a6c: 08811191  add	x8, x8, #0x460
0xfffffff008853a70: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008853a74: 880c8052  mov	w8, #0x64
0xfffffff008853a78: e04dfff0  adrp	x0, #0xfffffff007212000
0xfffffff008853a7c: 00c82691  add	x0, x0, #0x9b2
0xfffffff008853a80: f72300a9  stp	x23, x8, [sp]
0xfffffff008853a84: 778ed597  bl	#0xfffffff007db7460
0xfffffff008853a88: 19000014  b	#0xfffffff008853aec
0xfffffff008853a8c: c8810194  bl	#0xfffffff0088b41ac
0xfffffff008853a90: f70300aa  mov	x23, x0
0xfffffff008853a94: e0008052  mov	w0, #7
0xfffffff008853a98: 6e9f0094  bl	#0xfffffff00887b850
0xfffffff008853a9c: e80316aa  mov	x8, x22
0xfffffff008853aa0: 694240b9  ldr	w9, [x19, #0x40]
0xfffffff008853aa4: f52304a9  stp	x21, x8, [sp, #0x40]
0xfffffff008853aa8: e95303a9  stp	x9, x20, [sp, #0x30]
0xfffffff008853aac: 884eff90  adrp	x8, #0xfffffff007223000
0xfffffff008853ab0: 08b91291  add	x8, x8, #0x4ae
0xfffffff008853ab4: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008853ab8: a84eff90  adrp	x8, #0xfffffff007227000
0xfffffff008853abc: 08811191  add	x8, x8, #0x460
0xfffffff008853ac0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008853ac4: 880c8052  mov	w8, #0x64
0xfffffff008853ac8: f72300a9  stp	x23, x8, [sp]
0xfffffff008853acc: a04cffd0  adrp	x0, #0xfffffff0071e9000
0xfffffff008853ad0: 00003a91  add	x0, x0, #0xe80
0xfffffff008853ad4: a18dffb0  adrp	x1, #0xfffffff007a08000
0xfffffff008853ad8: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008853adc: 0350ff90  adrp	x3, #0xfffffff007253000
0xfffffff008853ae0: 63e41691  add	x3, x3, #0x5b9
0xfffffff008853ae4: 02008052  mov	w2, #0
0xfffffff008853ae8: 927deb97  bl	#0xfffffff008333130
0xfffffff008853aec: e00316aa  mov	x0, x22
0xfffffff008853af0: fd7b4ba9  ldp	x29, x30, [sp, #0xb0]
0xfffffff008853af4: f44f4aa9  ldp	x20, x19, [sp, #0xa0]
0xfffffff008853af8: f65749a9  ldp	x22, x21, [sp, #0x90]
0xfffffff008853afc: f85f48a9  ldp	x24, x23, [sp, #0x80]
0xfffffff008853b00: fa6747a9  ldp	x26, x25, [sp, #0x70]
0xfffffff008853b04: ff030391  add	sp, sp, #0xc0
0xfffffff008853b08: ff0f5fd6  retab	
0xfffffff008853b0c: a8810194  bl	#0xfffffff0088b41ac
0xfffffff008853b10: f70300aa  mov	x23, x0
0xfffffff008853b14: a0008052  mov	w0, #5
0xfffffff008853b18: 4e9f0094  bl	#0xfffffff00887b850
0xfffffff008853b1c: a80e40f9  ldr	x8, [x21, #0x18]
0xfffffff008853b20: 891a40b9  ldr	w9, [x20, #0x18]
0xfffffff008853b24: 2a5b40b9  ldr	w10, [x25, #0x58]
0xfffffff008853b28: ab1240b9  ldr	w11, [x21, #0x10]
0xfffffff008853b2c: ac5240b9  ldr	w12, [x21, #0x50]
0xfffffff008853b30: e83306a9  stp	x8, x12, [sp, #0x60]
0xfffffff008853b34: f52f05a9  stp	x21, x11, [sp, #0x50]
0xfffffff008853b38: f92b04a9  stp	x25, x10, [sp, #0x40]
0xfffffff008853b3c: f42703a9  stp	x20, x9, [sp, #0x30]
0xfffffff008853b40: 88a28052  mov	w8, #0x514
0xfffffff008853b44: 894eff90  adrp	x9, #0xfffffff007223000
0xfffffff008853b48: 29b91291  add	x9, x9, #0x4ae
