; Candidate 12097
; ADRP+ADD at VM 0xfffffff008fe1cd4 (fileoff 0x1fddcd4): page=0x1fe451000 add_imm=0xe4c

0xfffffff008fe1c54: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff008fe1c58: e90310aa  mov	x9, x16
0xfffffff008fe1c5c: f10309aa  mov	x17, x9
0xfffffff008fe1c60: 113de2f2  movk	x17, #0x11e8, lsl #48
0xfffffff008fe1c64: 11093fd7  blraa	x8, x17
0xfffffff008fe1c68: 685640f9  ldr	x8, [x19, #0xa8]
0xfffffff008fe1c6c: 003d40f9  ldr	x0, [x8, #0x78]
0xfffffff008fe1c70: 100040f9  ldr	x16, [x0]
0xfffffff008fe1c74: f10300aa  mov	x17, x0
0xfffffff008fe1c78: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fe1c7c: 301ac1da  autda	x16, x17
0xfffffff008fe1c80: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff008fe1c84: e90310aa  mov	x9, x16
0xfffffff008fe1c88: f10309aa  mov	x17, x9
0xfffffff008fe1c8c: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff008fe1c90: 11093fd7  blraa	x8, x17
0xfffffff008fe1c94: 605a00f9  str	x0, [x19, #0xb0]
0xfffffff008fe1c98: 605640f9  ldr	x0, [x19, #0xa8]
0xfffffff008fe1c9c: 088840b9  ldr	w8, [x0, #0x88]
0xfffffff008fe1ca0: 68ba00b9  str	w8, [x19, #0xb8]
0xfffffff008fe1ca4: 95fe3794  bl	#0xfffffff009de16f8
0xfffffff008fe1ca8: 606200f9  str	x0, [x19, #0xc0]
0xfffffff008fe1cac: 605640f9  ldr	x0, [x19, #0xa8]
0xfffffff008fe1cb0: 100040f9  ldr	x16, [x0]
0xfffffff008fe1cb4: f10300aa  mov	x17, x0
0xfffffff008fe1cb8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fe1cbc: 301ac1da  autda	x16, x17
0xfffffff008fe1cc0: 080e4bf8  ldr	x8, [x16, #0xb0]!
0xfffffff008fe1cc4: e90310aa  mov	x9, x16
0xfffffff008fe1cc8: f10309aa  mov	x17, x9
0xfffffff008fe1ccc: d162f3f2  movk	x17, #0x9b16, lsl #48
0xfffffff008fe1cd0: 11093fd7  blraa	x8, x17
0xfffffff008fe1cd4: 8022ffb0  adrp	x0, #0xfffffff007432000
0xfffffff008fe1cd8: 00303991  add	x0, x0, #0xe4c
0xfffffff008fe1cdc: c114cd97  bl	#0xfffffff008326fe0
0xfffffff008fe1ce0: f40300aa  mov	x20, x0
0xfffffff008fe1ce4: 885affb0  adrp	x8, #0xfffffff007b32000
0xfffffff008fe1ce8: 083147f9  ldr	x8, [x8, #0xe60]
0xfffffff008fe1cec: 010140f9  ldr	x1, [x8]
0xfffffff008fe1cf0: 700240f9  ldr	x16, [x19]
0xfffffff008fe1cf4: f10313aa  mov	x17, x19
0xfffffff008fe1cf8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fe1cfc: 301ac1da  autda	x16, x17
0xfffffff008fe1d00: 088e4bf8  ldr	x8, [x16, #0xb8]!
0xfffffff008fe1d04: e90310aa  mov	x9, x16
0xfffffff008fe1d08: e00313aa  mov	x0, x19
0xfffffff008fe1d0c: e20314aa  mov	x2, x20
0xfffffff008fe1d10: f10309aa  mov	x17, x9
0xfffffff008fe1d14: 11afe8f2  movk	x17, #0x4578, lsl #48
0xfffffff008fe1d18: 11093fd7  blraa	x8, x17
0xfffffff008fe1d1c: 900240f9  ldr	x16, [x20]
0xfffffff008fe1d20: f10314aa  mov	x17, x20
0xfffffff008fe1d24: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fe1d28: 301ac1da  autda	x16, x17
0xfffffff008fe1d2c: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008fe1d30: e90310aa  mov	x9, x16
0xfffffff008fe1d34: e00314aa  mov	x0, x20
0xfffffff008fe1d38: f10309aa  mov	x17, x9
0xfffffff008fe1d3c: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008fe1d40: 11093fd7  blraa	x8, x17
0xfffffff008fe1d44: 700240f9  ldr	x16, [x19]
0xfffffff008fe1d48: f10313aa  mov	x17, x19
0xfffffff008fe1d4c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008fe1d50: 301ac1da  autda	x16, x17
