; Candidate 12680
; ADRP+ADD at VM 0xfffffff00911bf44 (fileoff 0x2117f44): page=0x11f9000 add_imm=0xd48

0xfffffff00911bec4: 21740191  add	x1, x1, #0x5d
0xfffffff00911bec8: e00313aa  mov	x0, x19
0xfffffff00911becc: e20315aa  mov	x2, x21
0xfffffff00911bed0: 03008092  mov	x3, #-1
0xfffffff00911bed4: 9b0fb697  bl	#0xfffffff007e9fd40
0xfffffff00911bed8: 211bffb0  adrp	x1, #0xfffffff007480000
0xfffffff00911bedc: 21881b91  add	x1, x1, #0x6e2
0xfffffff00911bee0: e00313aa  mov	x0, x19
0xfffffff00911bee4: e20315aa  mov	x2, x21
0xfffffff00911bee8: 03008092  mov	x3, #-1
0xfffffff00911beec: 950fb697  bl	#0xfffffff007e9fd40
0xfffffff00911bef0: e00314aa  mov	x0, x20
0xfffffff00911bef4: ac680094  bl	#0xfffffff0091361a4
0xfffffff00911bef8: f64f00a9  stp	x22, x19, [sp]
0xfffffff00911befc: e01affb0  adrp	x0, #0xfffffff007478000
0xfffffff00911bf00: 00ec0191  add	x0, x0, #0x7b
0xfffffff00911bf04: 47ecc897  bl	#0xfffffff008357020
0xfffffff00911bf08: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff00911bf0c: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff00911bf10: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff00911bf14: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff00911bf18: ff430191  add	sp, sp, #0x50
0xfffffff00911bf1c: ff0f5fd6  retab	
0xfffffff00911bf20: cca30094  bl	#0xfffffff009144e50
0xfffffff00911bf24: dea30094  bl	#0xfffffff009144e9c
0xfffffff00911bf28: 03a40094  bl	#0xfffffff009144f34
0xfffffff00911bf2c: efa30094  bl	#0xfffffff009144ee8
0xfffffff00911bf30: 5f2403d5  bti	c
0xfffffff00911bf34: f021c717  b	#0xfffffff0082e46f4
0xfffffff00911bf38: 7f2303d5  pacibsp	
0xfffffff00911bf3c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00911bf40: fd030091  mov	x29, sp
0xfffffff00911bf44: c08f00b0  adrp	x0, #0xfffffff00a314000
0xfffffff00911bf48: 00203591  add	x0, x0, #0xd48
0xfffffff00911bf4c: e11aff90  adrp	x1, #0xfffffff007477000
0xfffffff00911bf50: 21d83691  add	x1, x1, #0xdb6
0xfffffff00911bf54: c28f00d0  adrp	x2, #0xfffffff00a315000
0xfffffff00911bf58: 42801591  add	x2, x2, #0x560
0xfffffff00911bf5c: 03048052  mov	w3, #0x20
0xfffffff00911bf60: f61ec797  bl	#0xfffffff0082e3b38
0xfffffff00911bf64: f051ff90  adrp	x16, #0xfffffff007b57000
0xfffffff00911bf68: 10c23891  add	x16, x16, #0xe30
0xfffffff00911bf6c: 10420091  add	x16, x16, #0x10
0xfffffff00911bf70: f10300aa  mov	x17, x0
0xfffffff00911bf74: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00911bf78: 300ac1da  pacda	x16, x17
0xfffffff00911bf7c: 100000f9  str	x16, [x0]
0xfffffff00911bf80: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff00911bf84: ff0f5fd6  retab	
0xfffffff00911bf88: 5f2403d5  bti	c
0xfffffff00911bf8c: c08f00b0  adrp	x0, #0xfffffff00a314000
0xfffffff00911bf90: 00203591  add	x0, x0, #0xd48
0xfffffff00911bf94: d821c717  b	#0xfffffff0082e46f4
0xfffffff00911bf98: 7f2303d5  pacibsp	
0xfffffff00911bf9c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00911bfa0: fd030091  mov	x29, sp
0xfffffff00911bfa4: e11affb0  adrp	x1, #0xfffffff007478000
0xfffffff00911bfa8: 214c0291  add	x1, x1, #0x93
0xfffffff00911bfac: c251ff90  adrp	x2, #0xfffffff007b53000
0xfffffff00911bfb0: 42cc44f9  ldr	x2, [x2, #0x998]
0xfffffff00911bfb4: 03198052  mov	w3, #0xc8
0xfffffff00911bfb8: e01ec797  bl	#0xfffffff0082e3b38
0xfffffff00911bfbc: f051ffb0  adrp	x16, #0xfffffff007b58000
0xfffffff00911bfc0: 10e21391  add	x16, x16, #0x4f8
