; Candidate 11349
; ADRP+ADD at VM 0xfffffff008ef4b70 (fileoff 0x1ef0b70): page=0x1fe516000 add_imm=0xd07

0xfffffff008ef4af0: a828ffd0  adrp	x8, #0xfffffff00740a000
0xfffffff008ef4af4: 08252a91  add	x8, x8, #0xa89
0xfffffff008ef4af8: 69008052  mov	w9, #3
0xfffffff008ef4afc: 7f2200a9  stp	xzr, x8, [x19]
0xfffffff008ef4b00: 690200b9  str	w9, [x19]
0xfffffff008ef4b04: 48088052  mov	w8, #0x42
0xfffffff008ef4b08: 680a00f9  str	x8, [x19, #0x10]
0xfffffff008ef4b0c: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff008ef4b10: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff008ef4b14: ff430191  add	sp, sp, #0x50
0xfffffff008ef4b18: ff0f5fd6  retab	
0xfffffff008ef4b1c: 7f2303d5  pacibsp	
0xfffffff008ef4b20: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008ef4b24: fd030091  mov	x29, sp
0xfffffff008ef4b28: 1061ff90  adrp	x16, #0xfffffff007b14000
0xfffffff008ef4b2c: 10021f91  add	x16, x16, #0x7c0
0xfffffff008ef4b30: 10420091  add	x16, x16, #0x10
0xfffffff008ef4b34: f10300aa  mov	x17, x0
0xfffffff008ef4b38: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef4b3c: 300ac1da  pacda	x16, x17
0xfffffff008ef4b40: 100000f9  str	x16, [x0]
0xfffffff008ef4b44: 080440f9  ldr	x8, [x0, #8]
0xfffffff008ef4b48: 480100b5  cbnz	x8, #0xfffffff008ef4b70
0xfffffff008ef4b4c: e10300aa  mov	x1, x0
0xfffffff008ef4b50: 0061ffb0  adrp	x0, #0xfffffff007b15000
0xfffffff008ef4b54: 00001a91  add	x0, x0, #0x680
0xfffffff008ef4b58: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008ef4b5c: ff2303d5  autibsp	
0xfffffff008ef4b60: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008ef4b64: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008ef4b6c
0xfffffff008ef4b68: 208e38d4  brk	#0xc471
0xfffffff008ef4b6c: e886d117  b	#0xfffffff00835670c
0xfffffff008ef4b70: a028ffd0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef4b74: 001c3491  add	x0, x0, #0xd07
0xfffffff008ef4b78: e7f2ff97  bl	#0xfffffff008ef1714
0xfffffff008ef4b7c: 7f2303d5  pacibsp	
0xfffffff008ef4b80: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008ef4b84: fd030091  mov	x29, sp
0xfffffff008ef4b88: 1061ff90  adrp	x16, #0xfffffff007b14000
0xfffffff008ef4b8c: 10021f91  add	x16, x16, #0x7c0
0xfffffff008ef4b90: 10420091  add	x16, x16, #0x10
0xfffffff008ef4b94: f10300aa  mov	x17, x0
0xfffffff008ef4b98: 31f3f1f2  movk	x17, #0x8f99, lsl #48
0xfffffff008ef4b9c: 300ac1da  pacda	x16, x17
0xfffffff008ef4ba0: 100000f9  str	x16, [x0]
0xfffffff008ef4ba4: 080440f9  ldr	x8, [x0, #8]
0xfffffff008ef4ba8: 680000b5  cbnz	x8, #0xfffffff008ef4bb4
0xfffffff008ef4bac: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008ef4bb0: ff0f5fd6  retab	
0xfffffff008ef4bb4: a028ffd0  adrp	x0, #0xfffffff00740a000
0xfffffff008ef4bb8: 001c3491  add	x0, x0, #0xd07
0xfffffff008ef4bbc: d6f2ff97  bl	#0xfffffff008ef1714
0xfffffff008ef4bc0: 7f2303d5  pacibsp	
0xfffffff008ef4bc4: ff0302d1  sub	sp, sp, #0x80
0xfffffff008ef4bc8: f65705a9  stp	x22, x21, [sp, #0x50]
0xfffffff008ef4bcc: f44f06a9  stp	x20, x19, [sp, #0x60]
0xfffffff008ef4bd0: fd7b07a9  stp	x29, x30, [sp, #0x70]
0xfffffff008ef4bd4: fdc30191  add	x29, sp, #0x70
0xfffffff008ef4bd8: f30308aa  mov	x19, x8
0xfffffff008ef4bdc: 480040b9  ldr	w8, [x2]
0xfffffff008ef4be0: 1f0d0071  cmp	w8, #3
0xfffffff008ef4be4: 01060054  b.ne	#0xfffffff008ef4ca4
0xfffffff008ef4be8: f50301aa  mov	x21, x1
0xfffffff008ef4bec: 200040f9  ldr	x0, [x1]
