; Candidate 4671
; ADRP+ADD at VM 0xfffffff0087c1e3c (fileoff 0x17bde3c): page=0x1fe970000 add_imm=0xd90

0xfffffff0087c1dbc: e2031b2a  mov	w2, w27
0xfffffff0087c1dc0: e03340f9  ldr	x0, [sp, #0x60]
0xfffffff0087c1dc4: e13f40f9  ldr	x1, [sp, #0x78]
0xfffffff0087c1dc8: 2b76db97  bl	#0xfffffff007e9f674
0xfffffff0087c1dcc: c0030135  cbnz	w0, #0xfffffff0087c3e44
0xfffffff0087c1dd0: f4031baa  mov	x20, x27
0xfffffff0087c1dd4: 794cfff0  adrp	x25, #0xfffffff007150000
0xfffffff0087c1dd8: 39df2a91  add	x25, x25, #0xab7
0xfffffff0087c1ddc: f74cffb0  adrp	x23, #0xfffffff00715e000
0xfffffff0087c1de0: f7ce2c91  add	x23, x23, #0xb33
0xfffffff0087c1de4: 9b260034  cbz	w27, #0xfffffff0087c22b4
0xfffffff0087c1de8: e00313aa  mov	x0, x19
0xfffffff0087c1dec: e10317aa  mov	x1, x23
0xfffffff0087c1df0: 02018052  mov	w2, #8
0xfffffff0087c1df4: 33e5ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c1df8: 1f000471  cmp	w0, #0x100
0xfffffff0087c1dfc: 62fd0054  b.hs	#0xfffffff0087c3da8
0xfffffff0087c1e00: 94060071  subs	w20, w20, #1
0xfffffff0087c1e04: 21ffff54  b.ne	#0xfffffff0087c1de8
0xfffffff0087c1e08: 2b010014  b	#0xfffffff0087c22b4
0xfffffff0087c1e0c: 9f2403d5  bti	j
0xfffffff0087c1e10: e00313aa  mov	x0, x19
0xfffffff0087c1e14: e14cffd0  adrp	x1, #0xfffffff00715f000
0xfffffff0087c1e18: 218c2e91  add	x1, x1, #0xba3
0xfffffff0087c1e1c: 02018052  mov	w2, #8
0xfffffff0087c1e20: 28e5ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087c1e24: 604230b9  str	w0, [x19, #0x3040]
0xfffffff0087c1e28: 1f000471  cmp	w0, #0x100
0xfffffff0087c1e2c: 630f0054  b.lo	#0xfffffff0087c2018
0xfffffff0087c1e30: e84cffd0  adrp	x8, #0xfffffff00715f000
0xfffffff0087c1e34: 081d2f91  add	x8, x8, #0xbc7
0xfffffff0087c1e38: e80300a9  stp	x8, x0, [sp]
0xfffffff0087c1e3c: 804bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087c1e40: 00403691  add	x0, x0, #0xd90
0xfffffff0087c1e44: e191ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087c1e48: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087c1e4c: 02008052  mov	w2, #0
0xfffffff0087c1e50: 634cffb0  adrp	x3, #0xfffffff00714e000
0xfffffff0087c1e54: 63a43a91  add	x3, x3, #0xea9
0xfffffff0087c1e58: b6c4ed97  bl	#0xfffffff008333130
0xfffffff0087c1e5c: 37008052  mov	w23, #1
0xfffffff0087c1e60: ea0318aa  mov	x10, x24
0xfffffff0087c1e64: 4f000014  b	#0xfffffff0087c1fa0
0xfffffff0087c1e68: 9f2403d5  bti	j
0xfffffff0087c1e6c: 780900b4  cbz	x24, #0xfffffff0087c1f98
0xfffffff0087c1e70: 080080d2  mov	x8, #0
0xfffffff0087c1e74: 2903188b  add	x9, x25, x24
0xfffffff0087c1e78: 2901148b  add	x9, x9, x20
0xfffffff0087c1e7c: 2901178b  add	x9, x9, x23
0xfffffff0087c1e80: 6903098b  add	x9, x27, x9
0xfffffff0087c1e84: 290500d1  sub	x9, x9, #1
0xfffffff0087c1e88: 794cfff0  adrp	x25, #0xfffffff007150000
0xfffffff0087c1e8c: 39df2a91  add	x25, x25, #0xab7
0xfffffff0087c1e90: 1f0308ab  cmn	x24, x8
0xfffffff0087c1e94: 00f70054  b.eq	#0xfffffff0087c3d74
0xfffffff0087c1e98: 2a696838  ldrb	w10, [x9, x8]
0xfffffff0087c1e9c: 080500d1  sub	x8, x8, #1
0xfffffff0087c1ea0: 8affff34  cbz	w10, #0xfffffff0087c1e90
0xfffffff0087c1ea4: 1e000014  b	#0xfffffff0087c1f1c
0xfffffff0087c1ea8: 9f2403d5  bti	j
0xfffffff0087c1eac: 780700b4  cbz	x24, #0xfffffff0087c1f98
0xfffffff0087c1eb0: f52f00f9  str	x21, [sp, #0x58]
0xfffffff0087c1eb4: fc0318aa  mov	x28, x24
0xfffffff0087c1eb8: f54cffd0  adrp	x21, #0xfffffff00715f000
