; Candidate 5613
; ADRP+ADD at VM 0xfffffff0087fcd44 (fileoff 0x17f8d44): page=0x1fe9ed000 add_imm=0xe80

0xfffffff0087fccc4: 0a000014  b	#0xfffffff0087fccec
0xfffffff0087fccc8: a80a1c8b  add	x8, x21, x28, lsl #2
0xfffffff0087fcccc: 082140b9  ldr	w8, [x8, #0x20]
0xfffffff0087fccd0: 60030034  cbz	w0, #0xfffffff0087fcd3c
0xfffffff0087fccd4: e96f40b9  ldr	w9, [sp, #0x6c]
0xfffffff0087fccd8: 29032837  tbnz	w9, #5, #0xfffffff0087fcd3c
0xfffffff0087fccdc: fca300a9  stp	x28, x8, [sp, #8]
0xfffffff0087fcce0: fb0300f9  str	x27, [sp]
0xfffffff0087fcce4: c050fff0  adrp	x0, #0xfffffff007217000
0xfffffff0087fcce8: 00c41491  add	x0, x0, #0x531
0xfffffff0087fccec: dde9d697  bl	#0xfffffff007db7460
0xfffffff0087fccf0: 1d000014  b	#0xfffffff0087fcd64
0xfffffff0087fccf4: 2edd0294  bl	#0xfffffff0088b41ac
0xfffffff0087fccf8: f90300aa  mov	x25, x0
0xfffffff0087fccfc: e00316aa  mov	x0, x22
0xfffffff0087fcd00: d4fa0194  bl	#0xfffffff00887b850
0xfffffff0087fcd04: 482340b9  ldr	w8, [x26, #0x20]
0xfffffff0087fcd08: fc2302a9  stp	x28, x8, [sp, #0x20]
0xfffffff0087fcd0c: e06f01a9  stp	x0, x27, [sp, #0x10]
0xfffffff0087fcd10: e82340f9  ldr	x8, [sp, #0x40]
0xfffffff0087fcd14: f92300a9  stp	x25, x8, [sp]
0xfffffff0087fcd18: 604fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fcd1c: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fcd20: 6190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087fcd24: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fcd28: 02008052  mov	w2, #0
0xfffffff0087fcd2c: 2352ffb0  adrp	x3, #0xfffffff007241000
0xfffffff0087fcd30: 63583891  add	x3, x3, #0xe16
0xfffffff0087fcd34: ffd8ec97  bl	#0xfffffff008333130
0xfffffff0087fcd38: 0b000014  b	#0xfffffff0087fcd64
0xfffffff0087fcd3c: fca300a9  stp	x28, x8, [sp, #8]
0xfffffff0087fcd40: fb0300f9  str	x27, [sp]
0xfffffff0087fcd44: 604fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fcd48: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fcd4c: 6190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff0087fcd50: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fcd54: 02008052  mov	w2, #0
0xfffffff0087fcd58: 2352ffb0  adrp	x3, #0xfffffff007241000
0xfffffff0087fcd5c: 63e83791  add	x3, x3, #0xdfa
0xfffffff0087fcd60: f4d8ec97  bl	#0xfffffff008333130
0xfffffff0087fcd64: 9c070091  add	x28, x28, #1
0xfffffff0087fcd68: 9f1300f1  cmp	x28, #4
0xfffffff0087fcd6c: 81e8ff54  b.ne	#0xfffffff0087fca7c
0xfffffff0087fcd70: e00314aa  mov	x0, x20
0xfffffff0087fcd74: e10316aa  mov	x1, x22
0xfffffff0087fcd78: 96fa0194  bl	#0xfffffff00887b7d0
0xfffffff0087fcd7c: e0070036  tbz	w0, #0, #0xfffffff0087fce78
0xfffffff0087fcd80: e00314aa  mov	x0, x20
0xfffffff0087fcd84: a5fa0194  bl	#0xfffffff00887b818
0xfffffff0087fcd88: 5302f837  tbnz	w19, #0x1f, #0xfffffff0087fcdd0
0xfffffff0087fcd8c: 78021b12  and	w24, w19, #0x20
0xfffffff0087fcd90: 19000052  eor	w25, w0, #1
0xfffffff0087fcd94: 06dd0294  bl	#0xfffffff0088b41ac
0xfffffff0087fcd98: f70300aa  mov	x23, x0
0xfffffff0087fcd9c: e00316aa  mov	x0, x22
0xfffffff0087fcda0: acfa0194  bl	#0xfffffff00887b850
0xfffffff0087fcda4: 2817582a  orr	w8, w25, w24, lsr #5
0xfffffff0087fcda8: e8020037  tbnz	w8, #0, #0xfffffff0087fce04
0xfffffff0087fcdac: a97240b9  ldr	w9, [x21, #0x70]
0xfffffff0087fcdb0: e8c30191  add	x8, sp, #0x70
0xfffffff0087fcdb4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087fcdb8: e80314aa  mov	x8, x20
0xfffffff0087fcdbc: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087fcdc0: f70300f9  str	x23, [sp]
