; Candidate 4608
; ADRP+ADD at VM 0xfffffff0087bd96c (fileoff 0x17b996c): page=0x1fe974000 add_imm=0xd90

0xfffffff0087bd8ec: 600d084e  dup	v0.2d, x11
0xfffffff0087bd8f0: 4b4dffd0  adrp	x11, #0xfffffff007167000
0xfffffff0087bd8f4: 61a5c03d  ldr	q1, [x11, #0x290]
0xfffffff0087bd8f8: 4a110091  add	x10, x10, #4
0xfffffff0087bd8fc: 4a7d7d92  and	x10, x10, #0x7fffffff8
0xfffffff0087bd900: 0b208052  mov	w11, #0x100
0xfffffff0087bd904: 4c008052  mov	w12, #2
0xfffffff0087bd908: 820d084e  dup	v2.2d, x12
0xfffffff0087bd90c: 033ce16e  cmhs	v3.2d, v0.2d, v1.2d
0xfffffff0087bd910: 6328a10e  xtn	v3.2s, v3.2d
0xfffffff0087bd914: 6c00261e  fmov	w12, s3
0xfffffff0087bd918: 6c000036  tbz	w12, #0, #0xfffffff0087bd924
0xfffffff0087bd91c: 0c01098b  add	x12, x8, x9
0xfffffff0087bd920: 8b7d06b9  str	w11, [x12, #0x67c]
0xfffffff0087bd924: 6c3c0c0e  mov	w12, v3.s[1]
0xfffffff0087bd928: 6c000036  tbz	w12, #0, #0xfffffff0087bd934
0xfffffff0087bd92c: 0c01098b  add	x12, x8, x9
0xfffffff0087bd930: 8b8106b9  str	w11, [x12, #0x680]
0xfffffff0087bd934: 2184e24e  add	v1.2d, v1.2d, v2.2d
0xfffffff0087bd938: 29210091  add	x9, x9, #8
0xfffffff0087bd93c: 5f0109eb  cmp	x10, x9
0xfffffff0087bd940: 61feff54  b.ne	#0xfffffff0087bd90c
0xfffffff0087bd944: 47000014  b	#0xfffffff0087bda60
0xfffffff0087bd948: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff0087bd94c: 081d40b9  ldr	w8, [x8, #0x1c]
0xfffffff0087bd950: 1f310071  cmp	w8, #0xc
0xfffffff0087bd954: 04194f7a  ccmp	w8, #0xf, #4, ne
0xfffffff0087bd958: e0010054  b.eq	#0xfffffff0087bd994
0xfffffff0087bd95c: a81c8252  mov	w8, #0x10e5
0xfffffff0087bd960: 094dffb0  adrp	x9, #0xfffffff00715e000
0xfffffff0087bd964: 29d53891  add	x9, x9, #0xe35
0xfffffff0087bd968: e92300a9  stp	x9, x8, [sp]
0xfffffff0087bd96c: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bd970: 00403691  add	x0, x0, #0xd90
0xfffffff0087bd974: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bd978: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bd97c: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bd980: 63bc2b91  add	x3, x3, #0xaef
0xfffffff0087bd984: 02008052  mov	w2, #0
0xfffffff0087bd988: ead5ed97  bl	#0xfffffff008333130
0xfffffff0087bd98c: 682e40f9  ldr	x8, [x19, #0x58]
0xfffffff0087bd990: 081d40b9  ldr	w8, [x8, #0x1c]
0xfffffff0087bd994: 1f3d0071  cmp	w8, #0xf
0xfffffff0087bd998: 09088052  mov	w9, #0x40
0xfffffff0087bd99c: 0a108052  mov	w10, #0x80
0xfffffff0087bd9a0: 4901891a  csel	w9, w10, w9, eq
0xfffffff0087bd9a4: 6b3240f9  ldr	x11, [x19, #0x60]
0xfffffff0087bd9a8: ca060091  add	x10, x22, #1
0xfffffff0087bd9ac: 4a7d7f92  and	x10, x10, #0x1fffffffe
0xfffffff0087bd9b0: cc0600d1  sub	x12, x22, #1
0xfffffff0087bd9b4: 800d084e  dup	v0.2d, x12
0xfffffff0087bd9b8: 4c4dffd0  adrp	x12, #0xfffffff007167000
0xfffffff0087bd9bc: 81a5c03d  ldr	q1, [x12, #0x290]
0xfffffff0087bd9c0: 6b011a91  add	x11, x11, #0x680
0xfffffff0087bd9c4: 4c008052  mov	w12, #2
0xfffffff0087bd9c8: 820d084e  dup	v2.2d, x12
0xfffffff0087bd9cc: 033ce16e  cmhs	v3.2d, v0.2d, v1.2d
0xfffffff0087bd9d0: 6328a10e  xtn	v3.2s, v3.2d
0xfffffff0087bd9d4: 6c00261e  fmov	w12, s3
0xfffffff0087bd9d8: 4c000036  tbz	w12, #0, #0xfffffff0087bd9e0
0xfffffff0087bd9dc: 69c11fb8  stur	w9, [x11, #-4]
0xfffffff0087bd9e0: 6c3c0c0e  mov	w12, v3.s[1]
0xfffffff0087bd9e4: 4c000036  tbz	w12, #0, #0xfffffff0087bd9ec
0xfffffff0087bd9e8: 690100b9  str	w9, [x11]
