; Candidate 293
; ADRP+ADD at VM 0xfffffff007e91984 (fileoff 0xe8d984): page=0x2366000 add_imm=0xe68

0xfffffff007e91904: 361b01d0  adrp	x22, #0xfffffff00a1f7000
0xfffffff007e91908: d6a23991  add	x22, x22, #0xe68
0xfffffff007e9190c: e00316aa  mov	x0, x22
0xfffffff007e91910: 01008052  mov	w1, #0
0xfffffff007e91914: e20315aa  mov	x2, x21
0xfffffff007e91918: 03008052  mov	w3, #0
0xfffffff007e9191c: a179fc97  bl	#0xfffffff007daffa0
0xfffffff007e91920: a8024039  ldrb	w8, [x21]
0xfffffff007e91924: 48ffff34  cbz	w8, #0xfffffff007e9190c
0xfffffff007e91928: 881a44b9  ldr	w8, [x20, #0x418]
0xfffffff007e9192c: e20308aa  mov	x2, x8
0xfffffff007e91930: fffea288  casl	w2, wzr, [x23]
0xfffffff007e91934: 5f00086b  cmp	w2, w8
0xfffffff007e91938: c1040054  b.ne	#0xfffffff007e919d0
0xfffffff007e9193c: e00313aa  mov	x0, x19
0xfffffff007e91940: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff007e91944: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff007e91948: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff007e9194c: f85f41a9  ldp	x24, x23, [sp, #0x10]
0xfffffff007e91950: ff430191  add	sp, sp, #0x50
0xfffffff007e91954: ff0f5fd6  retab	
0xfffffff007e91958: 201b01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e9195c: 00a03991  add	x0, x0, #0xe68
0xfffffff007e91960: e10314aa  mov	x1, x20
0xfffffff007e91964: 02008052  mov	w2, #0
0xfffffff007e91968: 6468fc97  bl	#0xfffffff007dabaf8
0xfffffff007e9196c: a5ffff17  b	#0xfffffff007e91800
0xfffffff007e91970: 201b01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e91974: 00a03991  add	x0, x0, #0xe68
0xfffffff007e91978: e10314aa  mov	x1, x20
0xfffffff007e9197c: 7a6bfc97  bl	#0xfffffff007dac764
0xfffffff007e91980: b8ffff17  b	#0xfffffff007e91860
0xfffffff007e91984: 201b01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e91988: 00a03991  add	x0, x0, #0xe68
0xfffffff007e9198c: e10314aa  mov	x1, x20
0xfffffff007e91990: 02008052  mov	w2, #0
0xfffffff007e91994: 5968fc97  bl	#0xfffffff007dabaf8
0xfffffff007e91998: c4ffff17  b	#0xfffffff007e918a8
0xfffffff007e9199c: 201b01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e919a0: 00a03991  add	x0, x0, #0xe68
0xfffffff007e919a4: e10314aa  mov	x1, x20
0xfffffff007e919a8: 6f6bfc97  bl	#0xfffffff007dac764
0xfffffff007e919ac: cbffff17  b	#0xfffffff007e918d8
0xfffffff007e919b0: 201b01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e919b4: 00a03991  add	x0, x0, #0xe68
0xfffffff007e919b8: e10314aa  mov	x1, x20
0xfffffff007e919bc: 02008052  mov	w2, #0
0xfffffff007e919c0: 4e68fc97  bl	#0xfffffff007dabaf8
0xfffffff007e919c4: a8024039  ldrb	w8, [x21]
0xfffffff007e919c8: 08fbff35  cbnz	w8, #0xfffffff007e91928
0xfffffff007e919cc: ceffff17  b	#0xfffffff007e91904
0xfffffff007e919d0: 201b01d0  adrp	x0, #0xfffffff00a1f7000
0xfffffff007e919d4: 00a03991  add	x0, x0, #0xe68
0xfffffff007e919d8: e10314aa  mov	x1, x20
0xfffffff007e919dc: 626bfc97  bl	#0xfffffff007dac764
0xfffffff007e919e0: d7ffff17  b	#0xfffffff007e9193c
0xfffffff007e919e4: 7f2303d5  pacibsp	
0xfffffff007e919e8: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff007e919ec: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff007e919f0: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff007e919f4: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff007e919f8: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff007e919fc: fd030191  add	x29, sp, #0x40
0xfffffff007e91a00: f40303aa  mov	x20, x3
