; Candidate 7845
; ADRP+ADD at VM 0xfffffff008882c24 (fileoff 0x187ec24): page=0x1fe967000 add_imm=0xe80

0xfffffff008882ba4: 681a40b9  ldr	w8, [x19, #0x18]
0xfffffff008882ba8: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff008882bac: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff008882bb0: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882bb4: 09bd0291  add	x9, x8, #0xaf
0xfffffff008882bb8: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882bbc: 08fd0891  add	x8, x8, #0x23f
0xfffffff008882bc0: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008882bc4: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008882bc8: 880b8052  mov	w8, #0x5c
0xfffffff008882bcc: 404dfff0  adrp	x0, #0xfffffff00722d000
0xfffffff008882bd0: 00dc0091  add	x0, x0, #0x37
0xfffffff008882bd4: f62300a9  stp	x22, x8, [sp]
0xfffffff008882bd8: 22d2d497  bl	#0xfffffff007db7460
0xfffffff008882bdc: 1a000014  b	#0xfffffff008882c44
0xfffffff008882be0: 73c50094  bl	#0xfffffff0088b41ac
0xfffffff008882be4: f60300aa  mov	x22, x0
0xfffffff008882be8: 00018052  mov	w0, #8
0xfffffff008882bec: 19e3ff97  bl	#0xfffffff00887b850
0xfffffff008882bf0: e80315aa  mov	x8, x21
0xfffffff008882bf4: 691a40b9  ldr	w9, [x19, #0x18]
0xfffffff008882bf8: e82300f9  str	x8, [sp, #0x40]
0xfffffff008882bfc: e80314aa  mov	x8, x20
0xfffffff008882c00: e92303a9  stp	x9, x8, [sp, #0x30]
0xfffffff008882c04: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882c08: 08bd0291  add	x8, x8, #0xaf
0xfffffff008882c0c: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff008882c10: 484dfff0  adrp	x8, #0xfffffff00722d000
0xfffffff008882c14: 08fd0891  add	x8, x8, #0x23f
0xfffffff008882c18: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008882c1c: 880b8052  mov	w8, #0x5c
0xfffffff008882c20: f62300a9  stp	x22, x8, [sp]
0xfffffff008882c24: 204bfff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008882c28: 00003a91  add	x0, x0, #0xe80
0xfffffff008882c2c: 218cffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008882c30: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008882c34: c34effb0  adrp	x3, #0xfffffff00725b000
0xfffffff008882c38: 63783b91  add	x3, x3, #0xede
0xfffffff008882c3c: 02008052  mov	w2, #0
0xfffffff008882c40: 3cc1ea97  bl	#0xfffffff008333130
0xfffffff008882c44: 17008052  mov	w23, #0
0xfffffff008882c48: 167e8012  mov	w22, #-0x3f1
0xfffffff008882c4c: 8826d71a  lsr	w8, w20, w23
0xfffffff008882c50: 28010036  tbz	w8, #0, #0xfffffff008882c74
0xfffffff008882c54: e00313aa  mov	x0, x19
0xfffffff008882c58: e10317aa  mov	x1, x23
0xfffffff008882c5c: e20315aa  mov	x2, x21
0xfffffff008882c60: d5faff97  bl	#0xfffffff0088817b4
0xfffffff008882c64: f60300aa  mov	x22, x0
0xfffffff008882c68: 1fa80f31  cmn	w0, #0x3ea
0xfffffff008882c6c: 40000054  b.eq	#0xfffffff008882c74
0xfffffff008882c70: 16040035  cbnz	w22, #0xfffffff008882cf0
0xfffffff008882c74: f7060011  add	w23, w23, #1
0xfffffff008882c78: ff2e0071  cmp	w23, #0xb
0xfffffff008882c7c: 81feff54  b.ne	#0xfffffff008882c4c
0xfffffff008882c80: 800b8052  mov	w0, #0x5c
0xfffffff008882c84: 01018052  mov	w1, #8
0xfffffff008882c88: d2e2ff97  bl	#0xfffffff00887b7d0
0xfffffff008882c8c: 400a0034  cbz	w0, #0xfffffff008882dd4
0xfffffff008882c90: 800b8052  mov	w0, #0x5c
0xfffffff008882c94: e1e2ff97  bl	#0xfffffff00887b818
0xfffffff008882c98: f80300aa  mov	x24, x0
0xfffffff008882c9c: 44c50094  bl	#0xfffffff0088b41ac
0xfffffff008882ca0: f70300aa  mov	x23, x0
