; Candidate 16742
; ADRP+ADD at VM 0xfffffff009f42958 (fileoff 0x2f3e958): page=0x1fd91e000 add_imm=0xd82

0xfffffff009f428d8: 3f350071  cmp	w9, #0xd
0xfffffff009f428dc: c1010054  b.ne	#0xfffffff009f42914
0xfffffff009f428e0: a92b78a9  ldp	x9, x10, [x29, #-0x80]
0xfffffff009f428e4: ab8355f8  ldur	x11, [x29, #-0xa8]
0xfffffff009f428e8: cc4240f9  ldr	x12, [x22, #0x80]
0xfffffff009f428ec: ad0355b8  ldur	w13, [x29, #-0xb0]
0xfffffff009f428f0: ce2240b9  ldr	w14, [x22, #0x20]
0xfffffff009f428f4: eeb304a9  stp	x14, x12, [sp, #0x48]
0xfffffff009f428f8: eba303a9  stp	x11, x8, [sp, #0x38]
0xfffffff009f428fc: eab702a9  stp	x10, x13, [sp, #0x28]
0xfffffff009f42900: e84b40f9  ldr	x8, [sp, #0x90]
0xfffffff009f42904: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff009f42908: e84f40f9  ldr	x8, [sp, #0x98]
0xfffffff009f4290c: e80b00f9  str	x8, [sp, #0x10]
0xfffffff009f42910: 0e000014  b	#0xfffffff009f42948
0xfffffff009f42914: 696640f9  ldr	x9, [x19, #0xc8]
0xfffffff009f42918: 298942f9  ldr	x9, [x9, #0x510]
0xfffffff009f4291c: aa2f78a9  ldp	x10, x11, [x29, #-0x80]
0xfffffff009f42920: ac8355f8  ldur	x12, [x29, #-0xa8]
0xfffffff009f42924: cd4240f9  ldr	x13, [x22, #0x80]
0xfffffff009f42928: ae0355b8  ldur	w14, [x29, #-0xb0]
0xfffffff009f4292c: cf2240b9  ldr	w15, [x22, #0x20]
0xfffffff009f42930: efb704a9  stp	x15, x13, [sp, #0x48]
0xfffffff009f42934: eca303a9  stp	x12, x8, [sp, #0x38]
0xfffffff009f42938: ebbb02a9  stp	x11, x14, [sp, #0x28]
0xfffffff009f4293c: e84740f9  ldr	x8, [sp, #0x88]
0xfffffff009f42940: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff009f42944: e90b00f9  str	x9, [sp, #0x10]
0xfffffff009f42948: 89758152  mov	w9, #0xbac
0xfffffff009f4294c: e8c8fed0  adrp	x8, #0xfffffff007860000
0xfffffff009f42950: 086d3291  add	x8, x8, #0xc9b
0xfffffff009f42954: e82700a9  stp	x8, x9, [sp]
0xfffffff009f42958: e0c8fed0  adrp	x0, #0xfffffff007860000
0xfffffff009f4295c: 00083691  add	x0, x0, #0xd82
0xfffffff009f42960: b8f3fc97  bl	#0xfffffff009e7f840
0xfffffff009f42964: c80a40f9  ldr	x8, [x22, #0x10]
0xfffffff009f42968: 080179b2  orr	x8, x8, #0x80
0xfffffff009f4296c: c80a00f9  str	x8, [x22, #0x10]
0xfffffff009f42970: c00240f9  ldr	x0, [x22]
0xfffffff009f42974: 81008052  mov	w1, #4
0xfffffff009f42978: e20316aa  mov	x2, x22
0xfffffff009f4297c: 03008052  mov	w3, #0
0xfffffff009f42980: ccb07997  bl	#0xfffffff007daecb0
0xfffffff009f42984: d2ffff17  b	#0xfffffff009f428cc
0xfffffff009f42988: 080157b2  orr	x8, x8, #0x20000000000
0xfffffff009f4298c: c80a00f9  str	x8, [x22, #0x10]
0xfffffff009f42990: c00240f9  ldr	x0, [x22]
0xfffffff009f42994: a2c6ff97  bl	#0xfffffff009f3441c
0xfffffff009f42998: 280f40f9  ldr	x8, [x25, #0x18]
0xfffffff009f4299c: e00314aa  mov	x0, x20
0xfffffff009f429a0: e10317aa  mov	x1, x23
0xfffffff009f429a4: e20316aa  mov	x2, x22
0xfffffff009f429a8: e36b40f9  ldr	x3, [sp, #0xd0]
0xfffffff009f429ac: 91479dd2  mov	x17, #0xea3c
0xfffffff009f429b0: 11093fd7  blraa	x8, x17
0xfffffff009f429b4: c83e40f9  ldr	x8, [x22, #0x78]
0xfffffff009f429b8: c94a40f9  ldr	x9, [x22, #0x90]
0xfffffff009f429bc: 1f0109eb  cmp	x8, x9
0xfffffff009f429c0: 0881899a  csel	x8, x8, x9, hi
0xfffffff009f429c4: a98358f8  ldur	x9, [x29, #-0x78]
0xfffffff009f429c8: 1f0109eb  cmp	x8, x9
0xfffffff009f429cc: 81030054  b.ne	#0xfffffff009f42a3c
0xfffffff009f429d0: c8424039  ldrb	w8, [x22, #0x10]
0xfffffff009f429d4: e8000837  tbnz	w8, #1, #0xfffffff009f429f0
