; Candidate 6399
; ADRP+ADD at VM 0xfffffff00882985c (fileoff 0x182585c): page=0x1fe9c0000 add_imm=0xe80

0xfffffff0088297dc: 17020034  cbz	w23, #0xfffffff00882981c
0xfffffff0088297e0: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff0088297e4: f4d703a9  stp	x20, x21, [sp, #0x38]
0xfffffff0088297e8: f3a302a9  stp	x19, x8, [sp, #0x28]
0xfffffff0088297ec: c84fff90  adrp	x8, #0xfffffff007221000
0xfffffff0088297f0: 09292e91  add	x9, x8, #0xb8a
0xfffffff0088297f4: c84fff90  adrp	x8, #0xfffffff007221000
0xfffffff0088297f8: 08653291  add	x8, x8, #0xc99
0xfffffff0088297fc: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008829800: e00b00f9  str	x0, [sp, #0x10]
0xfffffff008829804: e80a8052  mov	w8, #0x57
0xfffffff008829808: 404fffb0  adrp	x0, #0xfffffff007212000
0xfffffff00882980c: 00701b91  add	x0, x0, #0x6dc
0xfffffff008829810: f62300a9  stp	x22, x8, [sp]
0xfffffff008829814: 1337d697  bl	#0xfffffff007db7460
0xfffffff008829818: 19000014  b	#0xfffffff00882987c
0xfffffff00882981c: 642a0294  bl	#0xfffffff0088b41ac
0xfffffff008829820: f60300aa  mov	x22, x0
0xfffffff008829824: 00018052  mov	w0, #8
0xfffffff008829828: 0a480194  bl	#0xfffffff00887b850
0xfffffff00882982c: e80315aa  mov	x8, x21
0xfffffff008829830: 691240b9  ldr	w9, [x19, #0x10]
0xfffffff008829834: f4a303a9  stp	x20, x8, [sp, #0x38]
0xfffffff008829838: f3a702a9  stp	x19, x9, [sp, #0x28]
0xfffffff00882983c: c84fff90  adrp	x8, #0xfffffff007221000
0xfffffff008829840: 0a292e91  add	x10, x8, #0xb8a
0xfffffff008829844: c84fff90  adrp	x8, #0xfffffff007221000
0xfffffff008829848: 08653291  add	x8, x8, #0xc99
0xfffffff00882984c: e8ab01a9  stp	x8, x10, [sp, #0x18]
0xfffffff008829850: e80a8052  mov	w8, #0x57
0xfffffff008829854: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008829858: f60300f9  str	x22, [sp]
0xfffffff00882985c: 004eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008829860: 00003a91  add	x0, x0, #0xe80
0xfffffff008829864: e18efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008829868: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00882986c: 0351ffd0  adrp	x3, #0xfffffff00724b000
0xfffffff008829870: 63d43391  add	x3, x3, #0xcf5
0xfffffff008829874: 02008052  mov	w2, #0
0xfffffff008829878: 2e26ec97  bl	#0xfffffff008333130
0xfffffff00882987c: e00315aa  mov	x0, x21
0xfffffff008829880: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008829884: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008829888: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff00882988c: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008829890: ff830291  add	sp, sp, #0xa0
0xfffffff008829894: ff0f5fd6  retab	
0xfffffff008829898: 5f2403d5  bti	c
0xfffffff00882989c: 080040b9  ldr	w8, [x0]
0xfffffff0088298a0: 1f050071  cmp	w8, #1
0xfffffff0088298a4: cb010054  b.lt	#0xfffffff0088298dc
0xfffffff0088298a8: 09500091  add	x9, x0, #0x14
0xfffffff0088298ac: 2ac15fb8  ldur	w10, [x9, #-4]
0xfffffff0088298b0: 5f01016b  cmp	w10, w1
0xfffffff0088298b4: e1000054  b.ne	#0xfffffff0088298d0
0xfffffff0088298b8: 2a0140b9  ldr	w10, [x9]
0xfffffff0088298bc: 5f01026b  cmp	w10, w2
0xfffffff0088298c0: 81000054  b.ne	#0xfffffff0088298d0
0xfffffff0088298c4: 2a815fb8  ldur	w10, [x9, #-8]
0xfffffff0088298c8: 5f01036b  cmp	w10, w3
0xfffffff0088298cc: c0000054  b.eq	#0xfffffff0088298e4
0xfffffff0088298d0: 29610091  add	x9, x9, #0x18
0xfffffff0088298d4: 080500f1  subs	x8, x8, #1
0xfffffff0088298d8: a1feff54  b.ne	#0xfffffff0088298ac
