; Candidate 9077
; ADRP+ADD at VM 0xfffffff0089ef494 (fileoff 0x19eb494): page=0x1fe8a4000 add_imm=0xe1d

0xfffffff0089ef414: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff0089ef418: 11093fd7  blraa	x8, x17
0xfffffff0089ef41c: e80300aa  mov	x8, x0
0xfffffff0089ef420: 00008052  mov	w0, #0
0xfffffff0089ef424: 48180034  cbz	w8, #0xfffffff0089ef72c
0xfffffff0089ef428: f50313aa  mov	x21, x19
0xfffffff0089ef42c: bf0e0ab8  str	wzr, [x21, #0xa0]!
0xfffffff0089ef430: 2045ff90  adrp	x0, #0xfffffff007293000
0xfffffff0089ef434: 00e03791  add	x0, x0, #0xdf8
0xfffffff0089ef438: e10315aa  mov	x1, x21
0xfffffff0089ef43c: 82008052  mov	w2, #4
0xfffffff0089ef440: def6e997  bl	#0xfffffff00846cfb8
0xfffffff0089ef444: 2045ff90  adrp	x0, #0xfffffff007293000
0xfffffff0089ef448: 00083891  add	x0, x0, #0xe02
0xfffffff0089ef44c: e1130091  add	x1, sp, #4
0xfffffff0089ef450: 82008052  mov	w2, #4
0xfffffff0089ef454: d9f6e997  bl	#0xfffffff00846cfb8
0xfffffff0089ef458: 1f000071  cmp	w0, #0
0xfffffff0089ef45c: e80740b9  ldr	w8, [sp, #4]
0xfffffff0089ef460: 0419407a  ccmp	w8, #0, #4, ne
0xfffffff0089ef464: e8079f1a  cset	w8, ne
0xfffffff0089ef468: a8120039  strb	w8, [x21, #4]
0xfffffff0089ef46c: 2045ff90  adrp	x0, #0xfffffff007293000
0xfffffff0089ef470: 00443891  add	x0, x0, #0xe11
0xfffffff0089ef474: e1130091  add	x1, sp, #4
0xfffffff0089ef478: 82008052  mov	w2, #4
0xfffffff0089ef47c: cff6e997  bl	#0xfffffff00846cfb8
0xfffffff0089ef480: a0000034  cbz	w0, #0xfffffff0089ef494
0xfffffff0089ef484: e80740b9  ldr	w8, [sp, #4]
0xfffffff0089ef488: a90240b9  ldr	w9, [x21]
0xfffffff0089ef48c: 2801082a  orr	w8, w9, w8
0xfffffff0089ef490: a80200b9  str	w8, [x21]
0xfffffff0089ef494: 2045ff90  adrp	x0, #0xfffffff007293000
0xfffffff0089ef498: 00743891  add	x0, x0, #0xe1d
0xfffffff0089ef49c: e1130091  add	x1, sp, #4
0xfffffff0089ef4a0: 82008052  mov	w2, #4
0xfffffff0089ef4a4: c5f6e997  bl	#0xfffffff00846cfb8
0xfffffff0089ef4a8: 60000034  cbz	w0, #0xfffffff0089ef4b4
0xfffffff0089ef4ac: e80740b9  ldr	w8, [sp, #4]
0xfffffff0089ef4b0: 68b600b9  str	w8, [x19, #0xb4]
0xfffffff0089ef4b4: 700240f9  ldr	x16, [x19]
0xfffffff0089ef4b8: f10313aa  mov	x17, x19
0xfffffff0089ef4bc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089ef4c0: 301ac1da  autda	x16, x17
0xfffffff0089ef4c4: 11c480d2  mov	x17, #0x620
0xfffffff0089ef4c8: 1002118b  add	x16, x16, x17
0xfffffff0089ef4cc: 080240f9  ldr	x8, [x16]
0xfffffff0089ef4d0: e90310aa  mov	x9, x16
0xfffffff0089ef4d4: e00313aa  mov	x0, x19
0xfffffff0089ef4d8: e10314aa  mov	x1, x20
0xfffffff0089ef4dc: f10309aa  mov	x17, x9
0xfffffff0089ef4e0: 1159f9f2  movk	x17, #0xcac8, lsl #48
0xfffffff0089ef4e4: 11093fd7  blraa	x8, x17
0xfffffff0089ef4e8: 606600f9  str	x0, [x19, #0xc8]
0xfffffff0089ef4ec: 001200b4  cbz	x0, #0xfffffff0089ef72c
0xfffffff0089ef4f0: 737e00f9  str	x19, [x19, #0xf8]
0xfffffff0089ef4f4: 746e00f9  str	x20, [x19, #0xd8]
0xfffffff0089ef4f8: 50a0e597  bl	#0xfffffff008357638
0xfffffff0089ef4fc: 607200f9  str	x0, [x19, #0xe0]
0xfffffff0089ef500: 686a40f9  ldr	x8, [x19, #0xd0]
0xfffffff0089ef504: 880000b5  cbnz	x8, #0xfffffff0089ef514
0xfffffff0089ef508: 3014e797  bl	#0xfffffff0083b45c8
0xfffffff0089ef50c: 606a00f9  str	x0, [x19, #0xd0]
0xfffffff0089ef510: e01000b4  cbz	x0, #0xfffffff0089ef72c
