; Candidate 6524
; ADRP+ADD at VM 0xfffffff008831dd8 (fileoff 0x182ddd8): page=0x1fe9b8000 add_imm=0xe80

0xfffffff008831d58: 4a591891  add	x10, x10, #0x616
0xfffffff008831d5c: e82704a9  stp	x8, x9, [sp, #0x40]
0xfffffff008831d60: ea4f03a9  stp	x10, x19, [sp, #0x30]
0xfffffff008831d64: 68288052  mov	w8, #0x143
0xfffffff008831d68: 094fffb0  adrp	x9, #0xfffffff007212000
0xfffffff008831d6c: 29ed2f91  add	x9, x9, #0xbfb
0xfffffff008831d70: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008831d74: 884fffb0  adrp	x8, #0xfffffff007222000
0xfffffff008831d78: 08813991  add	x8, x8, #0xe60
0xfffffff008831d7c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008831d80: 080b8052  mov	w8, #0x58
0xfffffff008831d84: 804fff90  adrp	x0, #0xfffffff007221000
0xfffffff008831d88: 00e01f91  add	x0, x0, #0x7f8
0xfffffff008831d8c: f42300a9  stp	x20, x8, [sp]
0xfffffff008831d90: b415d697  bl	#0xfffffff007db7460
0xfffffff008831d94: 6f000014  b	#0xfffffff008831f50
0xfffffff008831d98: 05090294  bl	#0xfffffff0088b41ac
0xfffffff008831d9c: f40300aa  mov	x20, x0
0xfffffff008831da0: c0008052  mov	w0, #6
0xfffffff008831da4: ab260194  bl	#0xfffffff00887b850
0xfffffff008831da8: f50300aa  mov	x21, x0
0xfffffff008831dac: 600640f9  ldr	x0, [x19, #8]
0xfffffff008831db0: eae5ff97  bl	#0xfffffff00882b558
0xfffffff008831db4: 68264529  ldp	w8, w9, [x19, #0x28]
0xfffffff008831db8: e82703a9  stp	x8, x9, [sp, #0x30]
0xfffffff008831dbc: c8288052  mov	w8, #0x146
0xfffffff008831dc0: e80302a9  stp	x8, x0, [sp, #0x20]
0xfffffff008831dc4: 084fffb0  adrp	x8, #0xfffffff007212000
0xfffffff008831dc8: 08ed2f91  add	x8, x8, #0xbfb
0xfffffff008831dcc: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff008831dd0: 080b8052  mov	w8, #0x58
0xfffffff008831dd4: f42300a9  stp	x20, x8, [sp]
0xfffffff008831dd8: c04dff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008831ddc: 00003a91  add	x0, x0, #0xe80
0xfffffff008831de0: a18efff0  adrp	x1, #0xfffffff007a08000
0xfffffff008831de4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008831de8: e350ff90  adrp	x3, #0xfffffff00724d000
0xfffffff008831dec: 63141691  add	x3, x3, #0x585
0xfffffff008831df0: 02008052  mov	w2, #0
0xfffffff008831df4: cf04ec97  bl	#0xfffffff008333130
0xfffffff008831df8: 680240a9  ldp	x8, x0, [x19]
0xfffffff008831dfc: 14454039  ldrb	w20, [x8, #0x11]
0xfffffff008831e00: d6e5ff97  bl	#0xfffffff00882b558
0xfffffff008831e04: 9f020071  cmp	w20, #0
0xfffffff008831e08: 0818457a  ccmp	w0, #5, #8, ne
0xfffffff008831e0c: 0b100054  b.lt	#0xfffffff00883200c
0xfffffff008831e10: e00313aa  mov	x0, x19
0xfffffff008831e14: 01008052  mov	w1, #0
0xfffffff008831e18: aefcff97  bl	#0xfffffff0088310d0
0xfffffff008831e1c: 682e40b9  ldr	w8, [x19, #0x2c]
0xfffffff008831e20: 08030034  cbz	w8, #0xfffffff008831e80
0xfffffff008831e24: 000b8052  mov	w0, #0x58
0xfffffff008831e28: c1008052  mov	w1, #6
0xfffffff008831e2c: 69260194  bl	#0xfffffff00887b7d0
0xfffffff008831e30: a00b0034  cbz	w0, #0xfffffff008831fa4
0xfffffff008831e34: 000b8052  mov	w0, #0x58
0xfffffff008831e38: 78260194  bl	#0xfffffff00887b818
0xfffffff008831e3c: f50300aa  mov	x21, x0
0xfffffff008831e40: db080294  bl	#0xfffffff0088b41ac
0xfffffff008831e44: f40300aa  mov	x20, x0
0xfffffff008831e48: c0008052  mov	w0, #6
0xfffffff008831e4c: 81260194  bl	#0xfffffff00887b850
0xfffffff008831e50: 55080034  cbz	w21, #0xfffffff008831f58
0xfffffff008831e54: 892a8052  mov	w9, #0x154
