; Candidate 6035
; ADRP+ADD at VM 0xfffffff00880fe64 (fileoff 0x180be64): page=0x1fe9da000 add_imm=0xe80

0xfffffff00880fde4: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff00880fde8: 6850ffb0  adrp	x8, #0xfffffff00721c000
0xfffffff00880fdec: 08fd0a91  add	x8, x8, #0x2bf
0xfffffff00880fdf0: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff00880fdf4: c80e8052  mov	w8, #0x76
0xfffffff00880fdf8: f32300a9  stp	x19, x8, [sp]
0xfffffff00880fdfc: c04effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880fe00: 00003a91  add	x0, x0, #0xe80
0xfffffff00880fe04: c18fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00880fe08: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880fe0c: c351ff90  adrp	x3, #0xfffffff007247000
0xfffffff00880fe10: 63d81591  add	x3, x3, #0x576
0xfffffff00880fe14: 02008052  mov	w2, #0
0xfffffff00880fe18: c68cec97  bl	#0xfffffff008333130
0xfffffff00880fe1c: 1a000014  b	#0xfffffff00880fe84
0xfffffff00880fe20: e3900294  bl	#0xfffffff0088b41ac
0xfffffff00880fe24: f50300aa  mov	x21, x0
0xfffffff00880fe28: 80008052  mov	w0, #4
0xfffffff00880fe2c: 89ae0194  bl	#0xfffffff00887b850
0xfffffff00880fe30: 685a40b9  ldr	w8, [x19, #0x58]
0xfffffff00880fe34: 89c640b9  ldr	w9, [x20, #0xc4]
0xfffffff00880fe38: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff00880fe3c: 6850ffb0  adrp	x8, #0xfffffff00721c000
0xfffffff00880fe40: 08690b91  add	x8, x8, #0x2da
0xfffffff00880fe44: 09558052  mov	w9, #0x2a8
0xfffffff00880fe48: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff00880fe4c: 6850ffb0  adrp	x8, #0xfffffff00721c000
0xfffffff00880fe50: 08fd0a91  add	x8, x8, #0x2bf
0xfffffff00880fe54: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff00880fe58: c80e8052  mov	w8, #0x76
0xfffffff00880fe5c: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff00880fe60: f50300f9  str	x21, [sp]
0xfffffff00880fe64: c04effd0  adrp	x0, #0xfffffff0071e9000
0xfffffff00880fe68: 00003a91  add	x0, x0, #0xe80
0xfffffff00880fe6c: c18fffb0  adrp	x1, #0xfffffff007a08000
0xfffffff00880fe70: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff00880fe74: c351ff90  adrp	x3, #0xfffffff007247000
0xfffffff00880fe78: 63781391  add	x3, x3, #0x4de
0xfffffff00880fe7c: 02008052  mov	w2, #0
0xfffffff00880fe80: ac8cec97  bl	#0xfffffff008333130
0xfffffff00880fe84: e07c8012  mov	w0, #-0x3e8
0xfffffff00880fe88: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff00880fe8c: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff00880fe90: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff00880fe94: ff030291  add	sp, sp, #0x80
0xfffffff00880fe98: ff0f5fd6  retab	
0xfffffff00880fe9c: 7f2303d5  pacibsp	
0xfffffff00880fea0: ff4302d1  sub	sp, sp, #0x90
0xfffffff00880fea4: f85f05a9  stp	x24, x23, [sp, #0x50]
0xfffffff00880fea8: f65706a9  stp	x22, x21, [sp, #0x60]
0xfffffff00880feac: f44f07a9  stp	x20, x19, [sp, #0x70]
0xfffffff00880feb0: fd7b08a9  stp	x29, x30, [sp, #0x80]
0xfffffff00880feb4: fd030291  add	x29, sp, #0x80
0xfffffff00880feb8: f50302aa  mov	x21, x2
0xfffffff00880febc: f40301aa  mov	x20, x1
0xfffffff00880fec0: f30300aa  mov	x19, x0
0xfffffff00880fec4: 800200b4  cbz	x0, #0xfffffff00880ff14
0xfffffff00880fec8: 740200b4  cbz	x20, #0xfffffff00880ff14
0xfffffff00880fecc: 550200b4  cbz	x21, #0xfffffff00880ff14
0xfffffff00880fed0: 68ca4391  add	x8, x19, #0xf2, lsl #12
0xfffffff00880fed4: 17f10491  add	x23, x8, #0x13c
0xfffffff00880fed8: 088b8a52  mov	w8, #0x5458
0xfffffff00880fedc: 9602088b  add	x22, x20, x8
0xfffffff00880fee0: a80c8052  mov	w8, #0x65
