; Candidate 2026
; ADRP+ADD at VM 0xfffffff00854de14 (fileoff 0x1549e14): page=0x1feb94000 add_imm=0xdd8

0xfffffff00854dd94: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff00854dd98: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff00854dd9c: fd430091  add	x29, sp, #0x10
0xfffffff00854dda0: a0a2ffb0  adrp	x0, #0xfffffff0079a2000
0xfffffff00854dda4: 00000691  add	x0, x0, #0x180
0xfffffff00854dda8: 01658052  mov	w1, #0x328
0xfffffff00854ddac: 2366f697  bl	#0xfffffff0082e7638
0xfffffff00854ddb0: f30300aa  mov	x19, x0
0xfffffff00854ddb4: 54ec00b0  adrp	x20, #0xfffffff00a2d6000
0xfffffff00854ddb8: 94a20c91  add	x20, x20, #0x328
0xfffffff00854ddbc: e10314aa  mov	x1, x20
0xfffffff00854ddc0: 8cd54c94  bl	#0xfffffff0098833f0
0xfffffff00854ddc4: 90a2ffd0  adrp	x16, #0xfffffff00799f000
0xfffffff00854ddc8: 10a20191  add	x16, x16, #0x68
0xfffffff00854ddcc: 10420091  add	x16, x16, #0x10
0xfffffff00854ddd0: f10300aa  mov	x17, x0
0xfffffff00854ddd4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff00854ddd8: 300ac1da  pacda	x16, x17
0xfffffff00854dddc: 100000f9  str	x16, [x0]
0xfffffff00854dde0: e00314aa  mov	x0, x20
0xfffffff00854dde4: d45cf697  bl	#0xfffffff0082e5134
0xfffffff00854dde8: e00313aa  mov	x0, x19
0xfffffff00854ddec: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00854ddf0: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff00854ddf4: ff0f5fd6  retab	
0xfffffff00854ddf8: 5f2403d5  bti	c
0xfffffff00854ddfc: 3e5af617  b	#0xfffffff0082e46f4
0xfffffff00854de00: 5f2403d5  bti	c
0xfffffff00854de04: 3c5af617  b	#0xfffffff0082e46f4
0xfffffff00854de08: 7f2303d5  pacibsp	
0xfffffff00854de0c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00854de10: fd030091  mov	x29, sp
0xfffffff00854de14: a05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00854de18: 00603791  add	x0, x0, #0xdd8
0xfffffff00854de1c: 076df797  bl	#0xfffffff008329238
0xfffffff00854de20: 48ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854de24: 007d01f9  str	x0, [x8, #0x2f8]
0xfffffff00854de28: a05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00854de2c: 00083891  add	x0, x0, #0xe02
0xfffffff00854de30: 026df797  bl	#0xfffffff008329238
0xfffffff00854de34: 48ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854de38: 008101f9  str	x0, [x8, #0x300]
0xfffffff00854de3c: a05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00854de40: 00883891  add	x0, x0, #0xe22
0xfffffff00854de44: fd6cf797  bl	#0xfffffff008329238
0xfffffff00854de48: 48ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854de4c: 008501f9  str	x0, [x8, #0x308]
0xfffffff00854de50: a05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00854de54: 00e43891  add	x0, x0, #0xe39
0xfffffff00854de58: f86cf797  bl	#0xfffffff008329238
0xfffffff00854de5c: 48ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854de60: 008901f9  str	x0, [x8, #0x310]
0xfffffff00854de64: a05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00854de68: 004c3991  add	x0, x0, #0xe53
0xfffffff00854de6c: f36cf797  bl	#0xfffffff008329238
0xfffffff00854de70: 48ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854de74: 008d01f9  str	x0, [x8, #0x318]
0xfffffff00854de78: a05cff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00854de7c: 00bc3991  add	x0, x0, #0xe6f
0xfffffff00854de80: ee6cf797  bl	#0xfffffff008329238
0xfffffff00854de84: 48ec00b0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00854de88: 009101f9  str	x0, [x8, #0x320]
0xfffffff00854de8c: 40ec00b0  adrp	x0, #0xfffffff00a2d6000
0xfffffff00854de90: 00a00c91  add	x0, x0, #0x328
