; Candidate 15951
; ADRP+ADD at VM 0xfffffff009df0018 (fileoff 0x2dec018): page=0x1fd8b1000 add_imm=0xe9d

0xfffffff009deff98: f10310aa  mov	x17, x16
0xfffffff009deff9c: f147c1da  xpacd	x17
0xfffffff009deffa0: 1f0211eb  cmp	x16, x17
0xfffffff009deffa4: 40000054  b.eq	#0xfffffff009deffac
0xfffffff009deffa8: 408e38d4  brk	#0xc472
0xfffffff009deffac: 08420491  add	x8, x16, #0x110
0xfffffff009deffb0: 098a40f9  ldr	x9, [x16, #0x110]
0xfffffff009deffb4: e10315aa  mov	x1, x21
0xfffffff009deffb8: 03008052  mov	w3, #0
0xfffffff009deffbc: f10308aa  mov	x17, x8
0xfffffff009deffc0: 311ce2f2  movk	x17, #0x10e1, lsl #48
0xfffffff009deffc4: 31093fd7  blraa	x9, x17
0xfffffff009deffc8: 88de40b9  ldr	w8, [x20, #0xdc]
0xfffffff009deffcc: 1f000071  cmp	w0, #0
0xfffffff009deffd0: 0011537a  ccmp	w8, w19, #0, ne
0xfffffff009deffd4: c1fbff54  b.ne	#0xfffffff009deff4c
0xfffffff009deffd8: 804240f9  ldr	x0, [x20, #0x80]
0xfffffff009deffdc: 800100b4  cbz	x0, #0xfffffff009df000c
0xfffffff009deffe0: 100040f9  ldr	x16, [x0]
0xfffffff009deffe4: f10300aa  mov	x17, x0
0xfffffff009deffe8: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009deffec: 301ac1da  autda	x16, x17
0xfffffff009defff0: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff009defff4: e90310aa  mov	x9, x16
0xfffffff009defff8: f10309aa  mov	x17, x9
0xfffffff009defffc: f130e5f2  movk	x17, #0x2987, lsl #48
0xfffffff009df0000: 11093fd7  blraa	x8, x17
0xfffffff009df0004: b30240b9  ldr	w19, [x21]
0xfffffff009df0008: 03000014  b	#0xfffffff009df0014
0xfffffff009df000c: 40c5fed0  adrp	x0, #0xfffffff00769a000
0xfffffff009df0010: 00c02d91  add	x0, x0, #0xb70
0xfffffff009df0014: e04f00a9  stp	x0, x19, [sp]
0xfffffff009df0018: 80c5feb0  adrp	x0, #0xfffffff0076a1000
0xfffffff009df001c: 00743a91  add	x0, x0, #0xe9d
0xfffffff009df0020: 009c9597  bl	#0xfffffff008357020
0xfffffff009df0024: fd7b44a9  ldp	x29, x30, [sp, #0x40]
0xfffffff009df0028: f44f43a9  ldp	x20, x19, [sp, #0x30]
0xfffffff009df002c: f65742a9  ldp	x22, x21, [sp, #0x20]
0xfffffff009df0030: ff430191  add	sp, sp, #0x50
0xfffffff009df0034: ff0f5fd6  retab	
0xfffffff009df0038: e00314aa  mov	x0, x20
0xfffffff009df003c: 613f0094  bl	#0xfffffff009dffdc0
0xfffffff009df0040: 5f2403d5  bti	c
0xfffffff009df0044: 0000c03d  ldr	q0, [x0]
0xfffffff009df0048: 28008052  mov	w8, #1
0xfffffff009df004c: 010d084e  dup	v1.2d, x8
0xfffffff009df0050: 211c084e  mov	v1.d[0], x1
0xfffffff009df0054: 0084e14e  add	v0.2d, v0.2d, v1.2d
0xfffffff009df0058: 0000803d  str	q0, [x0]
0xfffffff009df005c: 080c40f9  ldr	x8, [x0, #0x18]
0xfffffff009df0060: 1f0101eb  cmp	x8, x1
0xfffffff009df0064: 49000054  b.ls	#0xfffffff009df006c
0xfffffff009df0068: 010c00f9  str	x1, [x0, #0x18]
0xfffffff009df006c: 080840f9  ldr	x8, [x0, #0x10]
0xfffffff009df0070: 1f0101eb  cmp	x8, x1
0xfffffff009df0074: 42000054  b.hs	#0xfffffff009df007c
0xfffffff009df0078: 010800f9  str	x1, [x0, #0x10]
0xfffffff009df007c: c0035fd6  ret	
0xfffffff009df0080: 5f2403d5  bti	c
0xfffffff009df0084: 080440f9  ldr	x8, [x0, #8]
0xfffffff009df0088: 880000b4  cbz	x8, #0xfffffff009df0098
0xfffffff009df008c: 090040f9  ldr	x9, [x0]
0xfffffff009df0090: 2809c89a  udiv	x8, x9, x8
0xfffffff009df0094: 081000f9  str	x8, [x0, #0x20]
