; Candidate 13065
; ADRP+ADD at VM 0xfffffff0091dca28 (fileoff 0x21d8a28): page=0x1fe2c1000 add_imm=0xcde

0xfffffff0091dc9a8: 1c0080d2  mov	x28, #0
0xfffffff0091dc9ac: a9feff17  b	#0xfffffff0091dc450
0xfffffff0091dc9b0: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc9b4: 002c3491  add	x0, x0, #0xd0b
0xfffffff0091dc9b8: 08908052  mov	w8, #0x480
0xfffffff0091dc9bc: 0916ffb0  adrp	x9, #0xfffffff00749d000
0xfffffff0091dc9c0: 29993591  add	x9, x9, #0xd66
0xfffffff0091dc9c4: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0091dc9c8: 0816ffd0  adrp	x8, #0xfffffff00749e000
0xfffffff0091dc9cc: 08e51091  add	x8, x8, #0x439
0xfffffff0091dc9d0: 0a16ffd0  adrp	x10, #0xfffffff00749e000
0xfffffff0091dc9d4: 4a911191  add	x10, x10, #0x464
0xfffffff0091dc9d8: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0091dc9dc: e00300f9  str	x0, [sp]
0xfffffff0091dc9e0: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc9e4: 00783391  add	x0, x0, #0xcde
0xfffffff0091dc9e8: 9e6aaf97  bl	#0xfffffff007db7460
0xfffffff0091dc9ec: 150080d2  mov	x21, #0
0xfffffff0091dc9f0: 140080d2  mov	x20, #0
0xfffffff0091dc9f4: 97feff17  b	#0xfffffff0091dc450
0xfffffff0091dc9f8: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dc9fc: 002c3491  add	x0, x0, #0xd0b
0xfffffff0091dca00: 68908052  mov	w8, #0x483
0xfffffff0091dca04: 0916ffb0  adrp	x9, #0xfffffff00749d000
0xfffffff0091dca08: 29993591  add	x9, x9, #0xd66
0xfffffff0091dca0c: e9a301a9  stp	x9, x8, [sp, #0x18]
0xfffffff0091dca10: 0816ffd0  adrp	x8, #0xfffffff00749e000
0xfffffff0091dca14: 08e51091  add	x8, x8, #0x439
0xfffffff0091dca18: 0a16ffd0  adrp	x10, #0xfffffff00749e000
0xfffffff0091dca1c: 4abd1191  add	x10, x10, #0x46f
0xfffffff0091dca20: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff0091dca24: e00300f9  str	x0, [sp]
0xfffffff0091dca28: 0016ffb0  adrp	x0, #0xfffffff00749d000
0xfffffff0091dca2c: 00783391  add	x0, x0, #0xcde
0xfffffff0091dca30: 8c6aaf97  bl	#0xfffffff007db7460
0xfffffff0091dca34: 150080d2  mov	x21, #0
0xfffffff0091dca38: 86feff17  b	#0xfffffff0091dc450
0xfffffff0091dca3c: 0405ae97  bl	#0xfffffff007d5de4c
0xfffffff0091dca40: 5f2403d5  bti	c
0xfffffff0091dca44: 2c1fc417  b	#0xfffffff0082e46f4
0xfffffff0091dca48: 5f2403d5  bti	c
0xfffffff0091dca4c: 2a1fc417  b	#0xfffffff0082e46f4
0xfffffff0091dca50: 7f2303d5  pacibsp	
0xfffffff0091dca54: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0091dca58: fd030091  mov	x29, sp
0xfffffff0091dca5c: c08900f0  adrp	x0, #0xfffffff00a317000
0xfffffff0091dca60: 00003391  add	x0, x0, #0xcc0
0xfffffff0091dca64: 0116ffb0  adrp	x1, #0xfffffff00749d000
0xfffffff0091dca68: 21002491  add	x1, x1, #0x900
0xfffffff0091dca6c: 224dfff0  adrp	x2, #0xfffffff007b83000
0xfffffff0091dca70: 42fc46f9  ldr	x2, [x2, #0xdf8]
0xfffffff0091dca74: 03468252  mov	w3, #0x1230
0xfffffff0091dca78: 301cc497  bl	#0xfffffff0082e3b38
0xfffffff0091dca7c: 504dff90  adrp	x16, #0xfffffff007b84000
0xfffffff0091dca80: 10221391  add	x16, x16, #0x4c8
0xfffffff0091dca84: 10420091  add	x16, x16, #0x10
0xfffffff0091dca88: f10300aa  mov	x17, x0
0xfffffff0091dca8c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0091dca90: 300ac1da  pacda	x16, x17
0xfffffff0091dca94: 100000f9  str	x16, [x0]
0xfffffff0091dca98: c08900f0  adrp	x0, #0xfffffff00a317000
0xfffffff0091dca9c: 00c03391  add	x0, x0, #0xcf0
0xfffffff0091dcaa0: 0116ffd0  adrp	x1, #0xfffffff00749e000
0xfffffff0091dcaa4: 21080c91  add	x1, x1, #0x302
