; Candidate 3759
; ADRP+ADD at VM 0xfffffff008759934 (fileoff 0x1755934): page=0x1fe9d8000 add_imm=0xd90

0xfffffff0087598b4: 107e0b9b  mul	x16, x16, x11
0xfffffff0087598b8: 100ac89a  udiv	x16, x16, x8
0xfffffff0087598bc: 906929f8  str	x16, [x12, x9]
0xfffffff0087598c0: 5f6929f8  str	xzr, [x10, x9]
0xfffffff0087598c4: 107ecd9b  umulh	x16, x16, x13
0xfffffff0087598c8: 10fe42d3  lsr	x16, x16, #2
0xfffffff0087598cc: 1f2200f1  cmp	x16, #8
0xfffffff0087598d0: 10328e9a  csel	x16, x16, x14, lo
0xfffffff0087598d4: f06929f8  str	x16, [x15, x9]
0xfffffff0087598d8: 29210091  add	x9, x9, #8
0xfffffff0087598dc: 3f6100f1  cmp	x9, #0x18
0xfffffff0087598e0: 81feff54  b.ne	#0xfffffff0087598b0
0xfffffff0087598e4: 2895ffd0  adrp	x8, #0xfffffff0079ff000
0xfffffff0087598e8: 08e13a91  add	x8, x8, #0xeb8
0xfffffff0087598ec: e9ab44a9  ldp	x9, x10, [sp, #0x48]
0xfffffff0087598f0: 097969f8  ldr	x9, [x8, x9, lsl #3]
0xfffffff0087598f4: 0a796af8  ldr	x10, [x8, x10, lsl #3]
0xfffffff0087598f8: eb2f40f9  ldr	x11, [sp, #0x58]
0xfffffff0087598fc: 08796bf8  ldr	x8, [x8, x11, lsl #3]
0xfffffff008759900: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff008759904: e90300f9  str	x9, [sp]
0xfffffff008759908: 0250ff90  adrp	x2, #0xfffffff007159000
0xfffffff00875990c: 42b42491  add	x2, x2, #0x92d
0xfffffff008759910: f4830191  add	x20, sp, #0x60
0xfffffff008759914: e0830191  add	x0, sp, #0x60
0xfffffff008759918: 81018052  mov	w1, #0xc
0xfffffff00875991c: 1085ea97  bl	#0xfffffff0081fad5c
0xfffffff008759920: a003db3c  ldur	q0, [x29, #-0x50]
0xfffffff008759924: a8035cf8  ldur	x8, [x29, #-0x40]
0xfffffff008759928: e85302a9  stp	x8, x20, [sp, #0x20]
0xfffffff00875992c: e007803d  str	q0, [sp, #0x10]
0xfffffff008759930: f54f00a9  stp	x21, x19, [sp]
0xfffffff008759934: c04eff90  adrp	x0, #0xfffffff007131000
0xfffffff008759938: 00403691  add	x0, x0, #0xd90
0xfffffff00875993c: 2195ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff008759940: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008759944: 434fff90  adrp	x3, #0xfffffff007141000
0xfffffff008759948: 63142791  add	x3, x3, #0x9c5
0xfffffff00875994c: 02008052  mov	w2, #0
0xfffffff008759950: f865ef97  bl	#0xfffffff008333130
0xfffffff008759954: a8835cf8  ldur	x8, [x29, #-0x38]
0xfffffff008759958: 2995ff90  adrp	x9, #0xfffffff0079fd000
0xfffffff00875995c: 29d941f9  ldr	x9, [x9, #0x3b0]
0xfffffff008759960: 290140f9  ldr	x9, [x9]
0xfffffff008759964: 3f0108eb  cmp	x9, x8
0xfffffff008759968: e1000054  b.ne	#0xfffffff008759984
0xfffffff00875996c: fd7b4ca9  ldp	x29, x30, [sp, #0xc0]
0xfffffff008759970: f44f4ba9  ldp	x20, x19, [sp, #0xb0]
0xfffffff008759974: f6574aa9  ldp	x22, x21, [sp, #0xa0]
0xfffffff008759978: f85f49a9  ldp	x24, x23, [sp, #0x90]
0xfffffff00875997c: ff430391  add	sp, sp, #0xd0
0xfffffff008759980: ff0f5fd6  retab	
0xfffffff008759984: 3211d897  bl	#0xfffffff007d5de4c
0xfffffff008759988: 7f2303d5  pacibsp	
0xfffffff00875998c: ff0301d1  sub	sp, sp, #0x40
0xfffffff008759990: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008759994: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008759998: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00875999c: fdc30091  add	x29, sp, #0x30
0xfffffff0087599a0: f30302aa  mov	x19, x2
0xfffffff0087599a4: f50301aa  mov	x21, x1
0xfffffff0087599a8: f40300aa  mov	x20, x0
0xfffffff0087599ac: 006040f9  ldr	x0, [x0, #0xc0]
0xfffffff0087599b0: 4748d997  bl	#0xfffffff007dabacc
