; Candidate 4595
; ADRP+ADD at VM 0xfffffff0087bd1f8 (fileoff 0x17b91f8): page=0x1fe974000 add_imm=0xd90

0xfffffff0087bd178: 211c3191  add	x1, x1, #0xc47
0xfffffff0087bd17c: e00313aa  mov	x0, x19
0xfffffff0087bd180: c2008052  mov	w2, #6
0xfffffff0087bd184: 4ff8ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bd188: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bd18c: 008d01b9  str	w0, [x8, #0x18c]
0xfffffff0087bd190: 1f000171  cmp	w0, #0x40
0xfffffff0087bd194: a3010054  b.lo	#0xfffffff0087bd1c8
0xfffffff0087bd198: 084dffb0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bd19c: 08d13091  add	x8, x8, #0xc34
0xfffffff0087bd1a0: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bd1a4: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bd1a8: 00403691  add	x0, x0, #0xd90
0xfffffff0087bd1ac: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bd1b0: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bd1b4: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bd1b8: 63a41991  add	x3, x3, #0x669
0xfffffff0087bd1bc: 02008052  mov	w2, #0
0xfffffff0087bd1c0: dcd7ed97  bl	#0xfffffff008333130
0xfffffff0087bd1c4: d6ffff17  b	#0xfffffff0087bd11c
0xfffffff0087bd1c8: 014dffb0  adrp	x1, #0xfffffff00715e000
0xfffffff0087bd1cc: 216c3191  add	x1, x1, #0xc5b
0xfffffff0087bd1d0: e00313aa  mov	x0, x19
0xfffffff0087bd1d4: c2008052  mov	w2, #6
0xfffffff0087bd1d8: 3af8ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bd1dc: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bd1e0: 009101b9  str	w0, [x8, #0x190]
0xfffffff0087bd1e4: 1f000171  cmp	w0, #0x40
0xfffffff0087bd1e8: a3010054  b.lo	#0xfffffff0087bd21c
0xfffffff0087bd1ec: 084dffb0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bd1f0: 08d13091  add	x8, x8, #0xc34
0xfffffff0087bd1f4: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bd1f8: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bd1fc: 00403691  add	x0, x0, #0xd90
0xfffffff0087bd200: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bd204: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bd208: 834cff90  adrp	x3, #0xfffffff00714d000
0xfffffff0087bd20c: 633c1a91  add	x3, x3, #0x68f
0xfffffff0087bd210: 02008052  mov	w2, #0
0xfffffff0087bd214: c7d7ed97  bl	#0xfffffff008333130
0xfffffff0087bd218: c1ffff17  b	#0xfffffff0087bd11c
0xfffffff0087bd21c: 09b941b9  ldr	w9, [x8, #0x1b8]
0xfffffff0087bd220: 3f090071  cmp	w9, #2
0xfffffff0087bd224: cb050054  b.lt	#0xfffffff0087bd2dc
0xfffffff0087bd228: 088d41b9  ldr	w8, [x8, #0x18c]
0xfffffff0087bd22c: 0801002a  orr	w8, w8, w0
0xfffffff0087bd230: 68050034  cbz	w8, #0xfffffff0087bd2dc
0xfffffff0087bd234: 014dffb0  adrp	x1, #0xfffffff00715e000
0xfffffff0087bd238: 21bc3191  add	x1, x1, #0xc6f
0xfffffff0087bd23c: e00313aa  mov	x0, x19
0xfffffff0087bd240: c2008052  mov	w2, #6
0xfffffff0087bd244: 1ff8ff97  bl	#0xfffffff0087bb2c0
0xfffffff0087bd248: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087bd24c: 009501b9  str	w0, [x8, #0x194]
0xfffffff0087bd250: 1f000171  cmp	w0, #0x40
0xfffffff0087bd254: a3010054  b.lo	#0xfffffff0087bd288
0xfffffff0087bd258: 084dffb0  adrp	x8, #0xfffffff00715e000
0xfffffff0087bd25c: 08d13091  add	x8, x8, #0xc34
0xfffffff0087bd260: e80300a9  stp	x8, x0, [sp]
0xfffffff0087bd264: a04bff90  adrp	x0, #0xfffffff007131000
0xfffffff0087bd268: 00403691  add	x0, x0, #0xd90
0xfffffff0087bd26c: 0192ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff0087bd270: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087bd274: 834cff90  adrp	x3, #0xfffffff00714d000
