; Candidate 6332
; ADRP+ADD at VM 0xfffffff008825028 (fileoff 0x1821028): page=0x1fe9c4000 add_imm=0xe80

0xfffffff008824fa8: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff008824fac: 08478052  mov	w8, #0x238
0xfffffff008824fb0: e94fffb0  adrp	x9, #0xfffffff007221000
0xfffffff008824fb4: 298d0091  add	x9, x9, #0x23
0xfffffff008824fb8: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008824fbc: e84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008824fc0: 08653291  add	x8, x8, #0xc99
0xfffffff008824fc4: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008824fc8: e80a8052  mov	w8, #0x57
0xfffffff008824fcc: e04fffb0  adrp	x0, #0xfffffff007221000
0xfffffff008824fd0: 001c0291  add	x0, x0, #0x87
0xfffffff008824fd4: f52300a9  stp	x21, x8, [sp]
0xfffffff008824fd8: 2249d697  bl	#0xfffffff007db7460
0xfffffff008824fdc: 54000014  b	#0xfffffff00882512c
0xfffffff008824fe0: 733c0294  bl	#0xfffffff0088b41ac
0xfffffff008824fe4: f50300aa  mov	x21, x0
0xfffffff008824fe8: 80008052  mov	w0, #4
0xfffffff008824fec: 195a0194  bl	#0xfffffff00887b850
0xfffffff008824ff0: 681240b9  ldr	w8, [x19, #0x10]
0xfffffff008824ff4: e87f04a9  stp	x8, xzr, [sp, #0x40]
0xfffffff008824ff8: e84fffb0  adrp	x8, #0xfffffff007221000
0xfffffff008824ffc: 08c10191  add	x8, x8, #0x70
0xfffffff008825000: e84f03a9  stp	x8, x19, [sp, #0x30]
0xfffffff008825004: 48468052  mov	w8, #0x232
0xfffffff008825008: e94fff90  adrp	x9, #0xfffffff007221000
0xfffffff00882500c: 298d0091  add	x9, x9, #0x23
0xfffffff008825010: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008825014: e84fff90  adrp	x8, #0xfffffff007221000
0xfffffff008825018: 08653291  add	x8, x8, #0xc99
0xfffffff00882501c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008825020: e80a8052  mov	w8, #0x57
0xfffffff008825024: f52300a9  stp	x21, x8, [sp]
0xfffffff008825028: 204eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff00882502c: 00003a91  add	x0, x0, #0xe80
0xfffffff008825030: 018ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008825034: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008825038: 2351ffb0  adrp	x3, #0xfffffff00724a000
0xfffffff00882503c: 63283e91  add	x3, x3, #0xf8a
0xfffffff008825040: 02008052  mov	w2, #0
0xfffffff008825044: 3b38ec97  bl	#0xfffffff008333130
0xfffffff008825048: 167d8012  mov	w22, #-0x3e9
0xfffffff00882504c: 6f000014  b	#0xfffffff008825208
0xfffffff008825050: 760100b4  cbz	x22, #0xfffffff00882507c
0xfffffff008825054: d00240f9  ldr	x16, [x22]
0xfffffff008825058: f10316aa  mov	x17, x22
0xfffffff00882505c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008825060: 301ac1da  autda	x16, x17
0xfffffff008825064: 080e4af8  ldr	x8, [x16, #0xa0]!
0xfffffff008825068: e90310aa  mov	x9, x16
0xfffffff00882506c: e00316aa  mov	x0, x22
0xfffffff008825070: f10309aa  mov	x17, x9
0xfffffff008825074: 7173f7f2  movk	x17, #0xbb9b, lsl #48
0xfffffff008825078: 11093fd7  blraa	x8, x17
0xfffffff00882507c: 4c3c0294  bl	#0xfffffff0088b41ac
0xfffffff008825080: f70300aa  mov	x23, x0
0xfffffff008825084: 80008052  mov	w0, #4
0xfffffff008825088: f2590194  bl	#0xfffffff00887b850
0xfffffff00882508c: f80300aa  mov	x24, x0
0xfffffff008825090: 791240b9  ldr	w25, [x19, #0x10]
0xfffffff008825094: 760700b4  cbz	x22, #0xfffffff008825180
0xfffffff008825098: d00240f9  ldr	x16, [x22]
0xfffffff00882509c: f10316aa  mov	x17, x22
0xfffffff0088250a0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088250a4: 301ac1da  autda	x16, x17
