; Candidate 14853
; ADRP+ADD at VM 0xfffffff0099c3b94 (fileoff 0x29bfb94): page=0x1fdc36000 add_imm=0xeb5

0xfffffff0099c3b14: e20314aa  mov	x2, x20
0xfffffff0099c3b18: 03008052  mov	w3, #0
0xfffffff0099c3b1c: 040080d2  mov	x4, #0
0xfffffff0099c3b20: 050080d2  mov	x5, #0
0xfffffff0099c3b24: 07008052  mov	w7, #0
0xfffffff0099c3b28: f8eeff97  bl	#0xfffffff0099bf708
0xfffffff0099c3b2c: f40300aa  mov	x20, x0
0xfffffff0099c3b30: c0130035  cbnz	w0, #0xfffffff0099c3da8
0xfffffff0099c3b34: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0099c3b38: 100040f9  ldr	x16, [x0]
0xfffffff0099c3b3c: f10300aa  mov	x17, x0
0xfffffff0099c3b40: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0099c3b44: 301ac1da  autda	x16, x17
0xfffffff0099c3b48: 11cc80d2  mov	x17, #0x660
0xfffffff0099c3b4c: 1002118b  add	x16, x16, x17
0xfffffff0099c3b50: 080240f9  ldr	x8, [x16]
0xfffffff0099c3b54: e90310aa  mov	x9, x16
0xfffffff0099c3b58: f10309aa  mov	x17, x9
0xfffffff0099c3b5c: 513ff9f2  movk	x17, #0xc9fa, lsl #48
0xfffffff0099c3b60: 11093fd7  blraa	x8, x17
0xfffffff0099c3b64: 60d20039  strb	w0, [x19, #0x34]
0xfffffff0099c3b68: 8b000014  b	#0xfffffff0099c3d94
0xfffffff0099c3b6c: 54588052  mov	w20, #0x2c2
0xfffffff0099c3b70: 1400bc72  movk	w20, #0xe000, lsl #16
0xfffffff0099c3b74: 884f00d0  adrp	x8, #0xfffffff00a3b5000
0xfffffff0099c3b78: 08413d91  add	x8, x8, #0xf50
0xfffffff0099c3b7c: 08014039  ldrb	w8, [x8]
0xfffffff0099c3b80: a8100036  tbz	w8, #0, #0xfffffff0099c3d94
0xfffffff0099c3b84: a8e1fed0  adrp	x8, #0xfffffff0075f9000
0xfffffff0099c3b88: 08413791  add	x8, x8, #0xdd0
0xfffffff0099c3b8c: e9198052  mov	w9, #0xcf
0xfffffff0099c3b90: e82700a9  stp	x8, x9, [sp]
0xfffffff0099c3b94: a0e1fed0  adrp	x0, #0xfffffff0075f9000
0xfffffff0099c3b98: 00d43a91  add	x0, x0, #0xeb5
0xfffffff0099c3b9c: 61000014  b	#0xfffffff0099c3d20
0xfffffff0099c3ba0: 9f2403d5  bti	j
0xfffffff0099c3ba4: 884f00d0  adrp	x8, #0xfffffff00a3b5000
0xfffffff0099c3ba8: 08413d91  add	x8, x8, #0xf50
0xfffffff0099c3bac: 08014039  ldrb	w8, [x8]
0xfffffff0099c3bb0: 08010036  tbz	w8, #0, #0xfffffff0099c3bd0
0xfffffff0099c3bb4: a8e1fed0  adrp	x8, #0xfffffff0075f9000
0xfffffff0099c3bb8: 08413791  add	x8, x8, #0xdd0
0xfffffff0099c3bbc: 09148052  mov	w9, #0xa0
0xfffffff0099c3bc0: e82700a9  stp	x8, x9, [sp]
0xfffffff0099c3bc4: a0e1fed0  adrp	x0, #0xfffffff0075f9000
0xfffffff0099c3bc8: 00443991  add	x0, x0, #0xe51
0xfffffff0099c3bcc: 61aeaa97  bl	#0xfffffff00846f550
0xfffffff0099c3bd0: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0099c3bd4: ff7f03a9  stp	xzr, xzr, [sp, #0x30]
0xfffffff0099c3bd8: ff1700f9  str	xzr, [sp, #0x28]
0xfffffff0099c3bdc: ff7f00a9  stp	xzr, xzr, [sp]
0xfffffff0099c3be0: e6a30091  add	x6, sp, #0x28
0xfffffff0099c3be4: 21008052  mov	w1, #1
0xfffffff0099c3be8: 020080d2  mov	x2, #0
0xfffffff0099c3bec: 03008052  mov	w3, #0
0xfffffff0099c3bf0: 040080d2  mov	x4, #0
0xfffffff0099c3bf4: 050080d2  mov	x5, #0
0xfffffff0099c3bf8: 07008052  mov	w7, #0
0xfffffff0099c3bfc: c3eeff97  bl	#0xfffffff0099bf708
0xfffffff0099c3c00: f40300aa  mov	x20, x0
0xfffffff0099c3c04: 800e0035  cbnz	w0, #0xfffffff0099c3dd4
0xfffffff0099c3c08: 600e40f9  ldr	x0, [x19, #0x18]
0xfffffff0099c3c0c: 100040f9  ldr	x16, [x0]
0xfffffff0099c3c10: f10300aa  mov	x17, x0
