; Candidate 3117
; ADRP+ADD at VM 0xfffffff008713d08 (fileoff 0x170fd08): page=0x1fea1e000 add_imm=0xd90

0xfffffff008713c88: 15008052  mov	w21, #0
0xfffffff008713c8c: 11000014  b	#0xfffffff008713cd0
0xfffffff008713c90: 68ea4139  ldrb	w8, [x19, #0x7a]
0xfffffff008713c94: c8010036  tbz	w8, #0, #0xfffffff008713ccc
0xfffffff008713c98: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff008713c9c: f52301a9  stp	x21, x8, [sp, #0x10]
0xfffffff008713ca0: e851ff90  adrp	x8, #0xfffffff00714f000
0xfffffff008713ca4: 08350691  add	x8, x8, #0x18d
0xfffffff008713ca8: e85300a9  stp	x8, x20, [sp]
0xfffffff008713cac: e050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008713cb0: 00403691  add	x0, x0, #0xd90
0xfffffff008713cb4: 4197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008713cb8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008713cbc: 2351ff90  adrp	x3, #0xfffffff007137000
0xfffffff008713cc0: 63543f91  add	x3, x3, #0xfd5
0xfffffff008713cc4: 02008052  mov	w2, #0
0xfffffff008713cc8: 1a7df097  bl	#0xfffffff008333130
0xfffffff008713ccc: 15008012  mov	w21, #-1
0xfffffff008713cd0: e00315aa  mov	x0, x21
0xfffffff008713cd4: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff008713cd8: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff008713cdc: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff008713ce0: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff008713ce4: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff008713ce8: fc6f44a9  ldp	x28, x27, [sp, #0x40]
0xfffffff008713cec: ff830291  add	sp, sp, #0xa0
0xfffffff008713cf0: ff0f5fd6  retab	
0xfffffff008713cf4: 68ea4139  ldrb	w8, [x19, #0x7a]
0xfffffff008713cf8: a8fe0736  tbz	w8, #0, #0xfffffff008713ccc
0xfffffff008713cfc: e851ff90  adrp	x8, #0xfffffff00714f000
0xfffffff008713d00: 08350691  add	x8, x8, #0x18d
0xfffffff008713d04: e82700a9  stp	x8, x9, [sp]
0xfffffff008713d08: e050ffd0  adrp	x0, #0xfffffff007131000
0xfffffff008713d0c: 00403691  add	x0, x0, #0xd90
0xfffffff008713d10: 4197ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff008713d14: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff008713d18: 2351ffb0  adrp	x3, #0xfffffff007138000
0xfffffff008713d1c: 63340091  add	x3, x3, #0xd
0xfffffff008713d20: 02008052  mov	w2, #0
0xfffffff008713d24: 037df097  bl	#0xfffffff008333130
0xfffffff008713d28: e9ffff17  b	#0xfffffff008713ccc
0xfffffff008713d2c: 8bc243f9  ldr	x11, [x20, #0x780]
0xfffffff008713d30: 699947b9  ldr	w9, [x11, #0x798]
0xfffffff008713d34: 697600b9  str	w9, [x19, #0x74]
0xfffffff008713d38: 3f050031  cmn	w9, #1
0xfffffff008713d3c: 40080054  b.eq	#0xfffffff008713e44
0xfffffff008713d40: 96b22191  add	x22, x20, #0x86c
0xfffffff008713d44: 2a7d4093  sxtw	x10, w9
0xfffffff008713d48: 6c0140b9  ldr	w12, [x11]
0xfffffff008713d4c: 8c050011  add	w12, w12, #1
0xfffffff008713d50: 6c0100b9  str	w12, [x11]
0xfffffff008713d54: 8b8e47b9  ldr	w11, [x20, #0x78c]
0xfffffff008713d58: 8b000034  cbz	w11, #0xfffffff008713d68
0xfffffff008713d5c: 0bf48052  mov	w11, #0x7a0
0xfffffff008713d60: 4b210b9b  madd	x11, x10, x11, x8
0xfffffff008713d64: 6b0200f9  str	x11, [x19]
0xfffffff008713d68: 59008052  mov	w25, #2
0xfffffff008713d6c: 1901a072  movk	w25, #8, lsl #16
0xfffffff008713d70: 0bf48052  mov	w11, #0x7a0
0xfffffff008713d74: 4b210b9b  madd	x11, x10, x11, x8
0xfffffff008713d78: 6c110a91  add	x12, x11, #0x284
0xfffffff008713d7c: 804244fd  ldr	d0, [x20, #0x880]
0xfffffff008713d80: 800100fd  str	d0, [x12]
0xfffffff008713d84: 6cd11c91  add	x12, x11, #0x734
