; Candidate 1979
; ADRP+ADD at VM 0xfffffff0085418e8 (fileoff 0x153d8e8): page=0x1feba0000 add_imm=0xe02

0xfffffff008541868: 68ba40b9  ldr	w8, [x19, #0xb8]
0xfffffff00854186c: 02f17dd3  lsl	x2, x8, #3
0xfffffff008541870: 614240f9  ldr	x1, [x19, #0x80]
0xfffffff008541874: 7f4200f9  str	xzr, [x19, #0x80]
0xfffffff008541878: 00a3fff0  adrp	x0, #0xfffffff0079a4000
0xfffffff00854187c: 00c01491  add	x0, x0, #0x530
0xfffffff008541880: 5a55f897  bl	#0xfffffff008356de8
0xfffffff008541884: 7f4200f9  str	xzr, [x19, #0x80]
0xfffffff008541888: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff00854188c: 600000b4  cbz	x0, #0xfffffff008541898
0xfffffff008541890: 8757f897  bl	#0xfffffff0083576ac
0xfffffff008541894: 7f4600f9  str	xzr, [x19, #0x88]
0xfffffff008541898: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00854189c: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff0085418a0: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff0085418a4: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff0085418a8: ff0f5fd6  retab	
0xfffffff0085418ac: 5f2403d5  bti	c
0xfffffff0085418b0: 000080d2  mov	x0, #0
0xfffffff0085418b4: c0035fd6  ret	
0xfffffff0085418b8: 5f2403d5  bti	c
0xfffffff0085418bc: 8e8bf617  b	#0xfffffff0082e46f4
0xfffffff0085418c0: 5f2403d5  bti	c
0xfffffff0085418c4: 8c8bf617  b	#0xfffffff0082e46f4
0xfffffff0085418c8: 7f2303d5  pacibsp	
0xfffffff0085418cc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0085418d0: fd030091  mov	x29, sp
0xfffffff0085418d4: 005dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0085418d8: 00603791  add	x0, x0, #0xdd8
0xfffffff0085418dc: 579ef797  bl	#0xfffffff008329238
0xfffffff0085418e0: a8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085418e4: 007107f9  str	x0, [x8, #0xee0]
0xfffffff0085418e8: 005dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff0085418ec: 00083891  add	x0, x0, #0xe02
0xfffffff0085418f0: 529ef797  bl	#0xfffffff008329238
0xfffffff0085418f4: a8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff0085418f8: 007507f9  str	x0, [x8, #0xee8]
0xfffffff0085418fc: 005dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008541900: 00883891  add	x0, x0, #0xe22
0xfffffff008541904: 4d9ef797  bl	#0xfffffff008329238
0xfffffff008541908: a8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff00854190c: 007907f9  str	x0, [x8, #0xef0]
0xfffffff008541910: 005dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008541914: 00e43891  add	x0, x0, #0xe39
0xfffffff008541918: 489ef797  bl	#0xfffffff008329238
0xfffffff00854191c: a8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008541920: 007d07f9  str	x0, [x8, #0xef8]
0xfffffff008541924: 005dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff008541928: 004c3991  add	x0, x0, #0xe53
0xfffffff00854192c: 439ef797  bl	#0xfffffff008329238
0xfffffff008541930: a8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008541934: 008107f9  str	x0, [x8, #0xf00]
0xfffffff008541938: 005dff90  adrp	x0, #0xfffffff0070e1000
0xfffffff00854193c: 00bc3991  add	x0, x0, #0xe6f
0xfffffff008541940: 3e9ef797  bl	#0xfffffff008329238
0xfffffff008541944: a8ec0090  adrp	x8, #0xfffffff00a2d5000
0xfffffff008541948: 008507f9  str	x0, [x8, #0xf08]
0xfffffff00854194c: a0ec0090  adrp	x0, #0xfffffff00a2d5000
0xfffffff008541950: 00403c91  add	x0, x0, #0xf10
0xfffffff008541954: e15cffd0  adrp	x1, #0xfffffff0070df000
0xfffffff008541958: 21341791  add	x1, x1, #0x5cd
0xfffffff00854195c: a2ec0090  adrp	x2, #0xfffffff00a2d5000
0xfffffff008541960: 42a03f91  add	x2, x2, #0xfe8
0xfffffff008541964: 036f8052  mov	w3, #0x378
