; Candidate 2474
; ADRP+ADD at VM 0xfffffff008695c7c (fileoff 0x1691c7c): page=0x1fea92000 add_imm=0xcdb

0xfffffff008695bfc: 290140f9  ldr	x9, [x9]
0xfffffff008695c00: 3f0108eb  cmp	x9, x8
0xfffffff008695c04: 61040054  b.ne	#0xfffffff008695c90
0xfffffff008695c08: fd7b53a9  ldp	x29, x30, [sp, #0x130]
0xfffffff008695c0c: f44f52a9  ldp	x20, x19, [sp, #0x120]
0xfffffff008695c10: f65751a9  ldp	x22, x21, [sp, #0x110]
0xfffffff008695c14: f85f50a9  ldp	x24, x23, [sp, #0x100]
0xfffffff008695c18: fa674fa9  ldp	x26, x25, [sp, #0xf0]
0xfffffff008695c1c: fc6f4ea9  ldp	x28, x27, [sp, #0xe0]
0xfffffff008695c20: ff030591  add	sp, sp, #0x140
0xfffffff008695c24: ff0f5fd6  retab	
0xfffffff008695c28: 08818052  mov	w8, #0x408
0xfffffff008695c2c: 8a54ffd0  adrp	x10, #0xfffffff007127000
0xfffffff008695c30: 4a950f91  add	x10, x10, #0x3e5
0xfffffff008695c34: eaa300a9  stp	x10, x8, [sp, #8]
0xfffffff008695c38: e90300f9  str	x9, [sp]
0xfffffff008695c3c: 8054ffd0  adrp	x0, #0xfffffff007127000
0xfffffff008695c40: 00483591  add	x0, x0, #0xd52
0xfffffff008695c44: 32faf797  bl	#0xfffffff00849450c
0xfffffff008695c48: 686b8052  mov	w8, #0x35b
0xfffffff008695c4c: 8954ffd0  adrp	x9, #0xfffffff007127000
0xfffffff008695c50: 29950f91  add	x9, x9, #0x3e5
0xfffffff008695c54: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008695c58: f70300f9  str	x23, [sp]
0xfffffff008695c5c: 8054ffd0  adrp	x0, #0xfffffff007127000
0xfffffff008695c60: 00542e91  add	x0, x0, #0xb95
0xfffffff008695c64: 2afaf797  bl	#0xfffffff00849450c
0xfffffff008695c68: c87c8052  mov	w8, #0x3e6
0xfffffff008695c6c: 8954ffd0  adrp	x9, #0xfffffff007127000
0xfffffff008695c70: 29950f91  add	x9, x9, #0x3e5
0xfffffff008695c74: e9a300a9  stp	x9, x8, [sp, #8]
0xfffffff008695c78: f70300f9  str	x23, [sp]
0xfffffff008695c7c: 8054ffd0  adrp	x0, #0xfffffff007127000
0xfffffff008695c80: 006c3391  add	x0, x0, #0xcdb
0xfffffff008695c84: 22faf797  bl	#0xfffffff00849450c
0xfffffff008695c88: e3e70094  bl	#0xfffffff0086cfc14
0xfffffff008695c8c: ede70094  bl	#0xfffffff0086cfc40
0xfffffff008695c90: 6f20db97  bl	#0xfffffff007d5de4c
0xfffffff008695c94: 7f2303d5  pacibsp	
0xfffffff008695c98: ff8302d1  sub	sp, sp, #0xa0
0xfffffff008695c9c: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff008695ca0: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff008695ca4: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff008695ca8: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff008695cac: fd430291  add	x29, sp, #0x90
0xfffffff008695cb0: f30300aa  mov	x19, x0
0xfffffff008695cb4: 689affd0  adrp	x8, #0xfffffff0079e3000
0xfffffff008695cb8: 084547f9  ldr	x8, [x8, #0xe88]
0xfffffff008695cbc: 080140f9  ldr	x8, [x8]
0xfffffff008695cc0: a8831cf8  stur	x8, [x29, #-0x38]
0xfffffff008695cc4: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff008695cc8: e08301ad  stp	q0, q0, [sp, #0x30]
0xfffffff008695ccc: e08300ad  stp	q0, q0, [sp, #0x10]
0xfffffff008695cd0: 004041f9  ldr	x0, [x0, #0x280]
0xfffffff008695cd4: e10313aa  mov	x1, x19
0xfffffff008695cd8: 7cbbff97  bl	#0xfffffff008684ac8
0xfffffff008695cdc: 700240f9  ldr	x16, [x19]
0xfffffff008695ce0: f10313aa  mov	x17, x19
0xfffffff008695ce4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008695ce8: 301ac1da  autda	x16, x17
0xfffffff008695cec: f10310aa  mov	x17, x16
0xfffffff008695cf0: f147c1da  xpacd	x17
0xfffffff008695cf4: 1f0211eb  cmp	x16, x17
0xfffffff008695cf8: 40000054  b.eq	#0xfffffff008695d00
