; Candidate 6063
; ADRP+ADD at VM 0xfffffff008811f38 (fileoff 0x180df38): page=0x1fe9d8000 add_imm=0xe80

0xfffffff008811eb8: 294b8052  mov	w9, #0x259
0xfffffff008811ebc: e8d302a9  stp	x8, x20, [sp, #0x28]
0xfffffff008811ec0: 6850ff90  adrp	x8, #0xfffffff00721d000
0xfffffff008811ec4: 08791691  add	x8, x8, #0x59e
0xfffffff008811ec8: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008811ecc: 880e8052  mov	w8, #0x74
0xfffffff008811ed0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008811ed4: f30300f9  str	x19, [sp]
0xfffffff008811ed8: c04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008811edc: 00003a91  add	x0, x0, #0xe80
0xfffffff008811ee0: a18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008811ee4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008811ee8: a351ffd0  adrp	x3, #0xfffffff007247000
0xfffffff008811eec: 63682b91  add	x3, x3, #0xada
0xfffffff008811ef0: 02008052  mov	w2, #0
0xfffffff008811ef4: 8f84ec97  bl	#0xfffffff008333130
0xfffffff008811ef8: c07e8012  mov	w0, #-0x3f7
0xfffffff008811efc: 18000014  b	#0xfffffff008811f5c
0xfffffff008811f00: ab880294  bl	#0xfffffff0088b41ac
0xfffffff008811f04: f40300aa  mov	x20, x0
0xfffffff008811f08: 80008052  mov	w0, #4
0xfffffff008811f0c: 51a60194  bl	#0xfffffff00887b850
0xfffffff008811f10: ff4f03a9  stp	xzr, x19, [sp, #0x30]
0xfffffff008811f14: 4850fff0  adrp	x8, #0xfffffff00721c000
0xfffffff008811f18: 08450491  add	x8, x8, #0x111
0xfffffff008811f1c: a94a8052  mov	w9, #0x255
0xfffffff008811f20: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008811f24: 6850ff90  adrp	x8, #0xfffffff00721d000
0xfffffff008811f28: 08791691  add	x8, x8, #0x59e
0xfffffff008811f2c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008811f30: 880e8052  mov	w8, #0x74
0xfffffff008811f34: f42300a9  stp	x20, x8, [sp]
0xfffffff008811f38: c04eff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008811f3c: 00003a91  add	x0, x0, #0xe80
0xfffffff008811f40: a18ffff0  adrp	x1, #0xfffffff007a08000
0xfffffff008811f44: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008811f48: a351ffd0  adrp	x3, #0xfffffff007247000
0xfffffff008811f4c: 63a02a91  add	x3, x3, #0xaa8
0xfffffff008811f50: 02008052  mov	w2, #0
0xfffffff008811f54: 7784ec97  bl	#0xfffffff008333130
0xfffffff008811f58: 007d8012  mov	w0, #-0x3e9
0xfffffff008811f5c: fd7b47a9  ldp	x29, x30, [sp, #0x70]
0xfffffff008811f60: f44f46a9  ldp	x20, x19, [sp, #0x60]
0xfffffff008811f64: f65745a9  ldp	x22, x21, [sp, #0x50]
0xfffffff008811f68: ff030291  add	sp, sp, #0x80
0xfffffff008811f6c: ff0f5fd6  retab	
0xfffffff008811f70: 7f2303d5  pacibsp	
0xfffffff008811f74: ff8300d1  sub	sp, sp, #0x20
0xfffffff008811f78: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008811f7c: fd430091  add	x29, sp, #0x10
0xfffffff008811f80: 08284491  add	x8, x0, #0x10a, lsl #12
0xfffffff008811f84: 08110891  add	x8, x8, #0x204
0xfffffff008811f88: 09244491  add	x9, x0, #0x109, lsl #12
0xfffffff008811f8c: 29e53e91  add	x9, x9, #0xfb9
0xfffffff008811f90: 0ab84391  add	x10, x0, #0xee, lsl #12
0xfffffff008811f94: 00dc40b9  ldr	w0, [x0, #0xdc]
0xfffffff008811f98: 01bd43b9  ldr	w1, [x8, #0x3bc]
0xfffffff008811f9c: 4a212a91  add	x10, x10, #0xa88
0xfffffff008811fa0: 02c543b9  ldr	w2, [x8, #0x3c4]
0xfffffff008811fa4: 430140b9  ldr	w3, [x10]
0xfffffff008811fa8: 44657db9  ldr	w4, [x10, #0x3d64]
0xfffffff008811fac: 2b014039  ldrb	w11, [x9]
0xfffffff008811fb0: 65010052  eor	w5, w11, #1
0xfffffff008811fb4: 298d4739  ldrb	w9, [x9, #0x1e3]
