; Candidate 5698
; ADRP+ADD at VM 0xfffffff008800f94 (fileoff 0x17fcf94): page=0x1fe9e9000 add_imm=0xe80

0xfffffff008800f14: c050ff90  adrp	x0, #0xfffffff007218000
0xfffffff008800f18: 00883591  add	x0, x0, #0xd62
0xfffffff008800f1c: ea0b00f9  str	x10, [sp, #0x10]
0xfffffff008800f20: 50d9d697  bl	#0xfffffff007db7460
0xfffffff008800f24: 42000014  b	#0xfffffff00880102c
0xfffffff008800f28: a1cc0294  bl	#0xfffffff0088b41ac
0xfffffff008800f2c: f70300aa  mov	x23, x0
0xfffffff008800f30: e00314aa  mov	x0, x20
0xfffffff008800f34: 47ea0194  bl	#0xfffffff00887b850
0xfffffff008800f38: 48034039  ldrb	w8, [x26]
0xfffffff008800f3c: fa0316aa  mov	x26, x22
0xfffffff008800f40: c00e40fd  ldr	d0, [x22, #0x18]
0xfffffff008800f44: 0900781e  fcvtzs	w9, d0
0xfffffff008800f48: 2101621e  scvtf	d1, w9
0xfffffff008800f4c: 0138611e  fsub	d1, d0, d1
0xfffffff008800f50: 4a4fffd0  adrp	x10, #0xfffffff0071ea000
0xfffffff008800f54: 420943fd  ldr	d2, [x10, #0x610]
0xfffffff008800f58: 2108621e  fmul	d1, d1, d2
0xfffffff008800f5c: 2a00781e  fcvtzs	w10, d1
0xfffffff008800f60: 01107e1e  fmov	d1, #-1.00000000
0xfffffff008800f64: 0020611e  fcmp	d0, d1
0xfffffff008800f68: 4aa58a5a  cneg	w10, w10, lt
0xfffffff008800f6c: cbd24039  ldrb	w11, [x22, #0x34]
0xfffffff008800f70: ccf24039  ldrb	w12, [x22, #0x3c]
0xfffffff008800f74: cdda4039  ldrb	w13, [x22, #0x36]
0xfffffff008800f78: 2e0743b9  ldr	w14, [x25, #0x304]
0xfffffff008800f7c: ec3704a9  stp	x12, x13, [sp, #0x40]
0xfffffff008800f80: eb3b03a9  stp	x11, x14, [sp, #0x30]
0xfffffff008800f84: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008800f88: e80313aa  mov	x8, x19
0xfffffff008800f8c: f72300a9  stp	x23, x8, [sp]
0xfffffff008800f90: e92b02a9  stp	x9, x10, [sp, #0x20]
0xfffffff008800f94: 404fffb0  adrp	x0, #0xfffffff0071e9000
0xfffffff008800f98: 00003a91  add	x0, x0, #0xe80
0xfffffff008800f9c: 4190ff90  adrp	x1, #0xfffffff007a08000
0xfffffff008800fa0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008800fa4: 0352fff0  adrp	x3, #0xfffffff007243000
0xfffffff008800fa8: 63e42091  add	x3, x3, #0x839
0xfffffff008800fac: 02008052  mov	w2, #0
0xfffffff008800fb0: 60c8ec97  bl	#0xfffffff008333130
0xfffffff008800fb4: f6031caa  mov	x22, x28
0xfffffff008800fb8: 1d000014  b	#0xfffffff00880102c
0xfffffff008800fbc: 08034039  ldrb	w8, [x24]
0xfffffff008800fc0: 400f40fd  ldr	d0, [x26, #0x18]
0xfffffff008800fc4: 0900781e  fcvtzs	w9, d0
0xfffffff008800fc8: 4ad34039  ldrb	w10, [x26, #0x34]
0xfffffff008800fcc: 4bf34039  ldrb	w11, [x26, #0x3c]
0xfffffff008800fd0: 4cdb4039  ldrb	w12, [x26, #0x36]
0xfffffff008800fd4: 2101621e  scvtf	d1, w9
0xfffffff008800fd8: 0138611e  fsub	d1, d0, d1
0xfffffff008800fdc: 4d4fffd0  adrp	x13, #0xfffffff0071ea000
0xfffffff008800fe0: a20943fd  ldr	d2, [x13, #0x610]
0xfffffff008800fe4: 2108621e  fmul	d1, d1, d2
0xfffffff008800fe8: 2d00781e  fcvtzs	w13, d1
0xfffffff008800fec: 01107e1e  fmov	d1, #-1.00000000
0xfffffff008800ff0: 0020611e  fcmp	d0, d1
0xfffffff008800ff4: ada58d5a  cneg	w13, w13, lt
0xfffffff008800ff8: 2e0743b9  ldr	w14, [x25, #0x304]
0xfffffff008800ffc: ebb302a9  stp	x11, x12, [sp, #0x28]
0xfffffff008801000: eabb01a9  stp	x10, x14, [sp, #0x18]
0xfffffff008801004: e82700a9  stp	x8, x9, [sp]
0xfffffff008801008: ed0b00f9  str	x13, [sp, #0x10]
0xfffffff00880100c: 404fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008801010: 00003a91  add	x0, x0, #0xe80
