; Candidate 9699
; ADRP+ADD at VM 0xfffffff008ad4988 (fileoff 0x1ad0988): page=0x1fe7ee000 add_imm=0xd6a

0xfffffff008ad4908: 40000014  b	#0xfffffff008ad4a08
0xfffffff008ad490c: 680240f9  ldr	x8, [x19]
0xfffffff008ad4910: 000140f9  ldr	x0, [x8]
0xfffffff008ad4914: 3bfeff97  bl	#0xfffffff008ad4200
0xfffffff008ad4918: f80300aa  mov	x24, x0
0xfffffff008ad491c: e9234629  ldp	w9, w8, [sp, #0x30]
0xfffffff008ad4920: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff008ad4924: 683fffd0  adrp	x8, #0xfffffff0072c2000
0xfffffff008ad4928: 08812a91  add	x8, x8, #0xaa0
0xfffffff008ad492c: 69468052  mov	w9, #0x233
0xfffffff008ad4930: e98300a9  stp	x9, x0, [sp, #8]
0xfffffff008ad4934: e80300f9  str	x8, [sp]
0xfffffff008ad4938: 603fffd0  adrp	x0, #0xfffffff0072c2000
0xfffffff008ad493c: 00683691  add	x0, x0, #0xd9a
0xfffffff008ad4940: c88acb97  bl	#0xfffffff007db7460
0xfffffff008ad4944: 980000b4  cbz	x24, #0xfffffff008ad4954
0xfffffff008ad4948: 018f5fb8  ldr	w1, [x24, #-8]!
0xfffffff008ad494c: e00318aa  mov	x0, x24
0xfffffff008ad4950: 0c09e297  bl	#0xfffffff008356d80
0xfffffff008ad4954: 19008052  mov	w25, #0
0xfffffff008ad4958: c0028052  mov	w0, #0x16
0xfffffff008ad495c: c0ffff17  b	#0xfffffff008ad485c
0xfffffff008ad4960: 680240f9  ldr	x8, [x19]
0xfffffff008ad4964: 000140f9  ldr	x0, [x8]
0xfffffff008ad4968: 26feff97  bl	#0xfffffff008ad4200
0xfffffff008ad496c: f80300aa  mov	x24, x0
0xfffffff008ad4970: e83740b9  ldr	w8, [sp, #0x34]
0xfffffff008ad4974: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008ad4978: 683fffd0  adrp	x8, #0xfffffff0072c2000
0xfffffff008ad497c: 08812a91  add	x8, x8, #0xaa0
0xfffffff008ad4980: a9438052  mov	w9, #0x21d
0xfffffff008ad4984: e82700a9  stp	x8, x9, [sp]
0xfffffff008ad4988: 603fffd0  adrp	x0, #0xfffffff0072c2000
0xfffffff008ad498c: 00a83591  add	x0, x0, #0xd6a
0xfffffff008ad4990: b48acb97  bl	#0xfffffff007db7460
0xfffffff008ad4994: 980c00b4  cbz	x24, #0xfffffff008ad4b24
0xfffffff008ad4998: 018f5fb8  ldr	w1, [x24, #-8]!
0xfffffff008ad499c: e00318aa  mov	x0, x24
0xfffffff008ad49a0: 60000014  b	#0xfffffff008ad4b20
0xfffffff008ad49a4: 680240f9  ldr	x8, [x19]
0xfffffff008ad49a8: 000140f9  ldr	x0, [x8]
0xfffffff008ad49ac: 15feff97  bl	#0xfffffff008ad4200
0xfffffff008ad49b0: f40300aa  mov	x20, x0
0xfffffff008ad49b4: 680a40b9  ldr	w8, [x19, #8]
0xfffffff008ad49b8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008ad49bc: 683fffd0  adrp	x8, #0xfffffff0072c2000
0xfffffff008ad49c0: 08812a91  add	x8, x8, #0xaa0
0xfffffff008ad49c4: 49538052  mov	w9, #0x29a
0xfffffff008ad49c8: e82700a9  stp	x8, x9, [sp]
0xfffffff008ad49cc: 603fffd0  adrp	x0, #0xfffffff0072c2000
0xfffffff008ad49d0: 008c3291  add	x0, x0, #0xca3
0xfffffff008ad49d4: 59ffff17  b	#0xfffffff008ad4738
0xfffffff008ad49d8: 691e40f9  ldr	x9, [x19, #0x38]
0xfffffff008ad49dc: 090600b4  cbz	x9, #0xfffffff008ad4a9c
0xfffffff008ad49e0: 3f0b0071  cmp	w25, #2
0xfffffff008ad49e4: 230c0054  b.lo	#0xfffffff008ad4b68
0xfffffff008ad49e8: 09014039  ldrb	w9, [x8]
0xfffffff008ad49ec: 290d0012  and	w9, w9, #0xf
0xfffffff008ad49f0: 3f210071  cmp	w9, #8
0xfffffff008ad49f4: a10b0054  b.ne	#0xfffffff008ad4b68
0xfffffff008ad49f8: 5a008052  mov	w26, #2
0xfffffff008ad49fc: b8408052  mov	w24, #0x205
0xfffffff008ad4a00: 05000014  b	#0xfffffff008ad4a14
0xfffffff008ad4a04: 38008152  mov	w24, #0x801
