; Candidate 1375
; ADRP+ADD at VM 0xfffffff00838c4c0 (fileoff 0x13884c0): page=0x1ff5f2000 add_imm=0xdf0

0xfffffff00838c440: 88afffb0  adrp	x8, #0xfffffff00797d000
0xfffffff00838c444: 08dd4ab9  ldr	w8, [x8, #0xadc]
0xfffffff00838c448: 025d4092  and	x2, x8, #0xffffff
0xfffffff00838c44c: 00adffb0  adrp	x0, #0xfffffff00792d000
0xfffffff00838c450: 00c01c91  add	x0, x0, #0x730
0xfffffff00838c454: 8669e897  bl	#0xfffffff007da6a6c
0xfffffff00838c458: 08008092  mov	x8, #-1
0xfffffff00838c45c: 680200f9  str	x8, [x19]
0xfffffff00838c460: e00313aa  mov	x0, x19
0xfffffff00838c464: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff00838c468: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff00838c46c: f657c3a8  ldp	x22, x21, [sp], #0x30
0xfffffff00838c470: ff0f5fd6  retab	
0xfffffff00838c474: e10314aa  mov	x1, x20
0xfffffff00838c478: 02008052  mov	w2, #0
0xfffffff00838c47c: 9f7de897  bl	#0xfffffff007dabaf8
0xfffffff00838c480: 87ffff17  b	#0xfffffff00838c29c
0xfffffff00838c484: e10314aa  mov	x1, x20
0xfffffff00838c488: b780e897  bl	#0xfffffff007dac764
0xfffffff00838c48c: 35f5ffb5  cbnz	x21, #0xfffffff00838c330
0xfffffff00838c490: ccffff17  b	#0xfffffff00838c3c0
0xfffffff00838c494: e10314aa  mov	x1, x20
0xfffffff00838c498: b380e897  bl	#0xfffffff007dac764
0xfffffff00838c49c: c9ffff17  b	#0xfffffff00838c3c0
0xfffffff00838c4a0: 5f2403d5  bti	c
0xfffffff00838c4a4: 60f40090  adrp	x0, #0xfffffff00a218000
0xfffffff00838c4a8: 00e03591  add	x0, x0, #0xd78
0xfffffff00838c4ac: c0035fd6  ret	
0xfffffff00838c4b0: 5f2403d5  bti	c
0xfffffff00838c4b4: e10300aa  mov	x1, x0
0xfffffff00838c4b8: 08008092  mov	x8, #-1
0xfffffff00838c4bc: 080000f9  str	x8, [x0]
0xfffffff00838c4c0: 80afffd0  adrp	x0, #0xfffffff00797e000
0xfffffff00838c4c4: 00c03791  add	x0, x0, #0xdf0
0xfffffff00838c4c8: 02118052  mov	w2, #0x88
0xfffffff00838c4cc: 746cfd17  b	#0xfffffff0082e769c
0xfffffff00838c4d0: 5f2403d5  bti	c
0xfffffff00838c4d4: 08008092  mov	x8, #-1
0xfffffff00838c4d8: 080000f9  str	x8, [x0]
0xfffffff00838c4dc: c0035fd6  ret	
0xfffffff00838c4e0: 7f2303d5  pacibsp	
0xfffffff00838c4e4: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00838c4e8: fd030091  mov	x29, sp
0xfffffff00838c4ec: 88afffd0  adrp	x8, #0xfffffff00797e000
0xfffffff00838c4f0: 081d4eb9  ldr	w8, [x8, #0xe1c]
0xfffffff00838c4f4: 08511d12  and	w8, w8, #0xfffff8
0xfffffff00838c4f8: 1f210271  cmp	w8, #0x88
0xfffffff00838c4fc: 22010054  b.hs	#0xfffffff00838c520
0xfffffff00838c500: 00adffb0  adrp	x0, #0xfffffff00792d000
0xfffffff00838c504: 00c01c91  add	x0, x0, #0x730
0xfffffff00838c508: 01118052  mov	w1, #0x88
0xfffffff00838c50c: 82008252  mov	w2, #0x1004
0xfffffff00838c510: 8200a072  movk	w2, #4, lsl #16
0xfffffff00838c514: 030080d2  mov	x3, #0
0xfffffff00838c518: fa67e897  bl	#0xfffffff007da6500
0xfffffff00838c51c: 05000014  b	#0xfffffff00838c530
0xfffffff00838c520: 80afffd0  adrp	x0, #0xfffffff00797e000
0xfffffff00838c524: 00c03791  add	x0, x0, #0xdf0
0xfffffff00838c528: 81008052  mov	w1, #4
0xfffffff00838c52c: 2569e897  bl	#0xfffffff007da69c0
0xfffffff00838c530: 68f400d0  adrp	x8, #0xfffffff00a21a000
0xfffffff00838c534: 08c10191  add	x8, x8, #0x70
0xfffffff00838c538: 09118052  mov	w9, #0x88
0xfffffff00838c53c: 080129f8  ldadd	x9, x8, [x8]
