; Candidate 2093
; ADRP+ADD at VM 0xfffffff008553840 (fileoff 0x154f840): page=0x1feb8e000 add_imm=0xdd8

0xfffffff0085537c0: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff0085537c4: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff0085537c8: fd430091  add	x29, sp, #0x10
0xfffffff0085537cc: 60a2fff0  adrp	x0, #0xfffffff0079a2000
0xfffffff0085537d0: 00000e91  add	x0, x0, #0x380
0xfffffff0085537d4: 010f8052  mov	w1, #0x78
0xfffffff0085537d8: 984ff697  bl	#0xfffffff0082e7638
0xfffffff0085537dc: f30300aa  mov	x19, x0
0xfffffff0085537e0: 14ec00f0  adrp	x20, #0xfffffff00a2d6000
0xfffffff0085537e4: 94a21b91  add	x20, x20, #0x6e8
0xfffffff0085537e8: e10314aa  mov	x1, x20
0xfffffff0085537ec: e04ff697  bl	#0xfffffff0082e776c
0xfffffff0085537f0: 70a2ff90  adrp	x16, #0xfffffff00799f000
0xfffffff0085537f4: 10a23391  add	x16, x16, #0xce8
0xfffffff0085537f8: 10420091  add	x16, x16, #0x10
0xfffffff0085537fc: f10300aa  mov	x17, x0
0xfffffff008553800: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008553804: 300ac1da  pacda	x16, x17
0xfffffff008553808: 100000f9  str	x16, [x0]
0xfffffff00855380c: e00314aa  mov	x0, x20
0xfffffff008553810: 4946f697  bl	#0xfffffff0082e5134
0xfffffff008553814: e00313aa  mov	x0, x19
0xfffffff008553818: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff00855381c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008553820: ff0f5fd6  retab	
0xfffffff008553824: 5f2403d5  bti	c
0xfffffff008553828: b343f617  b	#0xfffffff0082e46f4
0xfffffff00855382c: 5f2403d5  bti	c
0xfffffff008553830: b143f617  b	#0xfffffff0082e46f4
0xfffffff008553834: 7f2303d5  pacibsp	
0xfffffff008553838: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00855383c: fd030091  mov	x29, sp
0xfffffff008553840: 605cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008553844: 00603791  add	x0, x0, #0xdd8
0xfffffff008553848: 7c56f797  bl	#0xfffffff008329238
0xfffffff00855384c: 08ec00f0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008553850: 005d03f9  str	x0, [x8, #0x6b8]
0xfffffff008553854: 605cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008553858: 00083891  add	x0, x0, #0xe02
0xfffffff00855385c: 7756f797  bl	#0xfffffff008329238
0xfffffff008553860: 08ec00f0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008553864: 006103f9  str	x0, [x8, #0x6c0]
0xfffffff008553868: 605cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff00855386c: 00883891  add	x0, x0, #0xe22
0xfffffff008553870: 7256f797  bl	#0xfffffff008329238
0xfffffff008553874: 08ec00f0  adrp	x8, #0xfffffff00a2d6000
0xfffffff008553878: 006503f9  str	x0, [x8, #0x6c8]
0xfffffff00855387c: 605cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008553880: 00e43891  add	x0, x0, #0xe39
0xfffffff008553884: 6d56f797  bl	#0xfffffff008329238
0xfffffff008553888: 08ec00f0  adrp	x8, #0xfffffff00a2d6000
0xfffffff00855388c: 006903f9  str	x0, [x8, #0x6d0]
0xfffffff008553890: 605cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff008553894: 004c3991  add	x0, x0, #0xe53
0xfffffff008553898: 6856f797  bl	#0xfffffff008329238
0xfffffff00855389c: 08ec00f0  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085538a0: 006d03f9  str	x0, [x8, #0x6d8]
0xfffffff0085538a4: 605cffd0  adrp	x0, #0xfffffff0070e1000
0xfffffff0085538a8: 00bc3991  add	x0, x0, #0xe6f
0xfffffff0085538ac: 6356f797  bl	#0xfffffff008329238
0xfffffff0085538b0: 08ec00f0  adrp	x8, #0xfffffff00a2d6000
0xfffffff0085538b4: 007103f9  str	x0, [x8, #0x6e0]
0xfffffff0085538b8: 00ec00f0  adrp	x0, #0xfffffff00a2d6000
0xfffffff0085538bc: 00a01b91  add	x0, x0, #0x6e8
