; Candidate 769
; ADRP+ADD at VM 0xfffffff00807742c (fileoff 0x107342c): page=0x1feff9000 add_imm=0xdb5

0xfffffff0080773ac: 0a1b8052  mov	w10, #0xd8
0xfffffff0080773b0: 4b1b8052  mov	w11, #0xda
0xfffffff0080773b4: 6a018a9a  csel	x10, x11, x10, eq
0xfffffff0080773b8: 2801889a  csel	x8, x9, x8, eq
0xfffffff0080773bc: 09000a8b  add	x9, x0, x10
0xfffffff0080773c0: 2a008052  mov	w10, #1
0xfffffff0080773c4: 29012a78  ldaddh	w10, w9, [x9]
0xfffffff0080773c8: 29110012  and	w9, w9, #0x1f
0xfffffff0080773cc: 0a098052  mov	w10, #0x48
0xfffffff0080773d0: 2021aa9b  umaddl	x0, w9, w10, x8
0xfffffff0080773d4: 88d038d5  mrs	x8, tpidr_el1
0xfffffff0080773d8: 080000f9  str	x8, [x0]
0xfffffff0080773dc: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0080773e0: 0080813c  stur	q0, [x0, #0x18]
0xfffffff0080773e4: 0080823c  stur	q0, [x0, #0x28]
0xfffffff0080773e8: 0080833c  stur	q0, [x0, #0x38]
0xfffffff0080773ec: 008c803c  str	q0, [x0, #8]!
0xfffffff0080773f0: 01018052  mov	w1, #8
0xfffffff0080773f4: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff0080773f8: ffc30091  add	sp, sp, #0x30
0xfffffff0080773fc: ff2303d5  autibsp	
0xfffffff008077400: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008077404: 5000f0b6  tbz	x16, #0x3e, #0xfffffff00807740c
0xfffffff008077408: 208e38d4  brk	#0xc471
0xfffffff00807740c: b9b00914  b	#0xfffffff0082e36f0
0xfffffff008077410: 28c08152  mov	w8, #0xe01
0xfffffff008077414: c97fffb0  adrp	x9, #0xfffffff007070000
0xfffffff008077418: 29112b91  add	x9, x9, #0xac4
0xfffffff00807741c: ca7fffb0  adrp	x10, #0xfffffff007070000
0xfffffff008077420: 4a793791  add	x10, x10, #0xdde
0xfffffff008077424: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff008077428: ea0300a9  stp	x10, x0, [sp]
0xfffffff00807742c: c07fffb0  adrp	x0, #0xfffffff007070000
0xfffffff008077430: 00d43691  add	x0, x0, #0xdb5
0xfffffff008077434: 36741094  bl	#0xfffffff00849450c
0xfffffff008077438: 7f2303d5  pacibsp	
0xfffffff00807743c: f85fbca9  stp	x24, x23, [sp, #-0x40]!
0xfffffff008077440: f65701a9  stp	x22, x21, [sp, #0x10]
0xfffffff008077444: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008077448: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff00807744c: fdc30091  add	x29, sp, #0x30
0xfffffff008077450: f40300aa  mov	x20, x0
0xfffffff008077454: 888e47f8  ldr	x8, [x20, #0x78]!
0xfffffff008077458: a80500b4  cbz	x8, #0xfffffff00807750c
0xfffffff00807745c: f30300aa  mov	x19, x0
0xfffffff008077460: f50308aa  mov	x21, x8
0xfffffff008077464: 080140f9  ldr	x8, [x8]
0xfffffff008077468: c8ffffb5  cbnz	x8, #0xfffffff008077460
0xfffffff00807746c: 16c8ff90  adrp	x22, #0xfffffff007977000
0xfffffff008077470: d6c23f91  add	x22, x22, #0xff0
0xfffffff008077474: 0d000014  b	#0xfffffff0080774a8
0xfffffff008077478: 170080d2  mov	x23, #0
0xfffffff00807747c: e00314aa  mov	x0, x20
0xfffffff008077480: e10315aa  mov	x1, x21
0xfffffff008077484: f3f6ff97  bl	#0xfffffff008075050
0xfffffff008077488: e00316aa  mov	x0, x22
0xfffffff00807748c: e10315aa  mov	x1, x21
0xfffffff008077490: df49f697  bl	#0xfffffff007e09c0c
0xfffffff008077494: 684240f9  ldr	x8, [x19, #0x80]
0xfffffff008077498: 080500d1  sub	x8, x8, #1
0xfffffff00807749c: 684200f9  str	x8, [x19, #0x80]
0xfffffff0080774a0: f50317aa  mov	x21, x23
0xfffffff0080774a4: 570300b4  cbz	x23, #0xfffffff00807750c
0xfffffff0080774a8: a80640f9  ldr	x8, [x21, #8]
