; Candidate 8904
; ADRP+ADD at VM 0xfffffff0088ebb84 (fileoff 0x18e7b84): page=0x1ff12f000 add_imm=0xd30

0xfffffff0088ebb04: 80cf0090  adrp	x0, #0xfffffff00a2db000
0xfffffff0088ebb08: 00203091  add	x0, x0, #0xc08
0xfffffff0088ebb0c: c0035fd6  ret	
0xfffffff0088ebb10: 7f2303d5  pacibsp	
0xfffffff0088ebb14: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff0088ebb18: fd030091  mov	x29, sp
0xfffffff0088ebb1c: 014cfff0  adrp	x1, #0xfffffff00726e000
0xfffffff0088ebb20: 21d83991  add	x1, x1, #0xe76
0xfffffff0088ebb24: 6289ff90  adrp	x2, #0xfffffff007a17000
0xfffffff0088ebb28: 42a043f9  ldr	x2, [x2, #0x740]
0xfffffff0088ebb2c: 031b8052  mov	w3, #0xd8
0xfffffff0088ebb30: 02e0e797  bl	#0xfffffff0082e3b38
0xfffffff0088ebb34: 7089ffb0  adrp	x16, #0xfffffff007a18000
0xfffffff0088ebb38: 10421391  add	x16, x16, #0x4d0
0xfffffff0088ebb3c: 10420091  add	x16, x16, #0x10
0xfffffff0088ebb40: f10300aa  mov	x17, x0
0xfffffff0088ebb44: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088ebb48: 300ac1da  pacda	x16, x17
0xfffffff0088ebb4c: 100000f9  str	x16, [x0]
0xfffffff0088ebb50: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff0088ebb54: ff0f5fd6  retab	
0xfffffff0088ebb58: 5f2403d5  bti	c
0xfffffff0088ebb5c: 000080d2  mov	x0, #0
0xfffffff0088ebb60: c0035fd6  ret	
0xfffffff0088ebb64: 5f2403d5  bti	c
0xfffffff0088ebb68: e10300aa  mov	x1, x0
0xfffffff0088ebb6c: 6089fff0  adrp	x0, #0xfffffff007a1a000
0xfffffff0088ebb70: 00c03491  add	x0, x0, #0xd30
0xfffffff0088ebb74: b1eee717  b	#0xfffffff0082e7638
0xfffffff0088ebb78: 5f2403d5  bti	c
0xfffffff0088ebb7c: e20301aa  mov	x2, x1
0xfffffff0088ebb80: e10300aa  mov	x1, x0
0xfffffff0088ebb84: 6089fff0  adrp	x0, #0xfffffff007a1a000
0xfffffff0088ebb88: 00c03491  add	x0, x0, #0xd30
0xfffffff0088ebb8c: c4eee717  b	#0xfffffff0082e769c
0xfffffff0088ebb90: 7f2303d5  pacibsp	
0xfffffff0088ebb94: ffc301d1  sub	sp, sp, #0x70
0xfffffff0088ebb98: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff0088ebb9c: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff0088ebba0: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff0088ebba4: fd830191  add	x29, sp, #0x60
0xfffffff0088ebba8: f40301aa  mov	x20, x1
0xfffffff0088ebbac: e10f00b4  cbz	x1, #0xfffffff0088ebda8
0xfffffff0088ebbb0: f30300aa  mov	x19, x0
0xfffffff0088ebbb4: 6889ff90  adrp	x8, #0xfffffff007a17000
0xfffffff0088ebbb8: 08b143f9  ldr	x8, [x8, #0x760]
0xfffffff0088ebbbc: 09010b91  add	x9, x8, #0x2c0
0xfffffff0088ebbc0: 086141f9  ldr	x8, [x8, #0x2c0]
0xfffffff0088ebbc4: e10314aa  mov	x1, x20
0xfffffff0088ebbc8: f10309aa  mov	x17, x9
0xfffffff0088ebbcc: 118de7f2  movk	x17, #0x3c68, lsl #48
0xfffffff0088ebbd0: 11093fd7  blraa	x8, x17
0xfffffff0088ebbd4: 000a0034  cbz	w0, #0xfffffff0088ebd14
0xfffffff0088ebbd8: 700240f9  ldr	x16, [x19]
0xfffffff0088ebbdc: f10313aa  mov	x17, x19
0xfffffff0088ebbe0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0088ebbe4: 301ac1da  autda	x16, x17
0xfffffff0088ebbe8: 11d580d2  mov	x17, #0x6a8
0xfffffff0088ebbec: 1002118b  add	x16, x16, x17
0xfffffff0088ebbf0: 080240f9  ldr	x8, [x16]
0xfffffff0088ebbf4: e90310aa  mov	x9, x16
0xfffffff0088ebbf8: e00313aa  mov	x0, x19
0xfffffff0088ebbfc: e10314aa  mov	x1, x20
0xfffffff0088ebc00: f10309aa  mov	x17, x9
