; Candidate 3972
; ADRP+ADD at VM 0xfffffff00877d18c (fileoff 0x177918c): page=0x1fe9b4000 add_imm=0xd90

0xfffffff00877d10c: 4a050011  add	w10, w10, #1
0xfffffff00877d110: 4a791f12  and	w10, w10, #0xfffffffe
0xfffffff00877d114: 4b1d0011  add	w11, w10, #7
0xfffffff00877d118: 6b711d12  and	w11, w11, #0xfffffff8
0xfffffff00877d11c: 3f050071  cmp	w9, #1
0xfffffff00877d120: 49018b1a  csel	w9, w10, w11, eq
0xfffffff00877d124: 3f210071  cmp	w9, #8
0xfffffff00877d128: 88020054  b.hi	#0xfffffff00877d178
0xfffffff00877d12c: e80300aa  mov	x8, x0
0xfffffff00877d130: f00309aa  mov	x16, x9
0xfffffff00877d134: 1f2200f1  cmp	x16, #8
0xfffffff00877d138: 10929f9a  csel	x16, x16, xzr, ls
0xfffffff00877d13c: 11000090  adrp	x17, #0xfffffff00877d000
0xfffffff00877d140: 31320a91  add	x17, x17, #0x28c
0xfffffff00877d144: 307ab0b8  ldrsw	x16, [x17, x16, lsl #2]
0xfffffff00877d148: 11000010  adr	x17, #0xfffffff00877d148
0xfffffff00877d14c: 3002108b  add	x16, x17, x16
0xfffffff00877d150: 00021fd6  br	x16
0xfffffff00877d154: 9f2403d5  bti	j
0xfffffff00877d158: 00008052  mov	w0, #0
0xfffffff00877d15c: 29fc0011  add	w9, w1, #0x3f
0xfffffff00877d160: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff00877d164: 094d08b9  str	w9, [x8, #0x84c]
0xfffffff00877d168: 29781f53  lsl	w9, w1, #1
0xfffffff00877d16c: 41000014  b	#0xfffffff00877d270
0xfffffff00877d170: 00008052  mov	w0, #0
0xfffffff00877d174: 43000014  b	#0xfffffff00877d280
0xfffffff00877d178: 9f2403d5  bti	j
0xfffffff00877d17c: 28210011  add	w8, w9, #8
0xfffffff00877d180: 894effd0  adrp	x9, #0xfffffff00714f000
0xfffffff00877d184: 29351b91  add	x9, x9, #0x6cd
0xfffffff00877d188: e92300a9  stp	x9, x8, [sp]
0xfffffff00877d18c: a04dff90  adrp	x0, #0xfffffff007131000
0xfffffff00877d190: 00403691  add	x0, x0, #0xd90
0xfffffff00877d194: 0194ff90  adrp	x1, #0xfffffff0079fd000
0xfffffff00877d198: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877d19c: 234efff0  adrp	x3, #0xfffffff007144000
0xfffffff00877d1a0: 63003791  add	x3, x3, #0xdc0
0xfffffff00877d1a4: 02008052  mov	w2, #0
0xfffffff00877d1a8: e2d7ee97  bl	#0xfffffff008333130
0xfffffff00877d1ac: 00008012  mov	w0, #-1
0xfffffff00877d1b0: 34000014  b	#0xfffffff00877d280
0xfffffff00877d1b4: 9f2403d5  bti	j
0xfffffff00877d1b8: 00008052  mov	w0, #0
0xfffffff00877d1bc: 29080011  add	w9, w1, #2
0xfffffff00877d1c0: 6a559552  mov	w10, #0xaaab
0xfffffff00877d1c4: 4a55b572  movk	w10, #0xaaaa, lsl #16
0xfffffff00877d1c8: 297daa9b  umull	x9, w9, w10
0xfffffff00877d1cc: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff00877d1d0: 29791f53  lsl	w9, w9, #1
0xfffffff00877d1d4: 29751e12  and	w9, w9, #0xfffffffc
0xfffffff00877d1d8: 29fd0011  add	w9, w9, #0x3f
0xfffffff00877d1dc: 29651a12  and	w9, w9, #0xffffffc0
0xfffffff00877d1e0: 094d08b9  str	w9, [x8, #0x84c]
0xfffffff00877d1e4: 29781f53  lsl	w9, w1, #1
0xfffffff00877d1e8: 2909c41a  udiv	w9, w9, w4
0xfffffff00877d1ec: 29150011  add	w9, w9, #5
0xfffffff00877d1f0: 297daa9b  umull	x9, w9, w10
0xfffffff00877d1f4: 29fd60d3  lsr	x9, x9, #0x20
0xfffffff00877d1f8: 29791f53  lsl	w9, w9, #1
0xfffffff00877d1fc: 29711d12  and	w9, w9, #0xfffffff8
0xfffffff00877d200: 1d000014  b	#0xfffffff00877d274
0xfffffff00877d204: 9f2403d5  bti	j
0xfffffff00877d208: 00008052  mov	w0, #0
