; Candidate 5306
; ADRP+ADD at VM 0xfffffff0087e6030 (fileoff 0x17e2030): page=0x1fea03000 add_imm=0xe80

0xfffffff0087e5fb0: 1701789e  fcvtzs	x23, d8
0xfffffff0087e5fb4: 16020034  cbz	w22, #0xfffffff0087e5ff4
0xfffffff0087e5fb8: f7d303a9  stp	x23, x20, [sp, #0x38]
0xfffffff0087e5fbc: 6851ffd0  adrp	x8, #0xfffffff007213000
0xfffffff0087e5fc0: 08d52d91  add	x8, x8, #0xb75
0xfffffff0087e5fc4: 29178052  mov	w9, #0xb9
0xfffffff0087e5fc8: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087e5fcc: 6851ffd0  adrp	x8, #0xfffffff007213000
0xfffffff0087e5fd0: 08512f91  add	x8, x8, #0xbd4
0xfffffff0087e5fd4: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e5fd8: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087e5fdc: 680e8052  mov	w8, #0x73
0xfffffff0087e5fe0: 6051ffd0  adrp	x0, #0xfffffff007213000
0xfffffff0087e5fe4: 001c2e91  add	x0, x0, #0xb87
0xfffffff0087e5fe8: f52300a9  stp	x21, x8, [sp]
0xfffffff0087e5fec: 1d45d797  bl	#0xfffffff007db7460
0xfffffff0087e5ff0: 18000014  b	#0xfffffff0087e6050
0xfffffff0087e5ff4: 6e380394  bl	#0xfffffff0088b41ac
0xfffffff0087e5ff8: f50300aa  mov	x21, x0
0xfffffff0087e5ffc: 80008052  mov	w0, #4
0xfffffff0087e6000: 14560294  bl	#0xfffffff00887b850
0xfffffff0087e6004: f7d303a9  stp	x23, x20, [sp, #0x38]
0xfffffff0087e6008: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e600c: 08d52d91  add	x8, x8, #0xb75
0xfffffff0087e6010: 29178052  mov	w9, #0xb9
0xfffffff0087e6014: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0087e6018: 6851ffb0  adrp	x8, #0xfffffff007213000
0xfffffff0087e601c: 08512f91  add	x8, x8, #0xbd4
0xfffffff0087e6020: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087e6024: 680e8052  mov	w8, #0x73
0xfffffff0087e6028: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087e602c: f50300f9  str	x21, [sp]
0xfffffff0087e6030: 0050fff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087e6034: 00003a91  add	x0, x0, #0xe80
0xfffffff0087e6038: 0191ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087e603c: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087e6040: c352ff90  adrp	x3, #0xfffffff00723e000
0xfffffff0087e6044: 63841291  add	x3, x3, #0x4a1
0xfffffff0087e6048: 02008052  mov	w2, #0
0xfffffff0087e604c: 3934ed97  bl	#0xfffffff008333130
0xfffffff0087e6050: 407d8012  mov	w0, #-0x3eb
0xfffffff0087e6054: fd7b49a9  ldp	x29, x30, [sp, #0x90]
0xfffffff0087e6058: f44f48a9  ldp	x20, x19, [sp, #0x80]
0xfffffff0087e605c: f65747a9  ldp	x22, x21, [sp, #0x70]
0xfffffff0087e6060: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0087e6064: e923456d  ldp	d9, d8, [sp, #0x50]
0xfffffff0087e6068: ff830291  add	sp, sp, #0xa0
0xfffffff0087e606c: ff0f5fd6  retab	
0xfffffff0087e6070: 7f2303d5  pacibsp	
0xfffffff0087e6074: ff8302d1  sub	sp, sp, #0xa0
0xfffffff0087e6078: f85f06a9  stp	x24, x23, [sp, #0x60]
0xfffffff0087e607c: f65707a9  stp	x22, x21, [sp, #0x70]
0xfffffff0087e6080: f44f08a9  stp	x20, x19, [sp, #0x80]
0xfffffff0087e6084: fd7b09a9  stp	x29, x30, [sp, #0x90]
0xfffffff0087e6088: fd430291  add	x29, sp, #0x90
0xfffffff0087e608c: f40302aa  mov	x20, x2
0xfffffff0087e6090: f50301aa  mov	x21, x1
0xfffffff0087e6094: f30300aa  mov	x19, x0
0xfffffff0087e6098: bff31c38  sturb	wzr, [x29, #-0x31]
0xfffffff0087e609c: 287c1853  lsr	w8, w1, #0x18
0xfffffff0087e60a0: a8b31c38  sturb	w8, [x29, #-0x35]
0xfffffff0087e60a4: 287c1053  lsr	w8, w1, #0x10
0xfffffff0087e60a8: a8c31c38  sturb	w8, [x29, #-0x34]
0xfffffff0087e60ac: 287c0853  lsr	w8, w1, #8
