; Candidate 8347
; ADRP+ADD at VM 0xfffffff0088a526c (fileoff 0x18a126c): page=0x1fe944000 add_imm=0xe80

0xfffffff0088a51ec: 00982191  add	x0, x0, #0x866
0xfffffff0088a51f0: f62300a9  stp	x22, x8, [sp]
0xfffffff0088a51f4: 9b48d497  bl	#0xfffffff007db7460
0xfffffff0088a51f8: 23000014  b	#0xfffffff0088a5284
0xfffffff0088a51fc: 08008052  mov	w8, #0
0xfffffff0088a5200: 03000014  b	#0xfffffff0088a520c
0xfffffff0088a5204: 08008052  mov	w8, #0
0xfffffff0088a5208: b5835af8  ldur	x21, [x29, #-0x58]
0xfffffff0088a520c: 16008052  mov	w22, #0
0xfffffff0088a5210: a80200b9  str	w8, [x21]
0xfffffff0088a5214: 1d000014  b	#0xfffffff0088a5288
0xfffffff0088a5218: e53b0094  bl	#0xfffffff0088b41ac
0xfffffff0088a521c: f60300aa  mov	x22, x0
0xfffffff0088a5220: 80008052  mov	w0, #4
0xfffffff0088a5224: 8b59ff97  bl	#0xfffffff00887b850
0xfffffff0088a5228: 680240b9  ldr	w8, [x19]
0xfffffff0088a522c: f4d704a9  stp	x20, x21, [sp, #0x48]
0xfffffff0088a5230: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff0088a5234: 684cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a5238: 0a110d91  add	x10, x8, #0x344
0xfffffff0088a523c: 085d8052  mov	w8, #0x2e8
0xfffffff0088a5240: 694cffb0  adrp	x9, #0xfffffff007232000
0xfffffff0088a5244: 29d50c91  add	x9, x9, #0x335
0xfffffff0088a5248: e8ab02a9  stp	x8, x10, [sp, #0x28]
0xfffffff0088a524c: 684cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a5250: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a5254: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0088a5258: 680f8052  mov	w8, #0x7b
0xfffffff0088a525c: e34dffb0  adrp	x3, #0xfffffff007262000
0xfffffff0088a5260: 63681091  add	x3, x3, #0x41a
0xfffffff0088a5264: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0088a5268: f60300f9  str	x22, [sp]
0xfffffff0088a526c: 204aff90  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a5270: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a5274: 018bfff0  adrp	x1, #0xfffffff007a08000
0xfffffff0088a5278: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a527c: 02008052  mov	w2, #0
0xfffffff0088a5280: ac37ea97  bl	#0xfffffff008333130
0xfffffff0088a5284: 167d8012  mov	w22, #-0x3e9
0xfffffff0088a5288: 600f8052  mov	w0, #0x7b
0xfffffff0088a528c: e1008052  mov	w1, #7
0xfffffff0088a5290: 5059ff97  bl	#0xfffffff00887b7d0
0xfffffff0088a5294: 00060034  cbz	w0, #0xfffffff0088a5354
0xfffffff0088a5298: 600f8052  mov	w0, #0x7b
0xfffffff0088a529c: 5f59ff97  bl	#0xfffffff00887b818
0xfffffff0088a52a0: f80300aa  mov	x24, x0
0xfffffff0088a52a4: c23b0094  bl	#0xfffffff0088b41ac
0xfffffff0088a52a8: f70300aa  mov	x23, x0
0xfffffff0088a52ac: e0008052  mov	w0, #7
0xfffffff0088a52b0: 6859ff97  bl	#0xfffffff00887b850
0xfffffff0088a52b4: 18020034  cbz	w24, #0xfffffff0088a52f4
0xfffffff0088a52b8: 680240b9  ldr	w8, [x19]
0xfffffff0088a52bc: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0088a52c0: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0088a52c4: 684cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a52c8: 08d50c91  add	x8, x8, #0x335
0xfffffff0088a52cc: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a52d0: 684cffb0  adrp	x8, #0xfffffff007232000
0xfffffff0088a52d4: 08593a91  add	x8, x8, #0xe96
0xfffffff0088a52d8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a52dc: 680f8052  mov	w8, #0x7b
0xfffffff0088a52e0: 604bffb0  adrp	x0, #0xfffffff007212000
0xfffffff0088a52e4: 00c82691  add	x0, x0, #0x9b2
0xfffffff0088a52e8: f72300a9  stp	x23, x8, [sp]
