; Candidate 11071
; ADRP+ADD at VM 0xfffffff008e4995c (fileoff 0x1e4595c): page=0x1fe58a000 add_imm=0xe95

0xfffffff008e498dc: ffc30091  add	sp, sp, #0x30
0xfffffff008e498e0: ff0f5fd6  retab	
0xfffffff008e498e4: 7f2303d5  pacibsp	
0xfffffff008e498e8: ff0301d1  sub	sp, sp, #0x40
0xfffffff008e498ec: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff008e498f0: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff008e498f4: fdc30091  add	x29, sp, #0x30
0xfffffff008e498f8: f40301aa  mov	x20, x1
0xfffffff008e498fc: f30300aa  mov	x19, x0
0xfffffff008e49900: 00008052  mov	w0, #0
0xfffffff008e49904: 68aa4df9  ldr	x8, [x19, #0x1b50]
0xfffffff008e49908: 290840b9  ldr	w9, [x1, #8]
0xfffffff008e4990c: 3f390071  cmp	w9, #0xe
0xfffffff008e49910: 2c030054  b.gt	#0xfffffff008e49974
0xfffffff008e49914: 8a0240f9  ldr	x10, [x20]
0xfffffff008e49918: 6b7a4ef9  ldr	x11, [x19, #0x1cf0]
0xfffffff008e4991c: 6b0940f9  ldr	x11, [x11, #0x10]
0xfffffff008e49920: 6b0540f9  ldr	x11, [x11, #8]
0xfffffff008e49924: 6a010a8b  add	x10, x11, x10
0xfffffff008e49928: 3f090071  cmp	w9, #2
0xfffffff008e4992c: c0040054  b.eq	#0xfffffff008e499c4
0xfffffff008e49930: 3f0d0071  cmp	w9, #3
0xfffffff008e49934: 400e0054  b.eq	#0xfffffff008e49afc
0xfffffff008e49938: 3f110071  cmp	w9, #4
0xfffffff008e4993c: e1180054  b.ne	#0xfffffff008e49c58
0xfffffff008e49940: 890e40b9  ldr	w9, [x20, #0xc]
0xfffffff008e49944: 3f150071  cmp	w9, #5
0xfffffff008e49948: 61180054  b.ne	#0xfffffff008e49c54
0xfffffff008e4994c: e00308aa  mov	x0, x8
0xfffffff008e49950: e10d8052  mov	w1, #0x6f
0xfffffff008e49954: 90dfff97  bl	#0xfffffff008e41794
0xfffffff008e49958: 80180035  cbnz	w0, #0xfffffff008e49c68
0xfffffff008e4995c: 402cffd0  adrp	x0, #0xfffffff0073d3000
0xfffffff008e49960: 00543a91  add	x0, x0, #0xe95
0xfffffff008e49964: af35d497  bl	#0xfffffff008357020
0xfffffff008e49968: 604640f9  ldr	x0, [x19, #0x88]
0xfffffff008e4996c: 1fdc0194  bl	#0xfffffff008ec09e8
0xfffffff008e49970: b9000014  b	#0xfffffff008e49c54
0xfffffff008e49974: 3f590071  cmp	w9, #0x16
0xfffffff008e49978: 00080054  b.eq	#0xfffffff008e49a78
0xfffffff008e4997c: 3f510071  cmp	w9, #0x14
0xfffffff008e49980: 600d0054  b.eq	#0xfffffff008e49b2c
0xfffffff008e49984: 3f3d0071  cmp	w9, #0xf
0xfffffff008e49988: 81160054  b.ne	#0xfffffff008e49c58
0xfffffff008e4998c: 890e40b9  ldr	w9, [x20, #0xc]
0xfffffff008e49990: 3f1d0071  cmp	w9, #7
0xfffffff008e49994: 800f0054  b.eq	#0xfffffff008e49b84
0xfffffff008e49998: 3f190071  cmp	w9, #6
0xfffffff008e4999c: c1150054  b.ne	#0xfffffff008e49c54
0xfffffff008e499a0: e00308aa  mov	x0, x8
0xfffffff008e499a4: a10d8052  mov	w1, #0x6d
0xfffffff008e499a8: 7bdfff97  bl	#0xfffffff008e41794
0xfffffff008e499ac: 00160035  cbnz	w0, #0xfffffff008e49c6c
0xfffffff008e499b0: 881e40b9  ldr	w8, [x20, #0x1c]
0xfffffff008e499b4: e80300f9  str	x8, [sp]
0xfffffff008e499b8: 402cffd0  adrp	x0, #0xfffffff0073d3000
0xfffffff008e499bc: 00a43791  add	x0, x0, #0xde9
0xfffffff008e499c0: 7f000014  b	#0xfffffff008e49bbc
0xfffffff008e499c4: 880e40b9  ldr	w8, [x20, #0xc]
0xfffffff008e499c8: 1f3d0071  cmp	w8, #0xf
0xfffffff008e499cc: 20010054  b.eq	#0xfffffff008e499f0
0xfffffff008e499d0: 1f0d0071  cmp	w8, #3
0xfffffff008e499d4: 01140054  b.ne	#0xfffffff008e49c54
0xfffffff008e499d8: 482cffd0  adrp	x8, #0xfffffff0073d3000
