; Candidate 15298
; ADRP+ADD at VM 0xfffffff009b4b310 (fileoff 0x2b47310): page=0x1fdadd000 add_imm=0xed0

0xfffffff009b4b290: 40000054  b.eq	#0xfffffff009b4b298
0xfffffff009b4b294: 408e38d4  brk	#0xc472
0xfffffff009b4b298: 08a20791  add	x8, x16, #0x1e8
0xfffffff009b4b29c: 09f640f9  ldr	x9, [x16, #0x1e8]
0xfffffff009b4b2a0: e00313aa  mov	x0, x19
0xfffffff009b4b2a4: 010080d2  mov	x1, #0
0xfffffff009b4b2a8: f10308aa  mov	x17, x8
0xfffffff009b4b2ac: 9193e1f2  movk	x17, #0xc9c, lsl #48
0xfffffff009b4b2b0: 31093fd7  blraa	x9, x17
0xfffffff009b4b2b4: f60300aa  mov	x22, x0
0xfffffff009b4b2b8: 700240f9  ldr	x16, [x19]
0xfffffff009b4b2bc: f10313aa  mov	x17, x19
0xfffffff009b4b2c0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4b2c4: 301ac1da  autda	x16, x17
0xfffffff009b4b2c8: f10310aa  mov	x17, x16
0xfffffff009b4b2cc: f147c1da  xpacd	x17
0xfffffff009b4b2d0: 1f0211eb  cmp	x16, x17
0xfffffff009b4b2d4: 40000054  b.eq	#0xfffffff009b4b2dc
0xfffffff009b4b2d8: 408e38d4  brk	#0xc472
0xfffffff009b4b2dc: 08620891  add	x8, x16, #0x218
0xfffffff009b4b2e0: 090e41f9  ldr	x9, [x16, #0x218]
0xfffffff009b4b2e4: e00313aa  mov	x0, x19
0xfffffff009b4b2e8: 010080d2  mov	x1, #0
0xfffffff009b4b2ec: f10308aa  mov	x17, x8
0xfffffff009b4b2f0: 11a8e6f2  movk	x17, #0x3540, lsl #48
0xfffffff009b4b2f4: 31093fd7  blraa	x9, x17
0xfffffff009b4b2f8: e8d6fef0  adrp	x8, #0xfffffff00762a000
0xfffffff009b4b2fc: 08a10491  add	x8, x8, #0x128
0xfffffff009b4b300: e9d6fed0  adrp	x9, #0xfffffff007629000
0xfffffff009b4b304: 29f11f91  add	x9, x9, #0x7fc
0xfffffff009b4b308: e92301a9  stp	x9, x8, [sp, #0x10]
0xfffffff009b4b30c: f60300a9  stp	x22, x0, [sp]
0xfffffff009b4b310: e0d6feb0  adrp	x0, #0xfffffff007628000
0xfffffff009b4b314: 00403b91  add	x0, x0, #0xed0
0xfffffff009b4b318: 03d7fe90  adrp	x3, #0xfffffff00762b000
0xfffffff009b4b31c: 63f83c91  add	x3, x3, #0xf3e
0xfffffff009b4b320: e10315aa  mov	x1, x21
0xfffffff009b4b324: e20314aa  mov	x2, x20
0xfffffff009b4b328: 829f9f97  bl	#0xfffffff008333130
0xfffffff009b4b32c: 688e41f9  ldr	x8, [x19, #0x318]
0xfffffff009b4b330: 09014eb9  ldr	w9, [x8, #0xe00]
0xfffffff009b4b334: c9000036  tbz	w9, #0, #0xfffffff009b4b34c
0xfffffff009b4b338: 09014eb9  ldr	w9, [x8, #0xe00]
0xfffffff009b4b33c: 29791f12  and	w9, w9, #0xfffffffe
0xfffffff009b4b340: 09010eb9  str	w9, [x8, #0xe00]
0xfffffff009b4b344: 40018052  mov	w0, #0xa
0xfffffff009b4b348: 302fa097  bl	#0xfffffff008357008
0xfffffff009b4b34c: 60de40f9  ldr	x0, [x19, #0x1b8]
0xfffffff009b4b350: cc4fff97  bl	#0xfffffff009b1f280
0xfffffff009b4b354: 680cffb0  adrp	x8, #0xfffffff007cd8000
0xfffffff009b4b358: 084945f9  ldr	x8, [x8, #0xa90]
0xfffffff009b4b35c: 09c11891  add	x9, x8, #0x630
0xfffffff009b4b360: 081943f9  ldr	x8, [x8, #0x630]
0xfffffff009b4b364: e00313aa  mov	x0, x19
0xfffffff009b4b368: f10309aa  mov	x17, x9
0xfffffff009b4b36c: f19fe1f2  movk	x17, #0xcff, lsl #48
0xfffffff009b4b370: 11093fd7  blraa	x8, x17
0xfffffff009b4b374: 700240f9  ldr	x16, [x19]
0xfffffff009b4b378: f10313aa  mov	x17, x19
0xfffffff009b4b37c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009b4b380: 301ac1da  autda	x16, x17
0xfffffff009b4b384: f10310aa  mov	x17, x16
0xfffffff009b4b388: f147c1da  xpacd	x17
0xfffffff009b4b38c: 1f0211eb  cmp	x16, x17
