; Candidate 12108
; ADRP+ADD at VM 0xfffffff00900080c (fileoff 0x1ffc80c): page=0x1fe43c000 add_imm=0xea9

0xfffffff00900078c: 488fa852  mov	w8, #0x447a0000
0xfffffff009000790: 0801271e  fmov	s8, w8
0xfffffff009000794: 8006422d  ldp	s0, s1, [x20, #0x10]
0xfffffff009000798: 0008281e  fmul	s0, s0, s8
0xfffffff00900079c: 0800381e  fcvtzs	w8, s0
0xfffffff0090007a0: 2008281e  fmul	s0, s1, s8
0xfffffff0090007a4: 0900381e  fcvtzs	w9, s0
0xfffffff0090007a8: 8086462d  ldp	s0, s1, [x20, #0x34]
0xfffffff0090007ac: 0008281e  fmul	s0, s0, s8
0xfffffff0090007b0: 0a00381e  fcvtzs	w10, s0
0xfffffff0090007b4: 2008281e  fmul	s0, s1, s8
0xfffffff0090007b8: 0b00381e  fcvtzs	w11, s0
0xfffffff0090007bc: 81025a2d  ldp	s1, s0, [x20, #0xd0]
0xfffffff0090007c0: 0008281e  fmul	s0, s0, s8
0xfffffff0090007c4: 0c00381e  fcvtzs	w12, s0
0xfffffff0090007c8: 2008281e  fmul	s0, s1, s8
0xfffffff0090007cc: 0d00381e  fcvtzs	w13, s0
0xfffffff0090007d0: 80064b2d  ldp	s0, s1, [x20, #0x58]
0xfffffff0090007d4: 0008281e  fmul	s0, s0, s8
0xfffffff0090007d8: 0e00381e  fcvtzs	w14, s0
0xfffffff0090007dc: 2008281e  fmul	s0, s1, s8
0xfffffff0090007e0: 0f00381e  fcvtzs	w15, s0
0xfffffff0090007e4: 80064c2d  ldp	s0, s1, [x20, #0x60]
0xfffffff0090007e8: 0008281e  fmul	s0, s0, s8
0xfffffff0090007ec: 1000381e  fcvtzs	w16, s0
0xfffffff0090007f0: 2008281e  fmul	s0, s1, s8
0xfffffff0090007f4: 1100381e  fcvtzs	w17, s0
0xfffffff0090007f8: f0c704a9  stp	x16, x17, [sp, #0x48]
0xfffffff0090007fc: eebf03a9  stp	x14, x15, [sp, #0x38]
0xfffffff009000800: ecb702a9  stp	x12, x13, [sp, #0x28]
0xfffffff009000804: eaaf01a9  stp	x10, x11, [sp, #0x18]
0xfffffff009000808: e8a700a9  stp	x8, x9, [sp, #8]
0xfffffff00900080c: e021ff90  adrp	x0, #0xfffffff00743c000
0xfffffff009000810: 00a43a91  add	x0, x0, #0xea9
0xfffffff009000814: f50300f9  str	x21, [sp]
0xfffffff009000818: 025acd97  bl	#0xfffffff008357020
0xfffffff00900081c: 80064d2d  ldp	s0, s1, [x20, #0x68]
0xfffffff009000820: 0008281e  fmul	s0, s0, s8
0xfffffff009000824: 0800381e  fcvtzs	w8, s0
0xfffffff009000828: 2008281e  fmul	s0, s1, s8
0xfffffff00900082c: 0900381e  fcvtzs	w9, s0
0xfffffff009000830: 80064e2d  ldp	s0, s1, [x20, #0x70]
0xfffffff009000834: 0008281e  fmul	s0, s0, s8
0xfffffff009000838: 0a00381e  fcvtzs	w10, s0
0xfffffff00900083c: 2008281e  fmul	s0, s1, s8
0xfffffff009000840: 0b00381e  fcvtzs	w11, s0
0xfffffff009000844: 8086542d  ldp	s0, s1, [x20, #0xa4]
0xfffffff009000848: 0008281e  fmul	s0, s0, s8
0xfffffff00900084c: 0c00381e  fcvtzs	w12, s0
0xfffffff009000850: 2008281e  fmul	s0, s1, s8
0xfffffff009000854: 0d00381e  fcvtzs	w13, s0
0xfffffff009000858: 8086552d  ldp	s0, s1, [x20, #0xac]
0xfffffff00900085c: 0008281e  fmul	s0, s0, s8
0xfffffff009000860: 0e00381e  fcvtzs	w14, s0
0xfffffff009000864: 2008281e  fmul	s0, s1, s8
0xfffffff009000868: 0f00381e  fcvtzs	w15, s0
0xfffffff00900086c: ee3f03a9  stp	x14, x15, [sp, #0x30]
0xfffffff009000870: ec3702a9  stp	x12, x13, [sp, #0x20]
0xfffffff009000874: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff009000878: e021ff90  adrp	x0, #0xfffffff00743c000
0xfffffff00900087c: 00bc3d91  add	x0, x0, #0xf6f
0xfffffff009000880: e82700a9  stp	x8, x9, [sp]
0xfffffff009000884: e759cd97  bl	#0xfffffff008357020
0xfffffff009000888: 8086562d  ldp	s0, s1, [x20, #0xb4]
