; Candidate 5657
; ADRP+ADD at VM 0xfffffff0087fefa8 (fileoff 0x17fafa8): page=0x1fe9eb000 add_imm=0xe80

0xfffffff0087fef28: e00b00f9  str	x0, [sp, #0x10]
0xfffffff0087fef2c: e80313aa  mov	x8, x19
0xfffffff0087fef30: c050ffd0  adrp	x0, #0xfffffff007218000
0xfffffff0087fef34: 002c0e91  add	x0, x0, #0x38b
0xfffffff0087fef38: f62300a9  stp	x22, x8, [sp]
0xfffffff0087fef3c: 0c000014  b	#0xfffffff0087fef6c
0xfffffff0087fef40: 60040034  cbz	w0, #0xfffffff0087fefcc
0xfffffff0087fef44: e803154b  neg	w8, w21
0xfffffff0087fef48: 28042837  tbnz	w8, #5, #0xfffffff0087fefcc
0xfffffff0087fef4c: 080b4039  ldrb	w8, [x24, #2]
0xfffffff0087fef50: 090f4039  ldrb	w9, [x24, #3]
0xfffffff0087fef54: 0a234079  ldrh	w10, [x24, #0x10]
0xfffffff0087fef58: 0b2b4079  ldrh	w11, [x24, #0x14]
0xfffffff0087fef5c: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff0087fef60: e82700a9  stp	x8, x9, [sp]
0xfffffff0087fef64: c050ffd0  adrp	x0, #0xfffffff007218000
0xfffffff0087fef68: 00040d91  add	x0, x0, #0x341
0xfffffff0087fef6c: 3de1d697  bl	#0xfffffff007db7460
0xfffffff0087fef70: 25000014  b	#0xfffffff0087ff004
0xfffffff0087fef74: 8ed40294  bl	#0xfffffff0088b41ac
0xfffffff0087fef78: f60300aa  mov	x22, x0
0xfffffff0087fef7c: e00314aa  mov	x0, x20
0xfffffff0087fef80: 34f20194  bl	#0xfffffff00887b850
0xfffffff0087fef84: 080b4039  ldrb	w8, [x24, #2]
0xfffffff0087fef88: 090f4039  ldrb	w9, [x24, #3]
0xfffffff0087fef8c: 0a234079  ldrh	w10, [x24, #0x10]
0xfffffff0087fef90: 0b2b4079  ldrh	w11, [x24, #0x14]
0xfffffff0087fef94: eaaf02a9  stp	x10, x11, [sp, #0x28]
0xfffffff0087fef98: e8a701a9  stp	x8, x9, [sp, #0x18]
0xfffffff0087fef9c: e80313aa  mov	x8, x19
0xfffffff0087fefa0: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff0087fefa4: f60300f9  str	x22, [sp]
0xfffffff0087fefa8: 404ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fefac: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fefb0: 4190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087fefb4: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087fefb8: 2352ff90  adrp	x3, #0xfffffff007242000
0xfffffff0087fefbc: 63c82f91  add	x3, x3, #0xbf2
0xfffffff0087fefc0: 02008052  mov	w2, #0
0xfffffff0087fefc4: 5bd0ec97  bl	#0xfffffff008333130
0xfffffff0087fefc8: 0f000014  b	#0xfffffff0087ff004
0xfffffff0087fefcc: 080b4039  ldrb	w8, [x24, #2]
0xfffffff0087fefd0: 090f4039  ldrb	w9, [x24, #3]
0xfffffff0087fefd4: 0a234079  ldrh	w10, [x24, #0x10]
0xfffffff0087fefd8: 0b2b4079  ldrh	w11, [x24, #0x14]
0xfffffff0087fefdc: ea2f01a9  stp	x10, x11, [sp, #0x10]
0xfffffff0087fefe0: e82700a9  stp	x8, x9, [sp]
0xfffffff0087fefe4: 404ffff0  adrp	x0, #0xfffffff0071e9000
0xfffffff0087fefe8: 00003a91  add	x0, x0, #0xe80
0xfffffff0087fefec: 4190ffd0  adrp	x1, #0xfffffff007a08000
0xfffffff0087feff0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0087feff4: 2352ff90  adrp	x3, #0xfffffff007242000
0xfffffff0087feff8: 63a42e91  add	x3, x3, #0xba9
0xfffffff0087feffc: 02008052  mov	w2, #0
0xfffffff0087ff000: 4cd0ec97  bl	#0xfffffff008333130
0xfffffff0087ff004: e00313aa  mov	x0, x19
0xfffffff0087ff008: e10314aa  mov	x1, x20
0xfffffff0087ff00c: f1f10194  bl	#0xfffffff00887b7d0
0xfffffff0087ff010: e0090034  cbz	w0, #0xfffffff0087ff14c
0xfffffff0087ff014: e00313aa  mov	x0, x19
0xfffffff0087ff018: 00f20194  bl	#0xfffffff00887b818
0xfffffff0087ff01c: d502f837  tbnz	w21, #0x1f, #0xfffffff0087ff074
0xfffffff0087ff020: b7021b12  and	w23, w21, #0x20
0xfffffff0087ff024: 1a000052  eor	w26, w0, #1
