; Candidate 3980
; ADRP+ADD at VM 0xfffffff00877e07c (fileoff 0x177a07c): page=0x1fe9b3000 add_imm=0xd90

0xfffffff00877dffc: 600100b5  cbnz	x0, #0xfffffff00877e028
0xfffffff00877e000: c8078052  mov	w8, #0x3e
0xfffffff00877e004: f52300a9  stp	x21, x8, [sp]
0xfffffff00877e008: 804dfff0  adrp	x0, #0xfffffff007131000
0xfffffff00877e00c: 00403691  add	x0, x0, #0xd90
0xfffffff00877e010: e193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00877e014: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877e018: 234effd0  adrp	x3, #0xfffffff007144000
0xfffffff00877e01c: 63503a91  add	x3, x3, #0xe94
0xfffffff00877e020: 02008052  mov	w2, #0
0xfffffff00877e024: 43d4ee97  bl	#0xfffffff008333130
0xfffffff00877e028: 08008952  mov	w8, #0x4800
0xfffffff00877e02c: 889600f9  str	x8, [x20, #0x128]
0xfffffff00877e030: 4094ffb0  adrp	x0, #0xfffffff007a07000
0xfffffff00877e034: 00a01a91  add	x0, x0, #0x6a8
0xfffffff00877e038: 01008452  mov	w1, #0x2000
0xfffffff00877e03c: 2100a072  movk	w1, #1, lsl #16
0xfffffff00877e040: 6463ef97  bl	#0xfffffff008356dd0
0xfffffff00877e044: 809200f9  str	x0, [x20, #0x120]
0xfffffff00877e048: 600100b5  cbnz	x0, #0xfffffff00877e074
0xfffffff00877e04c: a8088052  mov	w8, #0x45
0xfffffff00877e050: f52300a9  stp	x21, x8, [sp]
0xfffffff00877e054: 804dfff0  adrp	x0, #0xfffffff007131000
0xfffffff00877e058: 00403691  add	x0, x0, #0xd90
0xfffffff00877e05c: e193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00877e060: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877e064: 234effd0  adrp	x3, #0xfffffff007144000
0xfffffff00877e068: 631c3b91  add	x3, x3, #0xec7
0xfffffff00877e06c: 02008052  mov	w2, #0
0xfffffff00877e070: 30d4ee97  bl	#0xfffffff008333130
0xfffffff00877e074: 9f622339  strb	wzr, [x20, #0x8d8]
0xfffffff00877e078: f50300f9  str	x21, [sp]
0xfffffff00877e07c: 804dfff0  adrp	x0, #0xfffffff007131000
0xfffffff00877e080: 00403691  add	x0, x0, #0xd90
0xfffffff00877e084: e193fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff00877e088: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff00877e08c: 234effd0  adrp	x3, #0xfffffff007144000
0xfffffff00877e090: 63e83b91  add	x3, x3, #0xefa
0xfffffff00877e094: 02008052  mov	w2, #0
0xfffffff00877e098: 26d4ee97  bl	#0xfffffff008333130
0xfffffff00877e09c: e00314aa  mov	x0, x20
0xfffffff00877e0a0: 0d000094  bl	#0xfffffff00877e0d4
0xfffffff00877e0a4: 28008052  mov	w8, #1
0xfffffff00877e0a8: 88622339  strb	w8, [x20, #0x8d8]
0xfffffff00877e0ac: c9008052  mov	w9, #6
0xfffffff00877e0b0: 89ba05b9  str	w9, [x20, #0x5b8]
0xfffffff00877e0b4: 88321739  strb	w8, [x20, #0x5cc]
0xfffffff00877e0b8: 93de08b9  str	w19, [x20, #0x8dc]
0xfffffff00877e0bc: e00314aa  mov	x0, x20
0xfffffff00877e0c0: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00877e0c4: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00877e0c8: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00877e0cc: ff030191  add	sp, sp, #0x40
0xfffffff00877e0d0: ff0f5fd6  retab	
0xfffffff00877e0d4: 7f2303d5  pacibsp	
0xfffffff00877e0d8: ff8301d1  sub	sp, sp, #0x60
0xfffffff00877e0dc: fa6701a9  stp	x26, x25, [sp, #0x10]
0xfffffff00877e0e0: f85f02a9  stp	x24, x23, [sp, #0x20]
0xfffffff00877e0e4: f65703a9  stp	x22, x21, [sp, #0x30]
0xfffffff00877e0e8: f44f04a9  stp	x20, x19, [sp, #0x40]
0xfffffff00877e0ec: fd7b05a9  stp	x29, x30, [sp, #0x50]
0xfffffff00877e0f0: fd430191  add	x29, sp, #0x50
0xfffffff00877e0f4: f30300aa  mov	x19, x0
0xfffffff00877e0f8: 170080d2  mov	x23, #0
