; Candidate 355
; ADRP+ADD at VM 0xfffffff007eb9dcc (fileoff 0xeb5dcc): page=0x1ff19c000 add_imm=0xddc

0xfffffff007eb9d4c: 652f0094  bl	#0xfffffff007ec5ae0
0xfffffff007eb9d50: 28d2fff0  adrp	x8, #0xfffffff007900000
0xfffffff007eb9d54: 08ed46f9  ldr	x8, [x8, #0xdd8]
0xfffffff007eb9d58: 080008cb  sub	x8, x0, x8
0xfffffff007eb9d5c: 0afd4ed3  lsr	x10, x8, #0xe
0xfffffff007eb9d60: 29d1ff90  adrp	x9, #0xfffffff0078dd000
0xfffffff007eb9d64: 298545f9  ldr	x9, [x9, #0xb08]
0xfffffff007eb9d68: 2a596af8  ldr	x10, [x9, w10, uxtw #3]
0xfffffff007eb9d6c: eb032a2a  mvn	w11, w10
0xfffffff007eb9d70: 7f0540f2  tst	x11, #3
0xfffffff007eb9d74: 21030054  b.ne	#0xfffffff007eb9dd8
0xfffffff007eb9d78: 68008092  mov	x8, #-4
0xfffffff007eb9d7c: e817f0f2  movk	x8, #0x80bf, lsl #48
0xfffffff007eb9d80: 4801088a  and	x8, x10, x8
0xfffffff007eb9d84: 090480d2  mov	x9, #0x20
0xfffffff007eb9d88: 09e8eff2  movk	x9, #0x7f40, lsl #48
0xfffffff007eb9d8c: 086969f8  ldr	x8, [x8, x9]
0xfffffff007eb9d90: 14014079  ldrh	w20, [x8]
0xfffffff007eb9d94: d4030035  cbnz	w20, #0xfffffff007eb9e0c
0xfffffff007eb9d98: fd7b48a9  ldp	x29, x30, [sp, #0x80]
0xfffffff007eb9d9c: f44f47a9  ldp	x20, x19, [sp, #0x70]
0xfffffff007eb9da0: f65746a9  ldp	x22, x21, [sp, #0x60]
0xfffffff007eb9da4: ff430291  add	sp, sp, #0x90
0xfffffff007eb9da8: ff0f5fd6  retab	
0xfffffff007eb9dac: a88cfff0  adrp	x8, #0xfffffff007050000
0xfffffff007eb9db0: 08cd3c91  add	x8, x8, #0xf33
0xfffffff007eb9db4: 69b28252  mov	w9, #0x1593
0xfffffff007eb9db8: e82702a9  stp	x8, x9, [sp, #0x20]
0xfffffff007eb9dbc: e88cff90  adrp	x8, #0xfffffff007055000
0xfffffff007eb9dc0: 08ed3891  add	x8, x8, #0xe3b
0xfffffff007eb9dc4: f30f01a9  stp	x19, x3, [sp, #0x10]
0xfffffff007eb9dc8: e85300a9  stp	x8, x20, [sp]
0xfffffff007eb9dcc: e08cff90  adrp	x0, #0xfffffff007055000
0xfffffff007eb9dd0: 00703791  add	x0, x0, #0xddc
0xfffffff007eb9dd4: ce691794  bl	#0xfffffff00849450c
0xfffffff007eb9dd8: 08b54ed3  ubfx	x8, x8, #0xe, #0x20
0xfffffff007eb9ddc: 287968f8  ldr	x8, [x9, x8, lsl #3]
0xfffffff007eb9de0: 0b7d8052  mov	w11, #0x3e8
0xfffffff007eb9de4: e98cff90  adrp	x9, #0xfffffff007055000
0xfffffff007eb9de8: 29413791  add	x9, x9, #0xdd0
0xfffffff007eb9dec: ea8cff90  adrp	x10, #0xfffffff007055000
0xfffffff007eb9df0: 4ab53d91  add	x10, x10, #0xf6d
0xfffffff007eb9df4: e9af01a9  stp	x9, x11, [sp, #0x18]
0xfffffff007eb9df8: e8d300a9  stp	x8, x20, [sp, #8]
0xfffffff007eb9dfc: ea0300f9  str	x10, [sp]
0xfffffff007eb9e00: e08cff90  adrp	x0, #0xfffffff007055000
0xfffffff007eb9e04: 00003d91  add	x0, x0, #0xf40
0xfffffff007eb9e08: c1691794  bl	#0xfffffff00849450c
0xfffffff007eb9e0c: e00315aa  mov	x0, x21
0xfffffff007eb9e10: 1b2e0094  bl	#0xfffffff007ec567c
0xfffffff007eb9e14: 0c0080d2  mov	x12, #0
0xfffffff007eb9e18: 09008052  mov	w9, #0
0xfffffff007eb9e1c: 08008052  mov	w8, #0
0xfffffff007eb9e20: 0a008052  mov	w10, #0
0xfffffff007eb9e24: 0bc47292  and	x11, x0, #0xffffffffffffc000
0xfffffff007eb9e28: 0d00f0d2  mov	x13, #-0x8000000000000000
0xfffffff007eb9e2c: 06000014  b	#0xfffffff007eb9e44
0xfffffff007eb9e30: 08050011  add	w8, w8, #1
0xfffffff007eb9e34: 4a050011  add	w10, w10, #1
0xfffffff007eb9e38: 8c210091  add	x12, x12, #8
0xfffffff007eb9e3c: 9f114071  cmp	w12, #4, lsl #12
0xfffffff007eb9e40: c0010054  b.eq	#0xfffffff007eb9e78
0xfffffff007eb9e44: 6e696cf8  ldr	x14, [x11, x12]
0xfffffff007eb9e48: cf094192  and	x15, x14, #0x8000000000000003
