; Candidate 8072
; ADRP+ADD at VM 0xfffffff008892b64 (fileoff 0x188eb64): page=0x1fe957000 add_imm=0xe80

0xfffffff008892ae4: 4da3ff97  bl	#0xfffffff00887b818
0xfffffff008892ae8: f70300aa  mov	x23, x0
0xfffffff008892aec: b0850094  bl	#0xfffffff0088b41ac
0xfffffff008892af0: f60300aa  mov	x22, x0
0xfffffff008892af4: 80008052  mov	w0, #4
0xfffffff008892af8: 56a3ff97  bl	#0xfffffff00887b850
0xfffffff008892afc: 77190034  cbz	w23, #0xfffffff008892e28
0xfffffff008892b00: e80315aa  mov	x8, x21
0xfffffff008892b04: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008892b08: e8430291  add	x8, sp, #0x90
0xfffffff008892b0c: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008892b10: e84bffd0  adrp	x8, #0xfffffff007210000
0xfffffff008892b14: 08b92791  add	x8, x8, #0x9ee
0xfffffff008892b18: 09a58052  mov	w9, #0x528
0xfffffff008892b1c: 93feff17  b	#0xfffffff008892568
0xfffffff008892b20: a3850094  bl	#0xfffffff0088b41ac
0xfffffff008892b24: f60300aa  mov	x22, x0
0xfffffff008892b28: 80008052  mov	w0, #4
0xfffffff008892b2c: 49a3ff97  bl	#0xfffffff00887b850
0xfffffff008892b30: e80315aa  mov	x8, x21
0xfffffff008892b34: f32304a9  stp	x19, x8, [sp, #0x40]
0xfffffff008892b38: e8430291  add	x8, sp, #0x90
0xfffffff008892b3c: e87303a9  stp	x8, x28, [sp, #0x30]
0xfffffff008892b40: e84bffd0  adrp	x8, #0xfffffff007210000
0xfffffff008892b44: 08b92791  add	x8, x8, #0x9ee
0xfffffff008892b48: a9a78052  mov	w9, #0x53d
0xfffffff008892b4c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008892b50: e84cffb0  adrp	x8, #0xfffffff00722f000
0xfffffff008892b54: 08611691  add	x8, x8, #0x598
0xfffffff008892b58: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008892b5c: 88098052  mov	w8, #0x4c
0xfffffff008892b60: f62300a9  stp	x22, x8, [sp]
0xfffffff008892b64: a04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008892b68: 00003a91  add	x0, x0, #0xe80
0xfffffff008892b6c: a18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008892b70: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008892b74: 634eff90  adrp	x3, #0xfffffff00725e000
0xfffffff008892b78: 63ec3391  add	x3, x3, #0xcfb
0xfffffff008892b7c: 02008052  mov	w2, #0
0xfffffff008892b80: 6c81ea97  bl	#0xfffffff008333130
0xfffffff008892b84: fb3f40f9  ldr	x27, [sp, #0x78]
0xfffffff008892b88: e04740f9  ldr	x0, [sp, #0x88]
0xfffffff008892b8c: e1031baa  mov	x1, x27
0xfffffff008892b90: 6d010094  bl	#0xfffffff008893144
0xfffffff008892b94: a8035af8  ldur	x8, [x29, #-0x60]
0xfffffff008892b98: a98bffd0  adrp	x9, #0xfffffff007a08000
0xfffffff008892b9c: 292942f9  ldr	x9, [x9, #0x450]
0xfffffff008892ba0: 290140f9  ldr	x9, [x9]
0xfffffff008892ba4: 3f0108eb  cmp	x9, x8
0xfffffff008892ba8: c12c0054  b.ne	#0xfffffff008893140
0xfffffff008892bac: e00315aa  mov	x0, x21
0xfffffff008892bb0: fd7b53a9  ldp	x29, x30, [sp, #0x130]
0xfffffff008892bb4: f44f52a9  ldp	x20, x19, [sp, #0x120]
0xfffffff008892bb8: f65751a9  ldp	x22, x21, [sp, #0x110]
0xfffffff008892bbc: f85f50a9  ldp	x24, x23, [sp, #0x100]
0xfffffff008892bc0: fa674fa9  ldp	x26, x25, [sp, #0xf0]
0xfffffff008892bc4: fc6f4ea9  ldp	x28, x27, [sp, #0xe0]
0xfffffff008892bc8: ff030591  add	sp, sp, #0x140
0xfffffff008892bcc: ff0f5fd6  retab	
0xfffffff008892bd0: 77850094  bl	#0xfffffff0088b41ac
0xfffffff008892bd4: f60300aa  mov	x22, x0
0xfffffff008892bd8: 80008052  mov	w0, #4
0xfffffff008892bdc: 1da3ff97  bl	#0xfffffff00887b850
0xfffffff008892be0: e80315aa  mov	x8, x21
