; Candidate 1383
; ADRP+ADD at VM 0xfffffff00838dd3c (fileoff 0x1389d3c): page=0x1e8b000 add_imm=0xdf0

0xfffffff00838dcbc: 77420191  add	x23, x19, #0x50
0xfffffff00838dcc0: 04000014  b	#0xfffffff00838dcd0
0xfffffff00838dcc4: e10318aa  mov	x1, x24
0xfffffff00838dcc8: bf0218eb  cmp	x21, x24
0xfffffff00838dccc: a0020054  b.eq	#0xfffffff00838dd20
0xfffffff00838dcd0: 380840f9  ldr	x24, [x1, #0x10]
0xfffffff00838dcd4: 283c40b9  ldr	w8, [x1, #0x3c]
0xfffffff00838dcd8: 68ffff35  cbnz	w8, #0xfffffff00838dcc4
0xfffffff00838dcdc: 280c40f9  ldr	x8, [x1, #0x18]
0xfffffff00838dce0: 09630091  add	x9, x24, #0x18
0xfffffff00838dce4: bf0218eb  cmp	x21, x24
0xfffffff00838dce8: e902899a  csel	x9, x23, x9, eq
0xfffffff00838dcec: 280100f9  str	x8, [x9]
0xfffffff00838dcf0: 09410091  add	x9, x8, #0x10
0xfffffff00838dcf4: bf0208eb  cmp	x21, x8
0xfffffff00838dcf8: a802899a  csel	x8, x21, x9, eq
0xfffffff00838dcfc: 180100f9  str	x24, [x8]
0xfffffff00838dd00: 3f7c01a9  stp	xzr, xzr, [x1, #0x10]
0xfffffff00838dd04: 201040f9  ldr	x0, [x1, #0x20]
0xfffffff00838dd08: e20313aa  mov	x2, x19
0xfffffff00838dd0c: b19597d2  mov	x17, #0xbcad
0xfffffff00838dd10: 910a3fd7  blraa	x20, x17
0xfffffff00838dd14: d602002a  orr	w22, w22, w0
0xfffffff00838dd18: ebffff17  b	#0xfffffff00838dcc4
0xfffffff00838dd1c: 16008052  mov	w22, #0
0xfffffff00838dd20: c0020012  and	w0, w22, #1
0xfffffff00838dd24: fd7b43a9  ldp	x29, x30, [sp, #0x30]
0xfffffff00838dd28: f44f42a9  ldp	x20, x19, [sp, #0x20]
0xfffffff00838dd2c: f65741a9  ldp	x22, x21, [sp, #0x10]
0xfffffff00838dd30: f85fc4a8  ldp	x24, x23, [sp], #0x40
0xfffffff00838dd34: ff0f5fd6  retab	
0xfffffff00838dd38: 5f2403d5  bti	c
0xfffffff00838dd3c: 40f400f0  adrp	x0, #0xfffffff00a218000
0xfffffff00838dd40: 00c03791  add	x0, x0, #0xdf0
0xfffffff00838dd44: c0035fd6  ret	
0xfffffff00838dd48: 5f2403d5  bti	c
0xfffffff00838dd4c: e10300aa  mov	x1, x0
0xfffffff00838dd50: 08008092  mov	x8, #-1
0xfffffff00838dd54: 080000f9  str	x8, [x0]
0xfffffff00838dd58: 80afffb0  adrp	x0, #0xfffffff00797e000
0xfffffff00838dd5c: 00c03a91  add	x0, x0, #0xeb0
0xfffffff00838dd60: 020b8052  mov	w2, #0x58
0xfffffff00838dd64: 4e66fd17  b	#0xfffffff0082e769c
0xfffffff00838dd68: 5f2403d5  bti	c
0xfffffff00838dd6c: 08008092  mov	x8, #-1
0xfffffff00838dd70: 080000f9  str	x8, [x0]
0xfffffff00838dd74: c0035fd6  ret	
0xfffffff00838dd78: 7f2303d5  pacibsp	
0xfffffff00838dd7c: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff00838dd80: fd030091  mov	x29, sp
0xfffffff00838dd84: 88afffb0  adrp	x8, #0xfffffff00797e000
0xfffffff00838dd88: 08dd4eb9  ldr	w8, [x8, #0xedc]
0xfffffff00838dd8c: 08511d12  and	w8, w8, #0xfffff8
0xfffffff00838dd90: 1f610171  cmp	w8, #0x58
0xfffffff00838dd94: 22010054  b.hs	#0xfffffff00838ddb8
0xfffffff00838dd98: 00adff90  adrp	x0, #0xfffffff00792d000
0xfffffff00838dd9c: 00c01c91  add	x0, x0, #0x730
0xfffffff00838dda0: 010b8052  mov	w1, #0x58
0xfffffff00838dda4: 82008252  mov	w2, #0x1004
0xfffffff00838dda8: 8200a072  movk	w2, #4, lsl #16
0xfffffff00838ddac: 030080d2  mov	x3, #0
0xfffffff00838ddb0: d461e897  bl	#0xfffffff007da6500
0xfffffff00838ddb4: 05000014  b	#0xfffffff00838ddc8
0xfffffff00838ddb8: 80afffb0  adrp	x0, #0xfffffff00797e000
