; Candidate 14565
; ADRP+ADD at VM 0xfffffff009857bac (fileoff 0x2853bac): page=0x1fe405000 add_imm=0xd10

0xfffffff009857b2c: 10421291  add	x16, x16, #0x490
0xfffffff009857b30: 10420091  add	x16, x16, #0x10
0xfffffff009857b34: f10300aa  mov	x17, x0
0xfffffff009857b38: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009857b3c: 300ac1da  pacda	x16, x17
0xfffffff009857b40: 100000f9  str	x16, [x0]
0xfffffff009857b44: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009857b48: ff0f5fd6  retab	
0xfffffff009857b4c: 5f2403d5  bti	c
0xfffffff009857b50: 7f3eaa17  b	#0xfffffff0082e754c
0xfffffff009857b54: 5f2403d5  bti	c
0xfffffff009857b58: 7d3eaa17  b	#0xfffffff0082e754c
0xfffffff009857b5c: 7f2303d5  pacibsp	
0xfffffff009857b60: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009857b64: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009857b68: fd430091  add	x29, sp, #0x10
0xfffffff009857b6c: f30300aa  mov	x19, x0
0xfffffff009857b70: 773eaa97  bl	#0xfffffff0082e754c
0xfffffff009857b74: 2020ffb0  adrp	x0, #0xfffffff007c5c000
0xfffffff009857b78: 00403491  add	x0, x0, #0xd10
0xfffffff009857b7c: e10313aa  mov	x1, x19
0xfffffff009857b80: 02058052  mov	w2, #0x28
0xfffffff009857b84: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009857b88: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009857b8c: ff2303d5  autibsp	
0xfffffff009857b90: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff009857b94: 5000f0b6  tbz	x16, #0x3e, #0xfffffff009857b9c
0xfffffff009857b98: 208e38d4  brk	#0xc471
0xfffffff009857b9c: c03eaa17  b	#0xfffffff0082e769c
0xfffffff009857ba0: 5f2403d5  bti	c
0xfffffff009857ba4: e20301aa  mov	x2, x1
0xfffffff009857ba8: e10300aa  mov	x1, x0
0xfffffff009857bac: 2020ffb0  adrp	x0, #0xfffffff007c5c000
0xfffffff009857bb0: 00403491  add	x0, x0, #0xd10
0xfffffff009857bb4: ba3eaa17  b	#0xfffffff0082e769c
0xfffffff009857bb8: 5f2403d5  bti	c
0xfffffff009857bbc: e0590090  adrp	x0, #0xfffffff00a393000
0xfffffff009857bc0: 00a01591  add	x0, x0, #0x568
0xfffffff009857bc4: c0035fd6  ret	
0xfffffff009857bc8: 7f2303d5  pacibsp	
0xfffffff009857bcc: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff009857bd0: fd030091  mov	x29, sp
0xfffffff009857bd4: 21ebfef0  adrp	x1, #0xfffffff0075be000
0xfffffff009857bd8: 21281791  add	x1, x1, #0x5ca
0xfffffff009857bdc: c21fff90  adrp	x2, #0xfffffff007c4f000
0xfffffff009857be0: 422044f9  ldr	x2, [x2, #0x840]
0xfffffff009857be4: 03058052  mov	w3, #0x28
0xfffffff009857be8: d42faa97  bl	#0xfffffff0082e3b38
0xfffffff009857bec: 1020ffb0  adrp	x16, #0xfffffff007c58000
0xfffffff009857bf0: 10821591  add	x16, x16, #0x560
0xfffffff009857bf4: 10420091  add	x16, x16, #0x10
0xfffffff009857bf8: f10300aa  mov	x17, x0
0xfffffff009857bfc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009857c00: 300ac1da  pacda	x16, x17
0xfffffff009857c04: 100000f9  str	x16, [x0]
0xfffffff009857c08: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff009857c0c: ff0f5fd6  retab	
0xfffffff009857c10: 7f2303d5  pacibsp	
0xfffffff009857c14: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff009857c18: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff009857c1c: fd430091  add	x29, sp, #0x10
0xfffffff009857c20: 2020ffb0  adrp	x0, #0xfffffff007c5c000
0xfffffff009857c24: 00403491  add	x0, x0, #0xd10
0xfffffff009857c28: 01058052  mov	w1, #0x28
