; Candidate 5809
; ADRP+ADD at VM 0xfffffff008805d30 (fileoff 0x1801d30): page=0x1fea0e000 add_imm=0xe0f

0xfffffff008805cb0: 08e11691  add	x8, x8, #0x5b8
0xfffffff008805cb4: e83300f9  str	x8, [sp, #0x60]
0xfffffff008805cb8: 08244491  add	x8, x0, #0x109, lsl #12
0xfffffff008805cbc: 1bf13f91  add	x27, x8, #0xffc
0xfffffff008805cc0: 08c84391  add	x8, x0, #0xf2, lsl #12
0xfffffff008805cc4: 1a211f91  add	x26, x8, #0x7c8
0xfffffff008805cc8: 08b84391  add	x8, x0, #0xee, lsl #12
0xfffffff008805ccc: 15913091  add	x21, x8, #0xc24
0xfffffff008805cd0: 800e8052  mov	w0, #0x74
0xfffffff008805cd4: e1008052  mov	w1, #7
0xfffffff008805cd8: bed60194  bl	#0xfffffff00887b7d0
0xfffffff008805cdc: 20060034  cbz	w0, #0xfffffff008805da0
0xfffffff008805ce0: bb831af8  stur	x27, [x29, #-0x58]
0xfffffff008805ce4: fb0318aa  mov	x27, x24
0xfffffff008805ce8: f8031caa  mov	x24, x28
0xfffffff008805cec: fc0316aa  mov	x28, x22
0xfffffff008805cf0: f60319aa  mov	x22, x25
0xfffffff008805cf4: f90315aa  mov	x25, x21
0xfffffff008805cf8: 800e8052  mov	w0, #0x74
0xfffffff008805cfc: c7d60194  bl	#0xfffffff00887b818
0xfffffff008805d00: f50300aa  mov	x21, x0
0xfffffff008805d04: 2ab90294  bl	#0xfffffff0088b41ac
0xfffffff008805d08: f40300aa  mov	x20, x0
0xfffffff008805d0c: e0008052  mov	w0, #7
0xfffffff008805d10: d0d60194  bl	#0xfffffff00887b850
0xfffffff008805d14: 75010034  cbz	w21, #0xfffffff008805d40
0xfffffff008805d18: a850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff008805d1c: 08690891  add	x8, x8, #0x21a
0xfffffff008805d20: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008805d24: 880e8052  mov	w8, #0x74
0xfffffff008805d28: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008805d2c: f40300f9  str	x20, [sp]
0xfffffff008805d30: 6050ffd0  adrp	x0, #0xfffffff007213000
0xfffffff008805d34: 003c3891  add	x0, x0, #0xe0f
0xfffffff008805d38: cac5d697  bl	#0xfffffff007db7460
0xfffffff008805d3c: 13000014  b	#0xfffffff008805d88
0xfffffff008805d40: 1bb90294  bl	#0xfffffff0088b41ac
0xfffffff008805d44: f40300aa  mov	x20, x0
0xfffffff008805d48: e0008052  mov	w0, #7
0xfffffff008805d4c: c1d60194  bl	#0xfffffff00887b850
0xfffffff008805d50: a850ffb0  adrp	x8, #0xfffffff00721a000
0xfffffff008805d54: 08690891  add	x8, x8, #0x21a
0xfffffff008805d58: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff008805d5c: 880e8052  mov	w8, #0x74
0xfffffff008805d60: e88300a9  stp	x8, x0, [sp, #8]
0xfffffff008805d64: f40300f9  str	x20, [sp]
0xfffffff008805d68: 204fff90  adrp	x0, #0xfffffff0071e9000
0xfffffff008805d6c: 00003a91  add	x0, x0, #0xe80
0xfffffff008805d70: 0190fff0  adrp	x1, #0xfffffff007a08000
0xfffffff008805d74: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008805d78: 0352ff90  adrp	x3, #0xfffffff007245000
0xfffffff008805d7c: 63840391  add	x3, x3, #0xe1
0xfffffff008805d80: 02008052  mov	w2, #0
0xfffffff008805d84: ebb4ec97  bl	#0xfffffff008333130
0xfffffff008805d88: f50319aa  mov	x21, x25
0xfffffff008805d8c: f90316aa  mov	x25, x22
0xfffffff008805d90: f6031caa  mov	x22, x28
0xfffffff008805d94: fc0318aa  mov	x28, x24
0xfffffff008805d98: f8031baa  mov	x24, x27
0xfffffff008805d9c: bb835af8  ldur	x27, [x29, #-0x58]
0xfffffff008805da0: 68ce4491  add	x8, x19, #0x133, lsl #12
0xfffffff008805da4: 08211791  add	x8, x8, #0x5c8
0xfffffff008805da8: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff008805dac: e00313aa  mov	x0, x19
