; Candidate 363
; ADRP+ADD at VM 0xfffffff007ebd3b0 (fileoff 0xeb93b0): page=0x1ff194000 add_imm=0xdf7

0xfffffff007ebd330: 66090094  bl	#0xfffffff007ebf8c8
0xfffffff007ebd334: 9ae30079  strh	w26, [x28, #0x70]
0xfffffff007ebd338: 80fdffb4  cbz	x0, #0xfffffff007ebd2e8
0xfffffff007ebd33c: 21008052  mov	w1, #1
0xfffffff007ebd340: 6a85fa97  bl	#0xfffffff007d5e8e8
0xfffffff007ebd344: e9ffff17  b	#0xfffffff007ebd2e8
0xfffffff007ebd348: e00314aa  mov	x0, x20
0xfffffff007ebd34c: 250b0094  bl	#0xfffffff007ebffe0
0xfffffff007ebd350: fa010035  cbnz	w26, #0xfffffff007ebd38c
0xfffffff007ebd354: b5124091  add	x21, x21, #4, lsl #12
0xfffffff007ebd358: 73124091  add	x19, x19, #4, lsl #12
0xfffffff007ebd35c: 7b070011  add	w27, w27, #1
0xfffffff007ebd360: 7f03166b  cmp	w27, w22
0xfffffff007ebd364: 21fcff54  b.ne	#0xfffffff007ebd2e8
0xfffffff007ebd368: 00008052  mov	w0, #0
0xfffffff007ebd36c: fd7b4aa9  ldp	x29, x30, [sp, #0xa0]
0xfffffff007ebd370: f44f49a9  ldp	x20, x19, [sp, #0x90]
0xfffffff007ebd374: f65748a9  ldp	x22, x21, [sp, #0x80]
0xfffffff007ebd378: f85f47a9  ldp	x24, x23, [sp, #0x70]
0xfffffff007ebd37c: fa6746a9  ldp	x26, x25, [sp, #0x60]
0xfffffff007ebd380: fc6f45a9  ldp	x28, x27, [sp, #0x50]
0xfffffff007ebd384: ffc30291  add	sp, sp, #0xb0
0xfffffff007ebd388: ff0f5fd6  retab	
0xfffffff007ebd38c: c9eb8352  mov	w9, #0x1f5e
0xfffffff007ebd390: 888cfff0  adrp	x8, #0xfffffff007050000
0xfffffff007ebd394: 08cd3c91  add	x8, x8, #0xf33
0xfffffff007ebd398: e8a703a9  stp	x8, x9, [sp, #0x38]
0xfffffff007ebd39c: f8df02a9  stp	x24, x23, [sp, #0x28]
0xfffffff007ebd3a0: f3db01a9  stp	x19, x22, [sp, #0x18]
0xfffffff007ebd3a4: a88cff90  adrp	x8, #0xfffffff007051000
0xfffffff007ebd3a8: 084d3991  add	x8, x8, #0xe53
0xfffffff007ebd3ac: f4d700a9  stp	x20, x21, [sp, #8]
0xfffffff007ebd3b0: a08cff90  adrp	x0, #0xfffffff007051000
0xfffffff007ebd3b4: 00dc3791  add	x0, x0, #0xdf7
0xfffffff007ebd3b8: e80300f9  str	x8, [sp]
0xfffffff007ebd3bc: 545c1794  bl	#0xfffffff00849450c
0xfffffff007ebd3c0: 7f2303d5  pacibsp	
0xfffffff007ebd3c4: ffc301d1  sub	sp, sp, #0x70
0xfffffff007ebd3c8: fc6f01a9  stp	x28, x27, [sp, #0x10]
0xfffffff007ebd3cc: fa6702a9  stp	x26, x25, [sp, #0x20]
0xfffffff007ebd3d0: f85f03a9  stp	x24, x23, [sp, #0x30]
0xfffffff007ebd3d4: f65704a9  stp	x22, x21, [sp, #0x40]
0xfffffff007ebd3d8: f44f05a9  stp	x20, x19, [sp, #0x50]
0xfffffff007ebd3dc: fd7b06a9  stp	x29, x30, [sp, #0x60]
0xfffffff007ebd3e0: fd830191  add	x29, sp, #0x60
0xfffffff007ebd3e4: f50306aa  mov	x21, x6
0xfffffff007ebd3e8: f60305aa  mov	x22, x5
0xfffffff007ebd3ec: f70304aa  mov	x23, x4
0xfffffff007ebd3f0: f80303aa  mov	x24, x3
0xfffffff007ebd3f4: f90302aa  mov	x25, x2
0xfffffff007ebd3f8: fa0301aa  mov	x26, x1
0xfffffff007ebd3fc: f30300aa  mov	x19, x0
0xfffffff007ebd400: e8000012  and	w8, w7, #1
0xfffffff007ebd404: e81f0129  stp	w8, w7, [sp, #8]
0xfffffff007ebd408: 94d038d5  mrs	x20, tpidr_el1
0xfffffff007ebd40c: fc000032  orr	w28, w7, #1
0xfffffff007ebd410: 03000014  b	#0xfffffff007ebd41c
0xfffffff007ebd414: e80f40b9  ldr	w8, [sp, #0xc]
0xfffffff007ebd418: 28030037  tbnz	w8, #0, #0xfffffff007ebd47c
0xfffffff007ebd41c: e00313aa  mov	x0, x19
0xfffffff007ebd420: e1031aaa  mov	x1, x26
0xfffffff007ebd424: e20319aa  mov	x2, x25
0xfffffff007ebd428: e30318aa  mov	x3, x24
0xfffffff007ebd42c: e40317aa  mov	x4, x23
