; Candidate 9873
; ADRP+ADD at VM 0xfffffff008b6ded4 (fileoff 0x1b69ed4): page=0x1777000 add_imm=0xdc8

0xfffffff008b6de54: ff4301d1  sub	sp, sp, #0x50
0xfffffff008b6de58: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff008b6de5c: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff008b6de60: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff008b6de64: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff008b6de68: fd030191  add	x29, sp, #0x40
0xfffffff008b6de6c: f60304aa  mov	x22, x4
0xfffffff008b6de70: f50301aa  mov	x21, x1
0xfffffff008b6de74: f40300aa  mov	x20, x0
0xfffffff008b6de78: 33588052  mov	w19, #0x2c1
0xfffffff008b6de7c: 1300bc72  movk	w19, #0xe000, lsl #16
0xfffffff008b6de80: e13dfff0  adrp	x1, #0xfffffff00732c000
0xfffffff008b6de84: 21682591  add	x1, x1, #0x95a
0xfffffff008b6de88: e00315aa  mov	x0, x21
0xfffffff008b6de8c: cd4be297  bl	#0xfffffff008400dc0
0xfffffff008b6de90: c00a00b4  cbz	x0, #0xfffffff008b6dfe8
0xfffffff008b6de94: f70300aa  mov	x23, x0
0xfffffff008b6de98: 0879ff90  adrp	x8, #0xfffffff007a8d000
0xfffffff008b6de9c: 08b941f9  ldr	x8, [x8, #0x370]
0xfffffff008b6dea0: 080140f9  ldr	x8, [x8]
0xfffffff008b6dea4: 180140f9  ldr	x24, [x8]
0xfffffff008b6dea8: 100040f9  ldr	x16, [x0]
0xfffffff008b6deac: f10300aa  mov	x17, x0
0xfffffff008b6deb0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b6deb4: 301ac1da  autda	x16, x17
0xfffffff008b6deb8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff008b6debc: e90310aa  mov	x9, x16
0xfffffff008b6dec0: f10309aa  mov	x17, x9
0xfffffff008b6dec4: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff008b6dec8: 11093fd7  blraa	x8, x17
0xfffffff008b6decc: ff0218eb  cmp	x23, x24
0xfffffff008b6ded0: c1080054  b.ne	#0xfffffff008b6dfe8
0xfffffff008b6ded4: a0bb00f0  adrp	x0, #0xfffffff00a2e4000
0xfffffff008b6ded8: 00203791  add	x0, x0, #0xdc8
0xfffffff008b6dedc: 100040f9  ldr	x16, [x0]
0xfffffff008b6dee0: f10300aa  mov	x17, x0
0xfffffff008b6dee4: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b6dee8: 301ac1da  autda	x16, x17
0xfffffff008b6deec: 088e46f8  ldr	x8, [x16, #0x68]!
0xfffffff008b6def0: e90310aa  mov	x9, x16
0xfffffff008b6def4: f10309aa  mov	x17, x9
0xfffffff008b6def8: 31c0e2f2  movk	x17, #0x1601, lsl #48
0xfffffff008b6defc: 11093fd7  blraa	x8, x17
0xfffffff008b6df00: e00500b4  cbz	x0, #0xfffffff008b6dfbc
0xfffffff008b6df04: f70300aa  mov	x23, x0
0xfffffff008b6df08: 100040f9  ldr	x16, [x0]
0xfffffff008b6df0c: f10300aa  mov	x17, x0
0xfffffff008b6df10: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b6df14: 301ac1da  autda	x16, x17
0xfffffff008b6df18: 088e4af8  ldr	x8, [x16, #0xa8]!
0xfffffff008b6df1c: e90310aa  mov	x9, x16
0xfffffff008b6df20: 010080d2  mov	x1, #0
0xfffffff008b6df24: f10309aa  mov	x17, x9
0xfffffff008b6df28: 5175e8f2  movk	x17, #0x43aa, lsl #48
0xfffffff008b6df2c: 11093fd7  blraa	x8, x17
0xfffffff008b6df30: 00040034  cbz	w0, #0xfffffff008b6dfb0
0xfffffff008b6df34: f00240f9  ldr	x16, [x23]
0xfffffff008b6df38: f10317aa  mov	x17, x23
0xfffffff008b6df3c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008b6df40: 301ac1da  autda	x16, x17
0xfffffff008b6df44: 116c80d2  mov	x17, #0x360
0xfffffff008b6df48: 1002118b  add	x16, x16, x17
0xfffffff008b6df4c: 080240f9  ldr	x8, [x16]
0xfffffff008b6df50: e90310aa  mov	x9, x16
