; Candidate 4544
; ADRP+ADD at VM 0xfffffff0087ba21c (fileoff 0x17b621c): page=0x1fe977000 add_imm=0xd90

0xfffffff0087ba19c: 08000014  b	#0xfffffff0087ba1bc
0xfffffff0087ba1a0: 214dff90  adrp	x1, #0xfffffff00715e000
0xfffffff0087ba1a4: 21b02491  add	x1, x1, #0x92c
0xfffffff0087ba1a8: e00313aa  mov	x0, x19
0xfffffff0087ba1ac: 22008052  mov	w2, #1
0xfffffff0087ba1b0: 44040094  bl	#0xfffffff0087bb2c0
0xfffffff0087ba1b4: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff0087ba1b8: 208900b9  str	w0, [x9, #0x88]
0xfffffff0087ba1bc: 288940b9  ldr	w8, [x9, #0x88]
0xfffffff0087ba1c0: 2a3d40f9  ldr	x10, [x9, #0x78]
0xfffffff0087ba1c4: 48ed03b9  str	w8, [x10, #0x3ec]
0xfffffff0087ba1c8: 284540b9  ldr	w8, [x9, #0x44]
0xfffffff0087ba1cc: 1f0d0071  cmp	w8, #3
0xfffffff0087ba1d0: 80000054  b.eq	#0xfffffff0087ba1e0
0xfffffff0087ba1d4: a8000035  cbnz	w8, #0xfffffff0087ba1e8
0xfffffff0087ba1d8: 288540b9  ldr	w8, [x9, #0x84]
0xfffffff0087ba1dc: 68000034  cbz	w8, #0xfffffff0087ba1e8
0xfffffff0087ba1e0: 28008052  mov	w8, #1
0xfffffff0087ba1e4: 09000014  b	#0xfffffff0087ba208
0xfffffff0087ba1e8: a14cffd0  adrp	x1, #0xfffffff007150000
0xfffffff0087ba1ec: 21e00791  add	x1, x1, #0x1f8
0xfffffff0087ba1f0: e00313aa  mov	x0, x19
0xfffffff0087ba1f4: 22008052  mov	w2, #1
0xfffffff0087ba1f8: 32040094  bl	#0xfffffff0087bb2c0
0xfffffff0087ba1fc: 1f000071  cmp	w0, #0
0xfffffff0087ba200: e8079f1a  cset	w8, ne
0xfffffff0087ba204: 693240f9  ldr	x9, [x19, #0x60]
0xfffffff0087ba208: 28310239  strb	w8, [x9, #0x8c]
0xfffffff0087ba20c: 4cfcff17  b	#0xfffffff0087b933c
0xfffffff0087ba210: a84cffd0  adrp	x8, #0xfffffff007150000
0xfffffff0087ba214: 08f90591  add	x8, x8, #0x17e
0xfffffff0087ba218: e86700a9  stp	x8, x25, [sp]
0xfffffff0087ba21c: a04bfff0  adrp	x0, #0xfffffff007131000
0xfffffff0087ba220: 00403691  add	x0, x0, #0xd90
0xfffffff0087ba224: 0192fff0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087ba228: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087ba22c: 834cffd0  adrp	x3, #0xfffffff00714c000
0xfffffff0087ba230: 63783b91  add	x3, x3, #0xede
0xfffffff0087ba234: 02008052  mov	w2, #0
0xfffffff0087ba238: bee3ed97  bl	#0xfffffff008333130
0xfffffff0087ba23c: 68fcff17  b	#0xfffffff0087b93dc
0xfffffff0087ba240: 692e40f9  ldr	x9, [x19, #0x58]
0xfffffff0087ba244: a5fcff17  b	#0xfffffff0087b94d8
0xfffffff0087ba248: 09215a39  ldrb	w9, [x8, #0x688]
0xfffffff0087ba24c: 0909098b  add	x9, x8, x9, lsl #2
0xfffffff0087ba250: 2a0540b9  ldr	w10, [x9, #4]
0xfffffff0087ba254: 1f000a6b  cmp	w0, w10
0xfffffff0087ba258: 218cff54  b.ne	#0xfffffff0087b93dc
0xfffffff0087ba25c: 292540b9  ldr	w9, [x9, #0x24]
0xfffffff0087ba260: 49f0ff35  cbnz	w9, #0xfffffff0087ba068
0xfffffff0087ba264: 5efcff17  b	#0xfffffff0087b93dc
0xfffffff0087ba268: 08415a39  ldrb	w8, [x8, #0x690]
0xfffffff0087ba26c: 88d8ff34  cbz	w8, #0xfffffff0087b9d7c
0xfffffff0087ba270: e00313aa  mov	x0, x19
0xfffffff0087ba274: 89070094  bl	#0xfffffff0087bc098
0xfffffff0087ba278: 1f040031  cmn	w0, #1
0xfffffff0087ba27c: f81740f9  ldr	x24, [sp, #0x28]
0xfffffff0087ba280: 607f0054  b.eq	#0xfffffff0087bb26c
0xfffffff0087ba284: 683240f9  ldr	x8, [x19, #0x60]
0xfffffff0087ba288: 09514239  ldrb	w9, [x8, #0x94]
0xfffffff0087ba28c: a9030034  cbz	w9, #0xfffffff0087ba300
0xfffffff0087ba290: 1f790239  strb	wzr, [x8, #0x9e]
0xfffffff0087ba294: 24000014  b	#0xfffffff0087ba324
0xfffffff0087ba298: a8cd8052  mov	w8, #0x66d
