; Candidate 15077
; ADRP+ADD at VM 0xfffffff009a8e4e8 (fileoff 0x2a8a4e8): page=0x1fe22a000 add_imm=0xd38

0xfffffff009a8e468: 4111ffb0  adrp	x1, #0xfffffff007cb7000
0xfffffff009a8e46c: 218042f9  ldr	x1, [x1, #0x500]
0xfffffff009a8e470: 300c48f8  ldr	x16, [x1, #0x80]!
0xfffffff009a8e474: e00313aa  mov	x0, x19
0xfffffff009a8e478: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff009a8e47c: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff009a8e480: ff2303d5  autibsp	
0xfffffff009a8e484: d1071eca  eor	x17, x30, x30, lsl #1
0xfffffff009a8e488: 5100f0b6  tbz	x17, #0x3e, #0xfffffff009a8e490
0xfffffff009a8e48c: 208e38d4  brk	#0xc471
0xfffffff009a8e490: f10301aa  mov	x17, x1
0xfffffff009a8e494: b1b8fdf2  movk	x17, #0xedc5, lsl #48
0xfffffff009a8e498: 110a1fd7  braa	x16, x17
0xfffffff009a8e49c: 5f2403d5  bti	c
0xfffffff009a8e4a0: e00301aa  mov	x0, x1
0xfffffff009a8e4a4: e10302aa  mov	x1, x2
0xfffffff009a8e4a8: e20303aa  mov	x2, x3
0xfffffff009a8e4ac: 030080d2  mov	x3, #0
0xfffffff009a8e4b0: 04088052  mov	w4, #0x40
0xfffffff009a8e4b4: 01000014  b	#0xfffffff009a8e4b8
0xfffffff009a8e4b8: 7f2303d5  pacibsp	
0xfffffff009a8e4bc: fa67bba9  stp	x26, x25, [sp, #-0x50]!
0xfffffff009a8e4c0: f85f01a9  stp	x24, x23, [sp, #0x10]
0xfffffff009a8e4c4: f65702a9  stp	x22, x21, [sp, #0x20]
0xfffffff009a8e4c8: f44f03a9  stp	x20, x19, [sp, #0x30]
0xfffffff009a8e4cc: fd7b04a9  stp	x29, x30, [sp, #0x40]
0xfffffff009a8e4d0: fd030191  add	x29, sp, #0x40
0xfffffff009a8e4d4: f40304aa  mov	x20, x4
0xfffffff009a8e4d8: f50303aa  mov	x21, x3
0xfffffff009a8e4dc: f60302aa  mov	x22, x2
0xfffffff009a8e4e0: f70301aa  mov	x23, x1
0xfffffff009a8e4e4: f80300aa  mov	x24, x0
0xfffffff009a8e4e8: 4011ffd0  adrp	x0, #0xfffffff007cb8000
0xfffffff009a8e4ec: 00e03491  add	x0, x0, #0xd38
0xfffffff009a8e4f0: 01068052  mov	w1, #0x30
0xfffffff009a8e4f4: 5164a197  bl	#0xfffffff0082e7638
0xfffffff009a8e4f8: f30300aa  mov	x19, x0
0xfffffff009a8e4fc: 594900d0  adrp	x25, #0xfffffff00a3b8000
0xfffffff009a8e500: 39031b91  add	x25, x25, #0x6c0
0xfffffff009a8e504: e10319aa  mov	x1, x25
0xfffffff009a8e508: 9964a197  bl	#0xfffffff0082e776c
0xfffffff009a8e50c: 5011ffd0  adrp	x16, #0xfffffff007cb8000
0xfffffff009a8e510: 10e22a91  add	x16, x16, #0xab8
0xfffffff009a8e514: 10420091  add	x16, x16, #0x10
0xfffffff009a8e518: f10300aa  mov	x17, x0
0xfffffff009a8e51c: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a8e520: 300ac1da  pacda	x16, x17
0xfffffff009a8e524: 100000f9  str	x16, [x0]
0xfffffff009a8e528: e00319aa  mov	x0, x25
0xfffffff009a8e52c: 025ba197  bl	#0xfffffff0082e5134
0xfffffff009a8e530: 700240f9  ldr	x16, [x19]
0xfffffff009a8e534: f10313aa  mov	x17, x19
0xfffffff009a8e538: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff009a8e53c: 301ac1da  autda	x16, x17
0xfffffff009a8e540: 088e49f8  ldr	x8, [x16, #0x98]!
0xfffffff009a8e544: e90310aa  mov	x9, x16
0xfffffff009a8e548: e00313aa  mov	x0, x19
0xfffffff009a8e54c: e10318aa  mov	x1, x24
0xfffffff009a8e550: e20317aa  mov	x2, x23
0xfffffff009a8e554: e30316aa  mov	x3, x22
0xfffffff009a8e558: e40315aa  mov	x4, x21
0xfffffff009a8e55c: e50314aa  mov	x5, x20
0xfffffff009a8e560: f10309aa  mov	x17, x9
0xfffffff009a8e564: 9164fef2  movk	x17, #0xf324, lsl #48
