; Candidate 49
; ADRP+ADD at VM 0xfffffff007db73a0 (fileoff 0xdb33a0): page=0x2414000 add_imm=0xd24

0xfffffff007db7320: e30310aa  mov	x3, x16
0xfffffff007db7324: 02000014  b	#0xfffffff007db732c
0xfffffff007db7328: 030080d2  mov	x3, #0
0xfffffff007db732c: 10000090  adrp	x16, #0xfffffff007db7000
0xfffffff007db7330: 10820a91  add	x16, x16, #0x2a0
0xfffffff007db7334: d1ca95d2  mov	x17, #0xae56
0xfffffff007db7338: 3002c1da  pacia	x16, x17
0xfffffff007db733c: e20310aa  mov	x2, x16
0xfffffff007db7340: 25008052  mov	w5, #1
0xfffffff007db7344: acfbff17  b	#0xfffffff007db61f4
0xfffffff007db7348: 5f2403d5  bti	c
0xfffffff007db734c: a0020036  tbz	w0, #0, #0xfffffff007db73a0
0xfffffff007db7350: 7f2303d5  pacibsp	
0xfffffff007db7354: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff007db7358: fd030091  mov	x29, sp
0xfffffff007db735c: 82d038d5  mrs	x2, tpidr_el1
0xfffffff007db7360: 484841b9  ldr	w8, [x2, #0x148]
0xfffffff007db7364: 08050011  add	w8, w8, #1
0xfffffff007db7368: 484801b9  str	w8, [x2, #0x148]
0xfffffff007db736c: a8200190  adrp	x8, #0xfffffff00a1cb000
0xfffffff007db7370: 08b13491  add	x8, x8, #0xd2c
0xfffffff007db7374: 0920a052  mov	w9, #0x1000000
0xfffffff007db7378: 0801a9b8  ldadda	w9, w8, [x8]
0xfffffff007db737c: 095d1053  ubfx	w9, w8, #0x10, #8
0xfffffff007db7380: 3f61486b  cmp	w9, w8, lsr #24
0xfffffff007db7384: a1010054  b.ne	#0xfffffff007db73b8
0xfffffff007db7388: 481844b9  ldr	w8, [x2, #0x418]
0xfffffff007db738c: a9200190  adrp	x9, #0xfffffff00a1cb000
0xfffffff007db7390: 28310db9  str	w8, [x9, #0xd30]
0xfffffff007db7394: 20008052  mov	w0, #1
0xfffffff007db7398: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff007db739c: ff0f5fd6  retab	
0xfffffff007db73a0: a0200190  adrp	x0, #0xfffffff00a1cb000
0xfffffff007db73a4: 00903491  add	x0, x0, #0xd24
0xfffffff007db73a8: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff007db73ac: 5000f0b6  tbz	x16, #0x3e, #0xfffffff007db73b4
0xfffffff007db73b0: 208e38d4  brk	#0xc471
0xfffffff007db73b4: dddfff17  b	#0xfffffff007daf328
0xfffffff007db73b8: 017d1853  lsr	w1, w8, #0x18
0xfffffff007db73bc: a0200190  adrp	x0, #0xfffffff00a1cb000
0xfffffff007db73c0: 00903491  add	x0, x0, #0xd24
0xfffffff007db73c4: 99dfff97  bl	#0xfffffff007daf228
0xfffffff007db73c8: f3ffff17  b	#0xfffffff007db7394
0xfffffff007db73cc: 7f2303d5  pacibsp	
0xfffffff007db73d0: ffc300d1  sub	sp, sp, #0x30
0xfffffff007db73d4: f44f01a9  stp	x20, x19, [sp, #0x10]
0xfffffff007db73d8: fd7b02a9  stp	x29, x30, [sp, #0x20]
0xfffffff007db73dc: fd830091  add	x29, sp, #0x20
0xfffffff007db73e0: f30300aa  mov	x19, x0
0xfffffff007db73e4: e03f0039  strb	w0, [sp, #0xf]
0xfffffff007db73e8: e03f0091  add	x0, sp, #0xf
0xfffffff007db73ec: 21008052  mov	w1, #1
0xfffffff007db73f0: f6c20394  bl	#0xfffffff007ea7fc8
0xfffffff007db73f4: 082301b0  adrp	x8, #0xfffffff00a218000
0xfffffff007db73f8: 08f14fb9  ldr	w8, [x8, #0xff0]
0xfffffff007db73fc: a8000034  cbz	w8, #0xfffffff007db7410
0xfffffff007db7400: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007db7404: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007db7408: ffc30091  add	sp, sp, #0x30
0xfffffff007db740c: ff0f5fd6  retab	
0xfffffff007db7410: e00313aa  mov	x0, x19
0xfffffff007db7414: fd7b42a9  ldp	x29, x30, [sp, #0x20]
0xfffffff007db7418: f44f41a9  ldp	x20, x19, [sp, #0x10]
0xfffffff007db741c: ffc30091  add	sp, sp, #0x30
