; Candidate 16182
; ADRP+ADD at VM 0xfffffff009e2ef38 (fileoff 0x2e2af38): page=0x1fd875000 add_imm=0xe00

0xfffffff009e2eeb8: 02018052  mov	w2, #8
0xfffffff009e2eebc: e30315aa  mov	x3, x21
0xfffffff009e2eec0: 040080d2  mov	x4, #0
0xfffffff009e2eec4: 05008052  mov	w5, #0
0xfffffff009e2eec8: 06efff97  bl	#0xfffffff009e2aae0
0xfffffff009e2eecc: c0010034  cbz	w0, #0xfffffff009e2ef04
0xfffffff009e2eed0: f58300a9  stp	x21, x0, [sp, #8]
0xfffffff009e2eed4: 88cffeb0  adrp	x8, #0xfffffff00781f000
0xfffffff009e2eed8: 08f51091  add	x8, x8, #0x43d
0xfffffff009e2eedc: e80300f9  str	x8, [sp]
0xfffffff009e2eee0: a0c3feb0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2eee4: 00003891  add	x0, x0, #0xe00
0xfffffff009e2eee8: c1f7fef0  adrp	x1, #0xfffffff007d29000
0xfffffff009e2eeec: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e2eef0: 83cffef0  adrp	x3, #0xfffffff007821000
0xfffffff009e2eef4: 63a40591  add	x3, x3, #0x169
0xfffffff009e2eef8: 02028052  mov	w2, #0x10
0xfffffff009e2eefc: 8d109497  bl	#0xfffffff008333130
0xfffffff009e2ef00: 16000014  b	#0xfffffff009e2ef58
0xfffffff009e2ef04: e00313aa  mov	x0, x19
0xfffffff009e2ef08: 21008052  mov	w1, #1
0xfffffff009e2ef0c: a2008052  mov	w2, #5
0xfffffff009e2ef10: e30314aa  mov	x3, x20
0xfffffff009e2ef14: 040080d2  mov	x4, #0
0xfffffff009e2ef18: 05008052  mov	w5, #0
0xfffffff009e2ef1c: f1eeff97  bl	#0xfffffff009e2aae0
0xfffffff009e2ef20: 20020034  cbz	w0, #0xfffffff009e2ef64
0xfffffff009e2ef24: 28008052  mov	w8, #1
0xfffffff009e2ef28: f4a300a9  stp	x20, x8, [sp, #8]
0xfffffff009e2ef2c: 88cffeb0  adrp	x8, #0xfffffff00781f000
0xfffffff009e2ef30: 08611191  add	x8, x8, #0x458
0xfffffff009e2ef34: e80300f9  str	x8, [sp]
0xfffffff009e2ef38: a0c3feb0  adrp	x0, #0xfffffff0076a3000
0xfffffff009e2ef3c: 00003891  add	x0, x0, #0xe00
0xfffffff009e2ef40: c1f7fef0  adrp	x1, #0xfffffff007d29000
0xfffffff009e2ef44: 216844f9  ldr	x1, [x1, #0x8d0]
0xfffffff009e2ef48: 83cffef0  adrp	x3, #0xfffffff007821000
0xfffffff009e2ef4c: 63140691  add	x3, x3, #0x185
0xfffffff009e2ef50: 02028052  mov	w2, #0x10
0xfffffff009e2ef54: 77109497  bl	#0xfffffff008333130
0xfffffff009e2ef58: e00313aa  mov	x0, x19
0xfffffff009e2ef5c: 66eeff97  bl	#0xfffffff009e2a8f4
0xfffffff009e2ef60: 130080d2  mov	x19, #0
0xfffffff009e2ef64: e00313aa  mov	x0, x19
0xfffffff009e2ef68: fd7b46a9  ldp	x29, x30, [sp, #0x60]
0xfffffff009e2ef6c: f44f45a9  ldp	x20, x19, [sp, #0x50]
0xfffffff009e2ef70: f65744a9  ldp	x22, x21, [sp, #0x40]
0xfffffff009e2ef74: f85f43a9  ldp	x24, x23, [sp, #0x30]
0xfffffff009e2ef78: fa6742a9  ldp	x26, x25, [sp, #0x20]
0xfffffff009e2ef7c: ffc30191  add	sp, sp, #0x70
0xfffffff009e2ef80: ff0f5fd6  retab	
0xfffffff009e2ef84: 7f2303d5  pacibsp	
0xfffffff009e2ef88: ff0301d1  sub	sp, sp, #0x40
0xfffffff009e2ef8c: f44f02a9  stp	x20, x19, [sp, #0x20]
0xfffffff009e2ef90: fd7b03a9  stp	x29, x30, [sp, #0x30]
0xfffffff009e2ef94: fdc30091  add	x29, sp, #0x30
0xfffffff009e2ef98: f30301aa  mov	x19, x1
0xfffffff009e2ef9c: f40300aa  mov	x20, x0
0xfffffff009e2efa0: e00301aa  mov	x0, x1
0xfffffff009e2efa4: 97b97c97  bl	#0xfffffff007d5d600
0xfffffff009e2efa8: 28008012  mov	w8, #-2
0xfffffff009e2efac: 1f0008eb  cmp	x0, x8
0xfffffff009e2efb0: 68000054  b.hi	#0xfffffff009e2efbc
0xfffffff009e2efb4: 686a6038  ldrb	w8, [x19, x0]
