; Candidate 9057
; ADRP+ADD at VM 0xfffffff0089a3334 (fileoff 0x199f334): page=0x1fe8e3000 add_imm=0xd8d

0xfffffff0089a32b4: f85f46a9  ldp	x24, x23, [sp, #0x60]
0xfffffff0089a32b8: fa6745a9  ldp	x26, x25, [sp, #0x50]
0xfffffff0089a32bc: ff830291  add	sp, sp, #0xa0
0xfffffff0089a32c0: ff0f5fd6  retab	
0xfffffff0089a32c4: 750100b4  cbz	x21, #0xfffffff0089a32f0
0xfffffff0089a32c8: b00240f9  ldr	x16, [x21]
0xfffffff0089a32cc: f10315aa  mov	x17, x21
0xfffffff0089a32d0: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089a32d4: 301ac1da  autda	x16, x17
0xfffffff0089a32d8: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0089a32dc: e90310aa  mov	x9, x16
0xfffffff0089a32e0: e00315aa  mov	x0, x21
0xfffffff0089a32e4: f10309aa  mov	x17, x9
0xfffffff0089a32e8: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0089a32ec: 11093fd7  blraa	x8, x17
0xfffffff0089a32f0: 740100b4  cbz	x20, #0xfffffff0089a331c
0xfffffff0089a32f4: 900240f9  ldr	x16, [x20]
0xfffffff0089a32f8: f10314aa  mov	x17, x20
0xfffffff0089a32fc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff0089a3300: 301ac1da  autda	x16, x17
0xfffffff0089a3304: 088e42f8  ldr	x8, [x16, #0x28]!
0xfffffff0089a3308: e90310aa  mov	x9, x16
0xfffffff0089a330c: e00314aa  mov	x0, x20
0xfffffff0089a3310: f10309aa  mov	x17, x9
0xfffffff0089a3314: f150e7f2  movk	x17, #0x3a87, lsl #48
0xfffffff0089a3318: 11093fd7  blraa	x8, x17
0xfffffff0089a331c: 689a40f9  ldr	x8, [x19, #0x130]
0xfffffff0089a3320: 680400b4  cbz	x8, #0xfffffff0089a33ac
0xfffffff0089a3324: 0047fff0  adrp	x0, #0xfffffff007286000
0xfffffff0089a3328: 00e83a91  add	x0, x0, #0xeba
0xfffffff0089a332c: 1918e697  bl	#0xfffffff008329390
0xfffffff0089a3330: f50300aa  mov	x21, x0
0xfffffff0089a3334: 0047fff0  adrp	x0, #0xfffffff007286000
0xfffffff0089a3338: 00343691  add	x0, x0, #0xd8d
0xfffffff0089a333c: 1518e697  bl	#0xfffffff008329390
0xfffffff0089a3340: f40300aa  mov	x20, x0
0xfffffff0089a3344: d50600b4  cbz	x21, #0xfffffff0089a341c
0xfffffff0089a3348: b40600b4  cbz	x20, #0xfffffff0089a341c
0xfffffff0089a334c: f5d303a9  stp	x21, x20, [sp, #0x38]
0xfffffff0089a3350: 8884ffb0  adrp	x8, #0xfffffff007a34000
0xfffffff0089a3354: 08c140f9  ldr	x8, [x8, #0x180]
0xfffffff0089a3358: 080140f9  ldr	x8, [x8]
0xfffffff0089a335c: 080140f9  ldr	x8, [x8]
0xfffffff0089a3360: e8cf02a9  stp	x8, x19, [sp, #0x28]
0xfffffff0089a3364: 8884ffb0  adrp	x8, #0xfffffff007a34000
0xfffffff0089a3368: 08bd40f9  ldr	x8, [x8, #0x178]
0xfffffff0089a336c: 080140f9  ldr	x8, [x8]
0xfffffff0089a3370: 080140f9  ldr	x8, [x8]
0xfffffff0089a3374: e8cf01a9  stp	x8, x19, [sp, #0x18]
0xfffffff0089a3378: e0a30091  add	x0, sp, #0x28
0xfffffff0089a337c: e1e30091  add	x1, sp, #0x38
0xfffffff0089a3380: 42008052  mov	w2, #2
0xfffffff0089a3384: 03008052  mov	w3, #0
0xfffffff0089a3388: 9737e597  bl	#0xfffffff0082f11e4
0xfffffff0089a338c: 609e00f9  str	x0, [x19, #0x138]
0xfffffff0089a3390: e0630091  add	x0, sp, #0x18
0xfffffff0089a3394: e1e30091  add	x1, sp, #0x38
0xfffffff0089a3398: 42008052  mov	w2, #2
0xfffffff0089a339c: 03008052  mov	w3, #0
0xfffffff0089a33a0: 9137e597  bl	#0xfffffff0082f11e4
0xfffffff0089a33a4: 60a200f9  str	x0, [x19, #0x140]
0xfffffff0089a33a8: 1e000014  b	#0xfffffff0089a3420
0xfffffff0089a33ac: 340340f9  ldr	x20, [x25]
0xfffffff0089a33b0: f4f6ffb4  cbz	x20, #0xfffffff0089a328c
