; Candidate 9487
; ADRP+ADD at VM 0xfffffff008a5c28c (fileoff 0x1a5828c): page=0x1ff006000 add_imm=0xd30

0xfffffff008a5c20c: 10620a91  add	x16, x16, #0x298
0xfffffff008a5c210: 10420091  add	x16, x16, #0x10
0xfffffff008a5c214: f10300aa  mov	x17, x0
0xfffffff008a5c218: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a5c21c: 300ac1da  pacda	x16, x17
0xfffffff008a5c220: 100000f9  str	x16, [x0]
0xfffffff008a5c224: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a5c228: ff0f5fd6  retab	
0xfffffff008a5c22c: 5f2403d5  bti	c
0xfffffff008a5c230: 69faff17  b	#0xfffffff008a5abd4
0xfffffff008a5c234: 5f2403d5  bti	c
0xfffffff008a5c238: 67faff17  b	#0xfffffff008a5abd4
0xfffffff008a5c23c: 7f2303d5  pacibsp	
0xfffffff008a5c240: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008a5c244: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008a5c248: fd430091  add	x29, sp, #0x10
0xfffffff008a5c24c: f30300aa  mov	x19, x0
0xfffffff008a5c250: 61faff97  bl	#0xfffffff008a5abd4
0xfffffff008a5c254: 2080ffd0  adrp	x0, #0xfffffff007a62000
0xfffffff008a5c258: 00c03491  add	x0, x0, #0xd30
0xfffffff008a5c25c: e10313aa  mov	x1, x19
0xfffffff008a5c260: 02898052  mov	w2, #0x448
0xfffffff008a5c264: fd7b41a9  ldp	x29, x30, [sp, #0x10]
0xfffffff008a5c268: f44fc2a8  ldp	x20, x19, [sp], #0x20
0xfffffff008a5c26c: ff2303d5  autibsp	
0xfffffff008a5c270: d0071eca  eor	x16, x30, x30, lsl #1
0xfffffff008a5c274: 5000f0b6  tbz	x16, #0x3e, #0xfffffff008a5c27c
0xfffffff008a5c278: 208e38d4  brk	#0xc471
0xfffffff008a5c27c: 082de217  b	#0xfffffff0082e769c
0xfffffff008a5c280: 5f2403d5  bti	c
0xfffffff008a5c284: e20301aa  mov	x2, x1
0xfffffff008a5c288: e10300aa  mov	x1, x0
0xfffffff008a5c28c: 2080ffd0  adrp	x0, #0xfffffff007a62000
0xfffffff008a5c290: 00c03491  add	x0, x0, #0xd30
0xfffffff008a5c294: 022de217  b	#0xfffffff0082e769c
0xfffffff008a5c298: 5f2403d5  bti	c
0xfffffff008a5c29c: 00c400f0  adrp	x0, #0xfffffff00a2df000
0xfffffff008a5c2a0: 00202691  add	x0, x0, #0x988
0xfffffff008a5c2a4: c0035fd6  ret	
0xfffffff008a5c2a8: 7f2303d5  pacibsp	
0xfffffff008a5c2ac: fd7bbfa9  stp	x29, x30, [sp, #-0x10]!
0xfffffff008a5c2b0: fd030091  mov	x29, sp
0xfffffff008a5c2b4: 8142ffb0  adrp	x1, #0xfffffff0072ad000
0xfffffff008a5c2b8: 210c0a91  add	x1, x1, #0x283
0xfffffff008a5c2bc: 02c400f0  adrp	x2, #0xfffffff00a2df000
0xfffffff008a5c2c0: 42802591  add	x2, x2, #0x960
0xfffffff008a5c2c4: 03898052  mov	w3, #0x448
0xfffffff008a5c2c8: 1c1ee297  bl	#0xfffffff0082e3b38
0xfffffff008a5c2cc: 1080fff0  adrp	x16, #0xfffffff007a5f000
0xfffffff008a5c2d0: 10a22891  add	x16, x16, #0xa28
0xfffffff008a5c2d4: 10420091  add	x16, x16, #0x10
0xfffffff008a5c2d8: f10300aa  mov	x17, x0
0xfffffff008a5c2dc: 31b4f9f2  movk	x17, #0xcda1, lsl #48
0xfffffff008a5c2e0: 300ac1da  pacda	x16, x17
0xfffffff008a5c2e4: 100000f9  str	x16, [x0]
0xfffffff008a5c2e8: fd7bc1a8  ldp	x29, x30, [sp], #0x10
0xfffffff008a5c2ec: ff0f5fd6  retab	
0xfffffff008a5c2f0: 7f2303d5  pacibsp	
0xfffffff008a5c2f4: f44fbea9  stp	x20, x19, [sp, #-0x20]!
0xfffffff008a5c2f8: fd7b01a9  stp	x29, x30, [sp, #0x10]
0xfffffff008a5c2fc: fd430091  add	x29, sp, #0x10
0xfffffff008a5c300: 2080ffd0  adrp	x0, #0xfffffff007a62000
0xfffffff008a5c304: 00c03491  add	x0, x0, #0xd30
0xfffffff008a5c308: 01898052  mov	w1, #0x448
