; Candidate 8078
; ADRP+ADD at VM 0xfffffff008892f7c (fileoff 0x188ef7c): page=0x1fe957000 add_imm=0xe80

0xfffffff008892efc: f30313cb  neg	x19, x19
0xfffffff008892f00: 80098052  mov	w0, #0x4c
0xfffffff008892f04: 45a2ff97  bl	#0xfffffff00887b818
0xfffffff008892f08: f70300aa  mov	x23, x0
0xfffffff008892f0c: a8840094  bl	#0xfffffff0088b41ac
0xfffffff008892f10: f60300aa  mov	x22, x0
0xfffffff008892f14: 80008052  mov	w0, #4
0xfffffff008892f18: 4ea2ff97  bl	#0xfffffff00887b850
0xfffffff008892f1c: f70d0034  cbz	w23, #0xfffffff0088930d8
0xfffffff008892f20: e80315aa  mov	x8, x21
0xfffffff008892f24: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008892f28: e8430291  add	x8, sp, #0x90
0xfffffff008892f2c: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008892f30: e84bffd0  adrp	x8, #0xfffffff007210000
0xfffffff008892f34: 08b92791  add	x8, x8, #0x9ee
0xfffffff008892f38: 89b28052  mov	w9, #0x594
0xfffffff008892f3c: 8bfdff17  b	#0xfffffff008892568
0xfffffff008892f40: 9b840094  bl	#0xfffffff0088b41ac
0xfffffff008892f44: f60300aa  mov	x22, x0
0xfffffff008892f48: 80008052  mov	w0, #4
0xfffffff008892f4c: 41a2ff97  bl	#0xfffffff00887b850
0xfffffff008892f50: e8430291  add	x8, sp, #0x90
0xfffffff008892f54: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008892f58: e84bffd0  adrp	x8, #0xfffffff007210000
0xfffffff008892f5c: 08b92791  add	x8, x8, #0x9ee
0xfffffff008892f60: 09ae8052  mov	w9, #0x570
0xfffffff008892f64: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008892f68: e84cffb0  adrp	x8, #0xfffffff00722f000
0xfffffff008892f6c: 08611691  add	x8, x8, #0x598
0xfffffff008892f70: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008892f74: 88098052  mov	w8, #0x4c
0xfffffff008892f78: f62300a9  stp	x22, x8, [sp]
0xfffffff008892f7c: a04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008892f80: 00003a91  add	x0, x0, #0xe80
0xfffffff008892f84: a18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008892f88: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008892f8c: 634eff90  adrp	x3, #0xfffffff00725e000
0xfffffff008892f90: 63d43691  add	x3, x3, #0xdb5
0xfffffff008892f94: 02008052  mov	w2, #0
0xfffffff008892f98: 6680ea97  bl	#0xfffffff008333130
0xfffffff008892f9c: fbfeff17  b	#0xfffffff008892b88
0xfffffff008892fa0: 83840094  bl	#0xfffffff0088b41ac
0xfffffff008892fa4: f60300aa  mov	x22, x0
0xfffffff008892fa8: 80008052  mov	w0, #4
0xfffffff008892fac: 29a2ff97  bl	#0xfffffff00887b850
0xfffffff008892fb0: e80315aa  mov	x8, x21
0xfffffff008892fb4: f3a303a9  stp	x19, x8, [sp, #0x38]
0xfffffff008892fb8: e8430291  add	x8, sp, #0x90
0xfffffff008892fbc: e81b00f9  str	x8, [sp, #0x30]
0xfffffff008892fc0: e84bffd0  adrp	x8, #0xfffffff007210000
0xfffffff008892fc4: 08b92791  add	x8, x8, #0x9ee
0xfffffff008892fc8: 09aa8052  mov	w9, #0x550
0xfffffff008892fcc: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff008892fd0: e84cffb0  adrp	x8, #0xfffffff00722f000
0xfffffff008892fd4: 08611691  add	x8, x8, #0x598
0xfffffff008892fd8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff008892fdc: 88098052  mov	w8, #0x4c
0xfffffff008892fe0: f62300a9  stp	x22, x8, [sp]
0xfffffff008892fe4: a04afff0  adrp	x0, #0xfffffff0071e9000
0xfffffff008892fe8: 00003a91  add	x0, x0, #0xe80
0xfffffff008892fec: a18bffd0  adrp	x1, #0xfffffff007a08000
0xfffffff008892ff0: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff008892ff4: 634eff90  adrp	x3, #0xfffffff00725e000
0xfffffff008892ff8: 63ec3491  add	x3, x3, #0xd3b
