; Candidate 16537
; ADRP+ADD at VM 0xfffffff009ed59a4 (fileoff 0x2ed19a4): page=0x1fd971000 add_imm=0xe21

0xfffffff009ed5924: a802088b  add	x8, x21, x8
0xfffffff009ed5928: 081940f9  ldr	x8, [x8, #0x30]
0xfffffff009ed592c: e84f00f9  str	x8, [sp, #0x98]
0xfffffff009ed5930: 38008052  mov	w24, #1
0xfffffff009ed5934: 37feff17  b	#0xfffffff009ed5210
0xfffffff009ed5938: f72340f9  ldr	x23, [sp, #0x40]
0xfffffff009ed593c: 773a0ff9  str	x23, [x19, #0x1e70]
0xfffffff009ed5940: e00313aa  mov	x0, x19
0xfffffff009ed5944: 8e2c0094  bl	#0xfffffff009ee0b7c
0xfffffff009ed5948: b8820291  add	x24, x21, #0xa0
0xfffffff009ed594c: e00318aa  mov	x0, x24
0xfffffff009ed5950: 18607b97  bl	#0xfffffff007dad9b0
0xfffffff009ed5954: f62740f9  ldr	x22, [sp, #0x48]
0xfffffff009ed5958: f9c30291  add	x25, sp, #0xb0
0xfffffff009ed595c: e3c30291  add	x3, sp, #0xb0
0xfffffff009ed5960: e5430291  add	x5, sp, #0x90
0xfffffff009ed5964: e00313aa  mov	x0, x19
0xfffffff009ed5968: e10315aa  mov	x1, x21
0xfffffff009ed596c: e20316aa  mov	x2, x22
0xfffffff009ed5970: 44008052  mov	w4, #2
0xfffffff009ed5974: ef50ff97  bl	#0xfffffff009ea9d30
0xfffffff009ed5978: a0060034  cbz	w0, #0xfffffff009ed5a4c
0xfffffff009ed597c: f40300aa  mov	x20, x0
0xfffffff009ed5980: 083e8452  mov	w8, #0x21f0
0xfffffff009ed5984: 6802088b  add	x8, x19, x8
0xfffffff009ed5988: a90640f9  ldr	x9, [x21, #8]
0xfffffff009ed598c: e95302a9  stp	x9, x20, [sp, #0x20]
0xfffffff009ed5990: e86701a9  stp	x8, x25, [sp, #0x10]
0xfffffff009ed5994: 88cbfeb0  adrp	x8, #0xfffffff007846000
0xfffffff009ed5998: 08e93691  add	x8, x8, #0xdba
0xfffffff009ed599c: c9ee8552  mov	w9, #0x2f76
0xfffffff009ed59a0: e82700a9  stp	x8, x9, [sp]
0xfffffff009ed59a4: 80cbfeb0  adrp	x0, #0xfffffff007846000
0xfffffff009ed59a8: 00843891  add	x0, x0, #0xe21
0xfffffff009ed59ac: c6a7fe97  bl	#0xfffffff009e7f8c4
0xfffffff009ed59b0: 37000014  b	#0xfffffff009ed5a8c
0xfffffff009ed59b4: 18008052  mov	w24, #0
0xfffffff009ed59b8: 940b8052  mov	w20, #0x5c
0xfffffff009ed59bc: 15feff17  b	#0xfffffff009ed5210
0xfffffff009ed59c0: 083e8452  mov	w8, #0x21f0
0xfffffff009ed59c4: 6802088b  add	x8, x19, x8
0xfffffff009ed59c8: 3ffcff17  b	#0xfffffff009ed4ac4
0xfffffff009ed59cc: 08d38352  mov	w8, #0x1e98
0xfffffff009ed59d0: 7a02088b  add	x26, x19, x8
0xfffffff009ed59d4: 5f030039  strb	wzr, [x26]
0xfffffff009ed59d8: f81f40f9  ldr	x24, [sp, #0x38]
0xfffffff009ed59dc: 783a0ff9  str	x24, [x19, #0x1e70]
0xfffffff009ed59e0: b9820291  add	x25, x21, #0xa0
0xfffffff009ed59e4: e00319aa  mov	x0, x25
0xfffffff009ed59e8: f25f7b97  bl	#0xfffffff007dad9b0
0xfffffff009ed59ec: e22340f9  ldr	x2, [sp, #0x40]
0xfffffff009ed59f0: fbc30291  add	x27, sp, #0xb0
0xfffffff009ed59f4: fc430291  add	x28, sp, #0x90
0xfffffff009ed59f8: e3c30291  add	x3, sp, #0xb0
0xfffffff009ed59fc: e5430291  add	x5, sp, #0x90
0xfffffff009ed5a00: e00313aa  mov	x0, x19
0xfffffff009ed5a04: e10315aa  mov	x1, x21
0xfffffff009ed5a08: 44008052  mov	w4, #2
0xfffffff009ed5a0c: c950ff97  bl	#0xfffffff009ea9d30
0xfffffff009ed5a10: 20050034  cbz	w0, #0xfffffff009ed5ab4
0xfffffff009ed5a14: f40300aa  mov	x20, x0
0xfffffff009ed5a18: 083e8452  mov	w8, #0x21f0
0xfffffff009ed5a1c: 6802088b  add	x8, x19, x8
0xfffffff009ed5a20: a90640f9  ldr	x9, [x21, #8]
