; Candidate 4469
; ADRP+ADD at VM 0xfffffff0087b3750 (fileoff 0x17af750): page=0x1fe97e000 add_imm=0xd90

0xfffffff0087b36d0: e00313aa  mov	x0, x19
0xfffffff0087b36d4: e10314aa  mov	x1, x20
0xfffffff0087b36d8: 03008052  mov	w3, #0
0xfffffff0087b36dc: f10309aa  mov	x17, x9
0xfffffff0087b36e0: 71fae8f2  movk	x17, #0x47d3, lsl #48
0xfffffff0087b36e4: 11093fd7  blraa	x8, x17
0xfffffff0087b36e8: e0040034  cbz	w0, #0xfffffff0087b3784
0xfffffff0087b36ec: 7fea0eb9  str	wzr, [x19, #0xee8]
0xfffffff0087b36f0: 74ee0eb9  str	w20, [x19, #0xeec]
0xfffffff0087b36f4: e88b40f9  ldr	x8, [sp, #0x110]
0xfffffff0087b36f8: 09210091  add	x9, x8, #8
0xfffffff0087b36fc: 697a07f9  str	x9, [x19, #0xef0]
0xfffffff0087b3700: 080600b4  cbz	x8, #0xfffffff0087b37c0
0xfffffff0087b3704: 1ffd1429  stp	wzr, wzr, [x8, #0xa4]
0xfffffff0087b3708: 3b000014  b	#0xfffffff0087b37f4
0xfffffff0087b370c: 7f6a07f9  str	xzr, [x19, #0xed0]
0xfffffff0087b3710: 484dfff0  adrp	x8, #0xfffffff00715e000
0xfffffff0087b3714: 08b11691  add	x8, x8, #0x5ac
0xfffffff0087b3718: e80300f9  str	x8, [sp]
0xfffffff0087b371c: e04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087b3720: 00403691  add	x0, x0, #0xd90
0xfffffff0087b3724: 4192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b3728: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b372c: c34cff90  adrp	x3, #0xfffffff00714b000
0xfffffff0087b3730: 63883e91  add	x3, x3, #0xfa2
0xfffffff0087b3734: 02008052  mov	w2, #0
0xfffffff0087b3738: 7efeed97  bl	#0xfffffff008333130
0xfffffff0087b373c: 0d000014  b	#0xfffffff0087b3770
0xfffffff0087b3740: 7f7207f9  str	xzr, [x19, #0xee0]
0xfffffff0087b3744: 484dfff0  adrp	x8, #0xfffffff00715e000
0xfffffff0087b3748: 08391691  add	x8, x8, #0x58e
0xfffffff0087b374c: e80300f9  str	x8, [sp]
0xfffffff0087b3750: e04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087b3754: 00403691  add	x0, x0, #0xd90
0xfffffff0087b3758: 4192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b375c: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b3760: c34cff90  adrp	x3, #0xfffffff00714b000
0xfffffff0087b3764: 63f83d91  add	x3, x3, #0xf7e
0xfffffff0087b3768: 02008052  mov	w2, #0
0xfffffff0087b376c: 71feed97  bl	#0xfffffff008333130
0xfffffff0087b3770: 48034039  ldrb	w8, [x26]
0xfffffff0087b3774: 08980034  cbz	w8, #0xfffffff0087b4a74
0xfffffff0087b3778: 5f070039  strb	wzr, [x26, #1]
0xfffffff0087b377c: 20268052  mov	w0, #0x131
0xfffffff0087b3780: e0040014  b	#0xfffffff0087b4b00
0xfffffff0087b3784: 7f7a07f9  str	xzr, [x19, #0xef0]
0xfffffff0087b3788: e80319aa  mov	x8, x25
0xfffffff0087b378c: e80700f9  str	x8, [sp, #8]
0xfffffff0087b3790: e84cffd0  adrp	x8, #0xfffffff007151000
0xfffffff0087b3794: 08491591  add	x8, x8, #0x552
0xfffffff0087b3798: e80300f9  str	x8, [sp]
0xfffffff0087b379c: e04bffd0  adrp	x0, #0xfffffff007131000
0xfffffff0087b37a0: 00403691  add	x0, x0, #0xd90
0xfffffff0087b37a4: 4192ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0087b37a8: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0087b37ac: c34cff90  adrp	x3, #0xfffffff00714b000
0xfffffff0087b37b0: 63183f91  add	x3, x3, #0xfc6
0xfffffff0087b37b4: 02008052  mov	w2, #0
0xfffffff0087b37b8: 5efeed97  bl	#0xfffffff008333130
0xfffffff0087b37bc: 0e000014  b	#0xfffffff0087b37f4
0xfffffff0087b37c0: e80319aa  mov	x8, x25
0xfffffff0087b37c4: e80700f9  str	x8, [sp, #8]
0xfffffff0087b37c8: e84cffd0  adrp	x8, #0xfffffff007151000
0xfffffff0087b37cc: 08491591  add	x8, x8, #0x552
