; Candidate 8283
; ADRP+ADD at VM 0xfffffff0088a0bf4 (fileoff 0x189cbf4): page=0x1fe949000 add_imm=0xe80

0xfffffff0088a0b74: ec3706a9  stp	x12, x13, [sp, #0x60]
0xfffffff0088a0b78: e82f05a9  stp	x8, x11, [sp, #0x50]
0xfffffff0088a0b7c: f72b04a9  stp	x23, x10, [sp, #0x40]
0xfffffff0088a0b80: f32703a9  stp	x19, x9, [sp, #0x30]
0xfffffff0088a0b84: c89c8052  mov	w8, #0x4e6
0xfffffff0088a0b88: 894cffb0  adrp	x9, #0xfffffff007231000
0xfffffff0088a0b8c: 29311091  add	x9, x9, #0x40c
0xfffffff0088a0b90: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a0b94: 884cffb0  adrp	x8, #0xfffffff007231000
0xfffffff0088a0b98: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a0b9c: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a0ba0: a80f8052  mov	w8, #0x7d
0xfffffff0088a0ba4: 804cffb0  adrp	x0, #0xfffffff007231000
0xfffffff0088a0ba8: 00ec1191  add	x0, x0, #0x47b
0xfffffff0088a0bac: f82300a9  stp	x24, x8, [sp]
0xfffffff0088a0bb0: 2c5ad497  bl	#0xfffffff007db7460
0xfffffff0088a0bb4: 95000014  b	#0xfffffff0088a0e08
0xfffffff0088a0bb8: 7d4d0094  bl	#0xfffffff0088b41ac
0xfffffff0088a0bbc: f70300aa  mov	x23, x0
0xfffffff0088a0bc0: e0008052  mov	w0, #7
0xfffffff0088a0bc4: 236bff97  bl	#0xfffffff00887b850
0xfffffff0088a0bc8: 680240b9  ldr	w8, [x19]
0xfffffff0088a0bcc: f55b04a9  stp	x21, x22, [sp, #0x40]
0xfffffff0088a0bd0: e85303a9  stp	x8, x20, [sp, #0x30]
0xfffffff0088a0bd4: 884cffb0  adrp	x8, #0xfffffff007231000
0xfffffff0088a0bd8: 08311091  add	x8, x8, #0x40c
0xfffffff0088a0bdc: e84f02a9  stp	x8, x19, [sp, #0x20]
0xfffffff0088a0be0: 884cffb0  adrp	x8, #0xfffffff007231000
0xfffffff0088a0be4: 08e93191  add	x8, x8, #0xc7a
0xfffffff0088a0be8: e02301a9  stp	x0, x8, [sp, #0x10]
0xfffffff0088a0bec: a80f8052  mov	w8, #0x7d
0xfffffff0088a0bf0: f72300a9  stp	x23, x8, [sp]
0xfffffff0088a0bf4: 404affb0  adrp	x0, #0xfffffff0071e9000
0xfffffff0088a0bf8: 00003a91  add	x0, x0, #0xe80
0xfffffff0088a0bfc: 418bff90  adrp	x1, #0xfffffff007a08000
0xfffffff0088a0c00: 212c42f9  ldr	x1, [x1, #0x458]
0xfffffff0088a0c04: 034effb0  adrp	x3, #0xfffffff007261000
0xfffffff0088a0c08: 63681491  add	x3, x3, #0x51a
0xfffffff0088a0c0c: 02008052  mov	w2, #0
0xfffffff0088a0c10: 4849ea97  bl	#0xfffffff008333130
0xfffffff0088a0c14: 75f7ffb5  cbnz	x21, #0xfffffff0088a0b00
0xfffffff0088a0c18: a00f8052  mov	w0, #0x7d
0xfffffff0088a0c1c: 81008052  mov	w1, #4
0xfffffff0088a0c20: ec6aff97  bl	#0xfffffff00887b7d0
0xfffffff0088a0c24: 600a0034  cbz	w0, #0xfffffff0088a0d70
0xfffffff0088a0c28: a00f8052  mov	w0, #0x7d
0xfffffff0088a0c2c: fb6aff97  bl	#0xfffffff00887b818
0xfffffff0088a0c30: f80300aa  mov	x24, x0
0xfffffff0088a0c34: 5e4d0094  bl	#0xfffffff0088b41ac
0xfffffff0088a0c38: f70300aa  mov	x23, x0
0xfffffff0088a0c3c: 80008052  mov	w0, #4
0xfffffff0088a0c40: 046bff97  bl	#0xfffffff00887b850
0xfffffff0088a0c44: 18060034  cbz	w24, #0xfffffff0088a0d04
0xfffffff0088a0c48: 680240b9  ldr	w8, [x19]
0xfffffff0088a0c4c: f55b05a9  stp	x21, x22, [sp, #0x50]
0xfffffff0088a0c50: 894cffb0  adrp	x9, #0xfffffff007231000
0xfffffff0088a0c54: 29511191  add	x9, x9, #0x454
0xfffffff0088a0c58: e85304a9  stp	x8, x20, [sp, #0x40]
0xfffffff0088a0c5c: e94f03a9  stp	x9, x19, [sp, #0x30]
0xfffffff0088a0c60: c89b8052  mov	w8, #0x4de
0xfffffff0088a0c64: 894cffb0  adrp	x9, #0xfffffff007231000
0xfffffff0088a0c68: 29311091  add	x9, x9, #0x40c
0xfffffff0088a0c6c: e92302a9  stp	x9, x8, [sp, #0x20]
0xfffffff0088a0c70: 884cffb0  adrp	x8, #0xfffffff007231000
