; Candidate 2937
; ADRP+ADD at VM 0xfffffff0086f7388 (fileoff 0x16f3388): page=0x1fea3a000 add_imm=0xd90

0xfffffff0086f7308: ff4305d1  sub	sp, sp, #0x150
0xfffffff0086f730c: fc6f0fa9  stp	x28, x27, [sp, #0xf0]
0xfffffff0086f7310: fa6710a9  stp	x26, x25, [sp, #0x100]
0xfffffff0086f7314: f85f11a9  stp	x24, x23, [sp, #0x110]
0xfffffff0086f7318: f65712a9  stp	x22, x21, [sp, #0x120]
0xfffffff0086f731c: f44f13a9  stp	x20, x19, [sp, #0x130]
0xfffffff0086f7320: fd7b14a9  stp	x29, x30, [sp, #0x140]
0xfffffff0086f7324: fd030591  add	x29, sp, #0x140
0xfffffff0086f7328: f50301aa  mov	x21, x1
0xfffffff0086f732c: f30300aa  mov	x19, x0
0xfffffff0086f7330: 2898ffd0  adrp	x8, #0xfffffff0079fd000
0xfffffff0086f7334: 08d941f9  ldr	x8, [x8, #0x3b0]
0xfffffff0086f7338: 080140f9  ldr	x8, [x8]
0xfffffff0086f733c: a8831af8  stur	x8, [x29, #-0x58]
0xfffffff0086f7340: ff7300f9  str	xzr, [sp, #0xe0]
0xfffffff0086f7344: 00e4006f  movi	v0.2d, #0000000000000000
0xfffffff0086f7348: e00306ad  stp	q0, q0, [sp, #0xc0]
0xfffffff0086f734c: e00305ad  stp	q0, q0, [sp, #0xa0]
0xfffffff0086f7350: e00304ad  stp	q0, q0, [sp, #0x80]
0xfffffff0086f7354: e01f803d  str	q0, [sp, #0x70]
0xfffffff0086f7358: ff3700f9  str	xzr, [sp, #0x68]
0xfffffff0086f735c: ff6300b9  str	wzr, [sp, #0x60]
0xfffffff0086f7360: e00302ad  stp	q0, q0, [sp, #0x40]
0xfffffff0086f7364: e00f803d  str	q0, [sp, #0x30]
0xfffffff0086f7368: 08f059f9  ldr	x8, [x0, #0x33e0]
0xfffffff0086f736c: 01810091  add	x1, x8, #0x20
0xfffffff0086f7370: e2b30191  add	x2, sp, #0x6c
0xfffffff0086f7374: c5feff97  bl	#0xfffffff0086f6e88
0xfffffff0086f7378: a0010034  cbz	w0, #0xfffffff0086f73ac
0xfffffff0086f737c: c852fff0  adrp	x8, #0xfffffff007152000
0xfffffff0086f7380: 08c90f91  add	x8, x8, #0x3f2
0xfffffff0086f7384: e80300f9  str	x8, [sp]
0xfffffff0086f7388: c051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f738c: 00403691  add	x0, x0, #0xd90
0xfffffff0086f7390: 2198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f7394: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f7398: e351ffd0  adrp	x3, #0xfffffff007135000
0xfffffff0086f739c: 63701a91  add	x3, x3, #0x69c
0xfffffff0086f73a0: 02008052  mov	w2, #0
0xfffffff0086f73a4: 63eff097  bl	#0xfffffff008333130
0xfffffff0086f73a8: 22000014  b	#0xfffffff0086f7430
0xfffffff0086f73ac: f86f40b9  ldr	w24, [sp, #0x6c]
0xfffffff0086f73b0: 68d259f9  ldr	x8, [x19, #0x33a0]
0xfffffff0086f73b4: 191d40b9  ldr	w25, [x8, #0x1c]
0xfffffff0086f73b8: 1f03196b  cmp	w24, w25
0xfffffff0086f73bc: a0010054  b.eq	#0xfffffff0086f73f0
0xfffffff0086f73c0: f8e700a9  stp	x24, x25, [sp, #8]
0xfffffff0086f73c4: c852fff0  adrp	x8, #0xfffffff007152000
0xfffffff0086f73c8: 08711091  add	x8, x8, #0x41c
0xfffffff0086f73cc: e80300f9  str	x8, [sp]
0xfffffff0086f73d0: c051ffd0  adrp	x0, #0xfffffff007131000
0xfffffff0086f73d4: 00403691  add	x0, x0, #0xd90
0xfffffff0086f73d8: 2198ffd0  adrp	x1, #0xfffffff0079fd000
0xfffffff0086f73dc: 21dc41f9  ldr	x1, [x1, #0x3b8]
0xfffffff0086f73e0: e351ffd0  adrp	x3, #0xfffffff007135000
0xfffffff0086f73e4: 63781b91  add	x3, x3, #0x6de
0xfffffff0086f73e8: 02008052  mov	w2, #0
0xfffffff0086f73ec: 51eff097  bl	#0xfffffff008333130
0xfffffff0086f73f0: 68f259f9  ldr	x8, [x19, #0x33e0]
0xfffffff0086f73f4: 01810091  add	x1, x8, #0x20
0xfffffff0086f73f8: e2a30191  add	x2, sp, #0x68
0xfffffff0086f73fc: cbfeff97  bl	#0xfffffff0086f6f28
0xfffffff0086f7400: 60030034  cbz	w0, #0xfffffff0086f746c
0xfffffff0086f7404: c852fff0  adrp	x8, #0xfffffff007152000
